,PRECT,Q_IL
0,0.319202066966,20.5672
1,0.32146875169,36.9043
2,0.259309273981,49.8813
3,0.117058621077,60.1893
4,0.0584897433788,68.3772
5,0.0415004578215,74.8811
6,0.0333346959619,80.0474
7,0.0275901564757,84.1511
8,0.0228974908449,87.4107
9,0.0186471037926,90.0
10,0.0149384571464,92.0567
11,0.011819296957,93.6904
12,0.00938435366475,94.9881
13,0.00733191030329,96.0189
14,0.00571793931773,96.8377
15,0.00441687013761,97.4881
16,0.00342359916194,98.0047
17,0.00260038066063,98.4151
18,0.00193145137404,98.7411
19,0.00144790095151,99.0
20,0.00108532429046,99.2057
21,0.00082136459318,99.369
22,0.000574443545371,99.4988
23,0.000423977446898,99.6019
24,0.000306700254147,99.6838
25,0.000221927095305,99.7488
26,0.000171009267612,99.8005
27,0.000123708477857,99.8415
28,8.69527452739e-05,99.8741
29,6.64629511351e-05,99.9
30,4.85470323962e-05,99.9206
31,3.2401138633e-05,99.9369
32,2.39748365603e-05,99.9499
33,1.81904297604e-05,99.9602
34,1.34240003632e-05,99.9684
35,1.00312346616e-05,99.9749
36,7.14372709741e-06,99.98
37,5.55195975653e-06,99.9842
38,3.81534382451e-06,99.9874
39,3.20122441398e-06,99.99
40,3.60249671202e-06,99.9921
41,2.11967232004e-06,99.9937
42,1.45587520511e-06,99.995
43,1.77017794993e-06,99.996
44,1.01219788428e-06,99.9968
45,9.05721224548e-07,99.9975
46,7.01164674916e-07,99.998
47,4.97518006901e-07,99.9984
48,2.46470518213e-07,99.9987
