,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,,,,,,20.5672
1,,,6.39248989718,2.80718136106,3.15883400796,100.127520185,36.9043
2,,0.305195985799,0.010769344369,0.014433122097,0.0224005803124,0.77073580379,49.8813
3,,0.00243998674253,0.00336113947146,0.00549712218879,0.00879019405579,0.233743040844,60.1893
4,2.21931626374,0.00163692101946,0.00256337750365,0.00415807698653,0.00660424592726,0.117456171868,68.3772
5,0.00199996414755,0.00121974008922,0.00189152462612,0.00311510468344,0.00502594963632,0.0665946180188,74.8811
6,0.000614412718454,0.000916124938315,0.00143994875569,0.00240893610718,0.00387612465414,0.0394705729436,80.0474
7,0.000448814165733,0.000701325038955,0.00109721388225,0.00182696643382,0.0030068852118,0.0239620547362,84.1511
8,0.000351468576085,0.000552199174773,0.00083594931616,0.00141819118881,0.00227964082052,0.0150132959147,87.4107
9,0.000282970629766,0.000433610546916,0.000669321959661,0.00111060102432,0.00181268869859,0.00977492560643,90.0
10,0.000229545864394,0.000336995342963,0.000514792039917,0.000859428490582,0.0014142439631,0.0065827031249,92.0567
11,0.000183897818919,0.000273488691817,0.000413860626564,0.000683814867307,0.00111603260002,0.00469250032384,93.6904
12,0.000154736982029,0.000227747664177,0.000324518227908,0.000562175570851,0.000897251508525,0.00329109459863,94.9881
13,0.000130719832943,0.000190268793429,0.000282614872357,0.000451410970904,0.000726638495245,0.00241757410019,96.0189
14,0.00011011609614,0.000157791184306,0.000225810551592,0.000368086288846,0.000581375708877,0.00183316721342,96.8377
15,9.49386142049e-05,0.000133502171641,0.000194977907328,0.000298897489858,0.000488741524124,0.00141148772252,97.4881
16,8.16988284853e-05,0.000110478851558,0.000159945572571,0.000256918013681,0.000408749201709,0.00111636504988,98.0047
17,6.88287693166e-05,9.26861148197e-05,0.000132949807549,0.000216600337451,0.000342775534668,0.000829025367939,98.4151
18,5.57087830442e-05,7.74848912315e-05,0.000115821055841,0.000178117349204,0.000269649709476,0.000667317470516,98.7411
19,4.94250309704e-05,7.0258726968e-05,9.78251724096e-05,0.000144969595352,0.000227553583249,0.000490782788632,99.0
20,3.99076210575e-05,5.66480057155e-05,8.21317984719e-05,0.000123604698117,0.000182072066264,0.000396695267602,99.2057
21,3.47300721656e-05,5.02009317913e-05,6.68079622281e-05,0.000100332322103,0.000150119011981,0.000320352574053,99.369
22,2.82159411539e-05,3.7661479396e-05,5.6028688124e-05,8.52189426509e-05,0.000119897573819,0.000282405848236,99.4988
23,2.25060795089e-05,3.06159548028e-05,4.91462902559e-05,6.60743592679e-05,0.000103203039983,0.000200483011095,99.6019
24,1.86504074325e-05,2.56016052718e-05,3.33199180767e-05,5.52523553938e-05,8.09445087834e-05,0.00015935961897,99.6838
25,1.42695772542e-05,1.99456545507e-05,2.96480086797e-05,3.97345388755e-05,6.54225389487e-05,0.000127049720114,99.7488
26,1.17884679068e-05,1.79584409742e-05,2.47394366274e-05,3.18245296699e-05,5.03992754186e-05,8.53851287809e-05,99.8005
27,8.4932419703e-06,1.23826788608e-05,1.70887587666e-05,3.07384706801e-05,3.97864927045e-05,7.5676930152e-05,99.8415
28,8.53695801083e-06,1.02743402135e-05,1.50041612588e-05,2.07380141563e-05,2.88721712481e-05,6.14301866247e-05,99.8741
29,7.07033862898e-06,9.12164823383e-06,1.38727565099e-05,1.86703616235e-05,2.96404478614e-05,4.32723650511e-05,99.9
30,5.30896898932e-06,7.01222346615e-06,1.05239817396e-05,1.33052034336e-05,1.9343252211e-05,4.0663845262e-05,99.9206
31,3.85140229453e-06,6.30624649077e-06,8.46795525271e-06,1.16491338902e-05,1.64600000608e-05,3.29210718212e-05,99.9369
32,3.55353885581e-06,5.20267597263e-06,6.69959616883e-06,1.17450778538e-05,1.35230415995e-05,2.47913546171e-05,99.9499
33,3.07074727921e-06,4.77722797995e-06,5.73709876294e-06,5.8136950419e-06,9.61054387354e-06,2.09599891916e-05,99.9602
34,2.36774559224e-06,2.43733496982e-06,3.48553325656e-06,5.38976011529e-06,7.10335331684e-06,1.5897576438e-05,99.9684
35,2.2527650735e-06,2.56071240185e-06,4.00288060979e-06,4.28773325815e-06,4.51150192328e-06,1.37918635459e-05,99.9749
36,1.18146648474e-06,1.66121062053e-06,1.48472853287e-06,4.0258801179e-06,5.36482539891e-06,1.37151409205e-05,99.98
37,1.10060944029e-06,9.28339744564e-07,2.4312378555e-06,2.64121058849e-06,3.22456326066e-06,7.57147471827e-06,99.9842
38,1.20676193141e-06,1.10699555605e-06,2.39281411772e-06,2.08647577639e-06,2.40110051267e-06,6.23305993019e-06,99.9874
39,6.55165164777e-07,6.40463491307e-07,1.73438097142e-06,1.78571348614e-06,2.13334162204e-06,4.47478818844e-06,99.99
40,4.54995883651e-07,7.86296591915e-07,7.31237104919e-07,1.65957161736e-06,2.40494340233e-06,4.02012699831e-06,99.9921
41,4.58299859911e-07,6.33020362058e-07,6.3923273654e-07,6.19085295978e-07,1.03425090659e-06,1.8233196464e-06,99.9937
42,6.70909286429e-07,4.61498567314e-07,6.73546958371e-07,3.70508124521e-07,4.85139715063e-07,2.20791960625e-06,99.995
43,5.11859310028e-07,4.70621832154e-07,6.96933268793e-07,7.30472281393e-07,5.59206858844e-07,3.05772267087e-06,99.996
44,2.57203846671e-07,6.2229226272e-07,3.51565948254e-07,5.31887810263e-07,4.62681044941e-07,1.26205523998e-06,99.9968
45,6.89767440154e-07,2.53738423847e-07,5.97725075646e-07,5.65163808068e-07,5.90526443858e-07,1.09228042879e-06,99.9975
46,2.4203674631e-07,1.52057560486e-07,5.90023105733e-07,1.18434878241e-07,5.72803288064e-07,6.26313961828e-07,99.998
47,3.22828200449e-07,2.1247489796e-07,1.948170578e-07,2.42374620945e-07,4.50773842721e-07,4.09628832859e-07,99.9984
48,,6.07839889169e-08,2.20510038941e-07,9.05250516857e-08,1.01877881433e-07,7.65607628922e-07,99.9987
