,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,1.08129813423,0.0392104578004,0.0494237761582,0.07944246369,1.95163024383,20.5672
1,,0.00745763318553,0.00573026184144,0.0089348659514,0.0142504634715,0.552697353366,36.9043
2,,0.00253439235175,0.00531746277358,0.00831116782231,0.0128330653943,0.353641848087,49.8813
3,,0.00235486210915,0.00427532894869,0.006999544819,0.0111572743191,0.265985002797,60.1893
4,120.993844475,0.00195578137722,0.003528560681,0.00566066252023,0.00918380241329,0.208294258032,68.3772
5,0.0609491631431,0.00158655070409,0.00285982964833,0.0045462101623,0.00724431324983,0.166650627056,74.8811
6,0.00988751902214,0.00124594194559,0.00224296179657,0.00354974602654,0.00571655819502,0.139672440166,80.0474
7,0.00125479325417,0.00100133050191,0.00175639730904,0.00280514988378,0.00441340640694,0.113686592396,84.1511
8,0.00088246364091,0.000801289775584,0.00138543651251,0.00221529515796,0.00354814695553,0.0948629299421,87.4107
9,0.000743794562004,0.000633775309266,0.00109042083568,0.00175702396403,0.00283159622582,0.0779460100281,90.0
10,0.000588473092792,0.000523868270204,0.000869465649324,0.00140334998313,0.00229354345483,0.0646916012547,92.0567
11,0.000504142892243,0.000430305923069,0.000692889585381,0.00109900876383,0.00174908474944,0.0549728092943,93.6904
12,0.00041924021965,0.000343438112462,0.000546001077065,0.000901002201863,0.00144583858987,0.0453747651794,94.9881
13,0.000345589122419,0.000284239223136,0.000438358413051,0.000692660087172,0.00115734079129,0.0375195425844,96.0189
14,0.000285057475274,0.000219572197027,0.000356562551758,0.000548920897937,0.000951018045715,0.0306986399136,96.8377
15,0.000247841674993,0.000175593859238,0.000270493113166,0.00048148208335,0.000743421742573,0.0255605501723,97.4881
16,0.000189462529897,0.000145698354947,0.000223937914458,0.00037317014197,0.000600895971471,0.0206341573321,98.0047
17,0.000164763996476,0.00012034026517,0.000175569403446,0.000272183003867,0.000481491227029,0.0172546567589,98.4151
18,0.000131821450696,9.35811979016e-05,0.000148773078007,0.000239207999899,0.000392036637596,0.013233691326,98.7411
19,0.000112399661728,7.64202530349e-05,0.000120630599788,0.000186551416035,0.000317497318625,0.0101533290897,99.0
20,8.76879808011e-05,6.1247481315e-05,8.7247620364e-05,0.000146368112054,0.000242955115997,0.00821810147414,99.2057
21,7.88420846459e-05,4.85967732465e-05,7.8660553537e-05,0.00011783051269,0.00019456531793,0.00683804921766,99.369
22,6.32110106544e-05,4.11329022585e-05,6.108431993e-05,9.09601500918e-05,0.000162688563582,0.00546201346684,99.4988
23,5.0008185354e-05,3.43902096231e-05,4.70036827371e-05,6.95271128891e-05,0.000117664675011,0.00409120701052,99.6019
24,3.88469723454e-05,2.69807985821e-05,4.40326303205e-05,5.97056330135e-05,9.06303505548e-05,0.00310293483934,99.6838
25,2.97502667067e-05,1.9897982668e-05,2.99384162865e-05,4.5724656555e-05,7.73372441274e-05,0.00255411554928,99.7488
26,2.22843633162e-05,1.67724879564e-05,2.26945800962e-05,4.00026172907e-05,6.04358875396e-05,0.00199373344177,99.8005
27,1.85550131392e-05,1.46286616681e-05,1.8946082303e-05,2.50242933457e-05,4.55227847125e-05,0.00154269761561,99.8415
28,1.88672640034e-05,1.17802418151e-05,1.59174948362e-05,2.23497350462e-05,3.25981609233e-05,0.000966112343998,99.8741
29,1.38189942245e-05,8.40051902597e-06,9.85147434801e-06,1.61613222331e-05,3.24937839531e-05,0.000982245778503,99.9
30,1.09934879439e-05,5.47472056122e-06,1.02335500093e-05,1.40895994776e-05,1.84690167853e-05,0.000843344406418,99.9206
31,9.83921003113e-06,6.80695621776e-06,8.53673963234e-06,9.70631720369e-06,1.37310132086e-05,0.000642838151382,99.9369
32,4.60650425142e-06,4.68131259135e-06,4.78642028041e-06,7.53873860082e-06,1.28395065203e-05,0.000527916864237,99.9499
33,4.73501463516e-06,2.27411520743e-06,4.38478248994e-06,6.82066467499e-06,6.86175134791e-06,0.000295935610659,99.9602
34,5.01361382263e-06,2.76612209895e-06,2.86391020274e-06,5.51754731691e-06,8.86391779936e-06,0.000335927781042,99.9684
35,2.81594787713e-06,2.96910718983e-06,4.28466719022e-06,3.7003872519e-06,3.11602575687e-06,0.000211289740376,99.9749
36,2.18796325868e-06,2.33566748731e-06,2.57415179123e-06,2.89831809554e-06,4.08187848999e-06,0.000171490207755,99.98
37,1.79243109442e-06,1.54371752439e-06,1.65529139392e-06,2.24267882302e-06,4.02480487851e-06,0.000136080442632,99.9842
38,1.6081487391e-06,1.25259391783e-06,1.58616612401e-06,2.13014602322e-06,3.01354171294e-06,8.99555377953e-05,99.9874
39,1.31698780184e-06,1.94620860291e-06,1.01190630411e-06,1.78953109792e-06,1.25907022079e-06,5.34943311756e-05,99.99
40,9.49562180147e-07,1.0425184472e-06,7.49938460609e-07,6.64180510944e-07,8.91342025667e-07,5.27111283924e-05,99.9921
41,9.02092252048e-07,6.40374150134e-07,6.60140016238e-07,1.50805394353e-06,3.2587751846e-06,5.02717199056e-05,99.9937
42,5.42977023256e-07,4.10295729324e-07,3.94433119817e-07,9.83650972172e-07,1.13188400444e-06,2.42898637564e-05,99.995
43,5.58045029576e-07,5.1364682645e-07,1.85150971511e-07,4.77048298507e-07,6.33654261691e-07,1.23956419429e-05,99.996
44,1.07234404336e-06,1.01930094084e-07,2.66652075231e-07,3.17785343753e-07,6.98225796976e-07,1.71209390043e-05,99.9968
45,2.02067123066e-07,1.92783829187e-07,1.2757097302e-07,5.08664207352e-07,3.26613484003e-07,1.93216568903e-05,99.9975
46,8.26233882854e-07,1.13043566129e-07,1.49375381308e-07,8.50710955637e-07,2.67673392087e-07,3.8195977037e-06,99.998
47,1.21497293493e-07,1.23684495413e-07,3.41257253413e-07,3.55924783557e-07,2.08561383989e-07,3.228037248e-06,99.9984
48,,1.01459143812e-06,1.61266628297e-07,1.84966151148e-07,7.91906306966e-07,7.78379700719e-06,99.9987
