,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,,,,,568215.239643,20.5672
1,,23.5763057842,0.661002357007,0.601150827133,0.793820004702,4.60524668858,36.9043
2,,0.010941305297,0.00738397917472,0.0108822786639,0.0173409355034,0.504213700243,49.8813
3,12.4588200511,0.00235958471166,0.0037287245291,0.0060737519844,0.00977423384293,0.203672151547,60.1893
4,0.00532099929204,0.00186538119559,0.00292816744013,0.004822011049,0.0076945384185,0.10472640115,68.3772
5,0.000947674240069,0.00147852358784,0.00232742899312,0.00382971705788,0.00618710956391,0.0602800735816,74.8811
6,0.000708664813241,0.00118173731522,0.00185990122243,0.00308517923134,0.00496951996886,0.0365727837883,80.0474
7,0.000596832299707,0.000936819098185,0.00147032409849,0.00245256884043,0.00396371738117,0.022915184549,84.1511
8,0.000490248176454,0.000746771193533,0.00115390458914,0.00192676264763,0.00308542189585,0.0154787953148,87.4107
9,0.00039592231958,0.000579537489166,0.00089551240897,0.00149176600972,0.00240313668403,0.0105577721119,90.0
10,0.000314306682325,0.000460094357856,0.000711798839429,0.00118616630866,0.00193257325655,0.00750614688267,92.0567
11,0.000256047622063,0.000372931534006,0.00056757030782,0.000958080918029,0.00157210597763,0.0053857178527,93.6904
12,0.000209484384893,0.000304859458359,0.000461017698918,0.000772533659419,0.00123513118471,0.00406702112816,94.9881
13,0.000173896290952,0.000246986932959,0.000371900392159,0.000612105121561,0.000992886454153,0.00299475713405,96.0189
14,0.000144906271321,0.000206768991677,0.000299818794219,0.000499179352988,0.00081096363179,0.00236860242276,96.8377
15,0.000123983856336,0.000169340416179,0.000250309967602,0.00041261252177,0.000650480601152,0.00179893183147,97.4881
16,0.000101286634787,0.000144839314548,0.000200867317892,0.00032988407066,0.000533546119705,0.00138660848265,98.0047
17,8.38999476542e-05,0.000120573424097,0.000171101746483,0.000271554339525,0.000441409242651,0.00110324973995,98.4151
18,6.97776641669e-05,9.62479773393e-05,0.00015118876941,0.000228529057808,0.000359148963239,0.000859052768362,98.7411
19,5.91680854247e-05,8.01061001689e-05,0.000121363445733,0.00020754891082,0.000305783447357,0.000686470363817,99.0
20,4.99765134036e-05,7.10935967072e-05,9.859094372e-05,0.00015483182172,0.00024964373259,0.000566103770396,99.2057
21,4.16926982598e-05,5.88522958573e-05,8.26006687778e-05,0.000135566967004,0.000202488767324,0.000404321391384,99.369
22,3.25721839211e-05,4.42319727116e-05,7.32019665104e-05,0.000104777309265,0.000163697273075,0.000329677194667,99.4988
23,2.73693765144e-05,4.14120447619e-05,6.09493415527e-05,8.34033772215e-05,0.000130777624662,0.000274606358662,99.6019
24,2.08195408508e-05,3.21654739018e-05,4.34349439322e-05,6.68714790471e-05,9.75033810682e-05,0.000199247098943,99.6838
25,1.80609398556e-05,2.46779768877e-05,4.05261707069e-05,5.47025812108e-05,8.33054327077e-05,0.000157971596687,99.7488
26,1.39156427558e-05,2.19367270249e-05,3.52785730791e-05,4.36307781241e-05,6.41059577817e-05,0.000120324240061,99.8005
27,1.09055554442e-05,1.80230111361e-05,2.4330973691e-05,3.75424406211e-05,5.67893644842e-05,0.000104448480366,99.8415
28,1.02654879551e-05,1.18084318281e-05,1.97463966336e-05,2.75997936129e-05,3.76664752076e-05,7.44266796266e-05,99.8741
29,8.80916205014e-06,1.05456702757e-05,1.56254781882e-05,2.16755866127e-05,3.27816917506e-05,6.15096541515e-05,99.9
30,5.92511738881e-06,9.2582582963e-06,1.23549197409e-05,1.68468609126e-05,2.45848232461e-05,4.44545366514e-05,99.9206
31,5.70148108747e-06,5.83964995289e-06,9.6368155258e-06,1.58457027708e-05,1.75843903374e-05,3.19610749059e-05,99.9369
32,3.78221906364e-06,5.437269114e-06,6.88277641833e-06,1.15443866176e-05,1.50600868811e-05,2.81008082896e-05,99.9499
33,3.15035514553e-06,4.67930865729e-06,6.88333552592e-06,8.89987920934e-06,1.23488597934e-05,2.34916958837e-05,99.9602
34,2.38452552811e-06,2.94955798594e-06,4.25720820193e-06,7.34600906623e-06,8.1321037939e-06,1.67264565094e-05,99.9684
35,2.27501765246e-06,2.95954546473e-06,3.81657970275e-06,5.23397224867e-06,6.65816708019e-06,1.67292148898e-05,99.9749
36,1.54352625511e-06,2.31722691721e-06,3.20955960823e-06,4.10734204092e-06,5.18686594129e-06,7.98377772406e-06,99.98
37,1.04189847765e-06,1.3220866877e-06,2.85871111375e-06,2.42329536215e-06,4.35016397691e-06,1.24062325041e-05,99.9842
38,1.072844892e-06,1.51064176353e-06,1.92089912308e-06,2.40796316348e-06,4.04243918088e-06,7.30471982111e-06,99.9874
39,7.46990677899e-07,1.70161838555e-06,9.90763617078e-07,1.97664284356e-06,3.20053382073e-06,6.64717964078e-06,99.99
40,5.06291788e-07,8.86384442308e-07,1.01194502189e-06,1.26190495554e-06,1.29838700222e-06,3.62301416181e-06,99.9921
41,3.9825635165e-07,3.72519907931e-07,7.90495896205e-07,1.26641807492e-06,2.17080783604e-06,4.77029908323e-06,99.9937
42,2.89759467302e-07,5.69818599067e-07,3.56452376326e-07,9.08273015496e-07,1.11233883028e-06,4.15988672304e-06,99.995
43,3.17163390348e-07,5.82740527532e-07,2.71102120202e-07,5.9405429115e-07,9.67373623086e-07,2.466147085e-06,99.996
44,2.57889308852e-07,4.96325006899e-07,5.22363429508e-07,6.09219895925e-07,6.62174337911e-07,2.69466953708e-06,99.9968
45,2.60279744838e-07,3.24788523044e-07,3.59956286311e-07,4.99810987893e-07,1.78025352639e-07,2.10185312666e-06,99.9975
46,1.55513868905e-07,1.82748283815e-07,1.8630690162e-07,1.85759707085e-07,4.13492169332e-07,4.43256902476e-06,99.998
47,1.36023867504e-07,7.36793642892e-08,1.73836275504e-07,1.01530440458e-07,1.6944764427e-07,1.85591088698e-06,99.9984
48,1.05026361636e-07,2.26961023565e-07,1.00976300319e-07,4.14474618174e-08,8.94916032809e-08,8.09606229858e-07,99.9987
