,PRECT,Q_IL
0,6.70361071905e-08,20.5672
1,0.0384077717922,36.9043
2,0.558031367164,49.8813
3,1.56480640035,60.1893
4,3.15481126176,68.3772
5,5.10672173156,74.8811
6,7.03140145159,80.0474
7,8.80179135339,84.1511
8,10.4133710366,87.4107
9,11.9465803146,90.0
10,13.3921872812,92.0567
11,14.8099918008,93.6904
12,16.219644435,94.9881
13,17.6723764436,96.0189
14,19.1568021748,96.8377
15,20.7816342193,97.4881
16,22.4988268128,98.0047
17,24.2864278266,98.4151
18,26.1683494532,98.7411
19,28.3221434402,99.0
20,30.6483959933,99.2057
21,33.1728765618,99.369
22,35.9015902376,99.4988
23,38.9642081785,99.6019
24,42.525957916,99.6838
25,46.251988222,99.7488
26,50.6874194411,99.8005
27,55.4858141911,99.8415
28,60.9819579622,99.8741
29,67.4653018188,99.9
30,74.3697825324,99.9206
31,81.6124718125,99.9369
32,90.670959657,99.9499
33,97.1502000208,99.9602
34,107.455251768,99.9684
35,118.701091941,99.9749
36,127.063979687,99.98
37,135.902782719,99.9842
38,145.42997482,99.9874
39,154.750452304,99.99
40,161.450670293,99.9921
41,168.98373074,99.9937
42,173.78303752,99.995
43,190.072386782,99.996
44,197.435077916,99.9968
45,207.898792746,99.9975
46,214.030295868,99.998
47,221.634376398,99.9984
48,228.089068705,99.9987
