,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.0,0.0,0.0,0.0,20.5672
1,0.0,0.0,0.0,0.0,0.0,0.0,36.9043
2,0.0,0.0,0.153601310176,0.347264044124,0.307703720386,0.00972683158061,49.8813
3,0.0,3.87755809334,15.3355167783,11.2840588397,7.3031829854,0.216059600856,60.1893
4,0.0,45.8105417887,43.0541125597,28.3378441258,18.0488053252,0.693994544106,68.3772
5,0.669846265618,90.9989963171,72.4546933293,46.3653468896,29.3611014269,1.4202121812,74.8811
6,42.9420716445,140.207537105,103.979827175,65.2996194717,41.0624330399,2.40298602604,80.0474
7,120.292424136,191.447782473,136.420855257,84.6746102155,53.0273443985,3.72531582952,84.1511
8,202.632052974,243.784821504,170.479728314,104.967721012,65.5409897424,5.43711450643,87.4107
9,285.355780029,296.728381348,204.967492676,125.729766846,78.2538726807,7.56872959137,90.0
10,365.312785744,350.126897601,240.321671373,146.668721965,91.0600148398,10.1070294758,92.0567
11,445.745536719,404.866221907,276.042570014,168.269141745,104.058048293,13.0472514862,93.6904
12,522.609049836,457.064301073,311.103694894,189.185262476,117.186464024,16.3716858963,94.9881
13,595.848072814,506.316817921,344.987101374,209.29019759,129.854117479,19.9951827448,96.0189
14,662.504619614,553.504717245,377.682994837,229.964959594,142.338035863,23.8933817532,96.8377
15,725.708102686,598.338330549,408.898886135,249.676487595,154.545217049,27.9460865775,97.4881
16,785.989239394,641.016649182,438.224666392,267.859394967,166.227315269,32.0272997984,98.0047
17,841.08971791,681.999496385,466.157402525,285.251601847,177.193554329,36.3110549926,98.4151
18,892.083755604,720.199012693,491.933950475,302.132804825,188.120603503,40.6805221867,98.7411
19,943.276052246,755.515136719,517.24348877,318.346665039,198.550252686,45.2162492371,99.0
20,988.672667778,787.100433628,539.381851432,333.643593699,208.405417729,49.8984775533,99.2057
21,1033.43148991,818.89846092,561.273423482,348.346665536,218.33123382,54.40635532,99.369
22,1075.54921362,848.081960911,582.729173068,362.214157646,228.088151818,58.6171677554,99.4988
23,1116.13886892,877.740133671,602.990218717,375.687904483,237.090079083,63.0733077928,99.6019
24,1154.90918352,908.580906042,623.109264174,390.024229941,246.356107479,67.6177330663,99.6838
25,1193.77662451,937.743298615,643.689497856,403.490834024,255.160187329,72.159539575,99.7488
26,1235.26337968,963.857087731,662.155511475,416.661479795,264.837452614,77.2501748479,99.8005
27,1277.01411338,990.541137733,682.46120982,430.281966065,272.879507472,82.2311632861,99.8415
28,1314.44833326,1019.35697112,702.371186551,443.920965916,282.75716964,87.4968937112,99.8741
29,1348.0447771,1045.98364087,720.916155762,456.864058655,291.590764465,92.0424933319,99.9
30,1381.50077071,1072.53909594,737.869384801,470.69114352,300.363492309,96.8390671315,99.9206
31,1417.26848934,1098.39305757,754.440124198,482.828047168,309.830007593,101.260936862,99.9369
32,1453.06688745,1122.0741975,772.589064378,494.352121994,319.118382578,105.769692937,99.9499
33,1485.52560635,1141.48222775,789.547278198,504.731229279,327.766380537,110.155341123,99.9602
34,1515.300404,1163.61576372,805.899115046,520.901974775,336.326351856,115.413255605,99.9684
35,1544.50681036,1192.74814963,822.232899069,533.369377207,349.495941294,119.402215157,99.9749
36,1575.66063508,1213.84682031,842.623254698,545.758207813,359.135126717,122.874322806,99.98
37,1609.82933515,1243.63062264,861.83673055,559.842320749,368.676776457,127.708891546,99.9842
38,1639.10388784,1277.1868281,875.878450362,573.586851483,380.789607421,132.096617513,99.9874
39,1664.64642522,1313.34759062,889.482445044,588.024314196,390.104832281,136.55303602,99.99
40,1717.63510194,1346.04443762,909.781577517,594.167227028,403.18445029,141.13074207,99.9921
41,1745.41782444,1369.43429563,924.663114171,616.812376074,408.442388563,147.523054143,99.9937
42,1757.72965288,1380.87806039,950.025778371,635.721206876,431.61132731,151.208712152,99.995
43,1783.76199173,1409.25094595,962.857051984,656.488325646,446.318749764,157.510026927,99.996
44,1793.62882815,1419.9228429,976.391707705,670.938775795,464.47095124,159.622001372,99.9968
45,1812.3390559,1432.87370739,994.217244984,684.126224806,478.090662241,166.245949221,99.9975
46,1820.26871575,1463.3738744,1000.98534657,696.949396883,483.141065615,173.080348047,99.998
47,1842.70688618,1481.21152636,1012.90325216,715.156487772,490.922520901,177.981508041,99.9984
48,1854.42061522,1515.26328042,1038.71365132,742.437642334,507.599441864,182.052060667,99.9987
