,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.0252799726045,0.0651010120543,0.0560987330719,0.00253603954621,20.5672
1,0.0,0.651682094152,9.27396373404,7.29648489277,4.55585627222,0.163983810251,36.9043
2,0.0,29.8262316084,39.1196717576,26.3874418945,16.7965996909,0.534152896819,49.8813
3,0.0,70.1132176257,65.781648748,42.8581984938,27.289458965,0.95287849663,60.1893
4,0.0,108.949865758,92.1493738079,58.9947776182,37.3011556265,1.38686561489,68.3772
5,0.0123508916087,145.41721937,117.508565277,74.813661425,47.1056386392,1.82111056295,74.8811
6,1.22733005536,181.970970611,142.824051373,90.7670451249,56.9425082209,2.24491178126,80.0474
7,9.87240000309,218.793773438,168.648909237,106.896514801,67.1118029293,2.64376821454,84.1511
8,42.9059964565,255.281364499,194.550096432,123.242718768,77.3779860399,3.03997149977,87.4107
9,73.7517471313,291.567337036,220.784141541,139.274589539,87.4988708496,3.41172027588,90.0
10,105.400245769,327.272656342,247.294507953,155.821458754,97.4291321941,3.77184403552,92.0567
11,135.069084235,361.923296498,273.423758471,171.964475597,107.530785294,4.10873680838,93.6904
12,163.460739386,395.838516426,299.775649438,188.083498914,117.644427292,4.43032499688,94.9881
13,190.715068748,428.802515677,326.108449599,204.192026406,127.52973717,4.74221168654,96.0189
14,217.011420832,461.22128928,352.159716827,220.763341723,137.342522893,5.04104853285,96.8377
15,241.433867409,494.204292311,378.792473926,236.449892359,146.765255936,5.33415217519,97.4881
16,265.116450799,527.206674349,404.279188206,251.612634338,156.530743097,5.61655222947,98.0047
17,288.308543242,557.763990165,429.860293631,267.765441037,165.945208674,5.88251801047,98.4151
18,310.304943357,588.186764405,455.083093361,283.37570495,175.314672435,6.15328137605,98.7411
19,331.906140137,618.604794312,478.524902344,299.014208984,184.130905151,6.42118499279,99.0
20,352.473884238,649.699683798,504.494735565,314.519033655,193.445712687,6.71019358064,99.2057
21,372.750913007,678.830050452,528.703308709,329.515803341,202.719223703,6.98133303364,99.369
22,390.618137471,707.378021266,551.825621132,344.574095524,211.860064207,7.2402698689,99.4988
23,408.39495918,736.563585776,576.053516944,360.556536982,220.818313139,7.51001497916,99.6019
24,427.6932622,762.705339281,598.395871526,377.113856947,230.79485522,7.79104804864,99.6838
25,446.10075052,789.770111353,620.533145365,392.487283182,240.484625957,8.07656685631,99.7488
26,468.095445112,816.019813346,646.397147335,407.460780895,249.870634288,8.3468840477,99.8005
27,487.809952205,845.185905651,669.962260289,422.801401583,258.91701871,8.65530968573,99.8415
28,504.025513318,868.246532034,693.764111746,439.766563657,269.182708722,8.98910192274,99.8741
29,519.792385254,897.648190308,718.722800598,458.433290405,280.529152832,9.30562661171,99.9
30,538.535785221,926.754220197,744.235573027,473.737052396,290.308328276,9.61028633942,99.9206
31,552.991346823,953.646675158,766.124829212,491.404081671,302.047308808,9.85720228766,99.9369
32,571.178212478,976.797154481,791.825608032,509.165952358,313.550578708,10.1647456972,99.9499
33,593.134442543,1002.50379935,818.065348117,528.216677213,328.310324097,10.463700721,99.9602
34,609.204080723,1034.57335598,845.758015819,543.662465595,339.876960186,10.7567435334,99.9684
35,628.076651976,1060.55888599,873.114066026,561.019595407,355.483422597,11.1111055418,99.9749
36,647.222741072,1077.18665478,889.629048485,584.422085455,372.728276368,11.4429458529,99.98
37,670.334980668,1093.89436126,913.159040959,600.5694458,382.036650583,11.7451979129,99.9842
38,685.231554082,1118.16677254,933.587263227,619.393529253,396.665845391,12.1532488037,99.9874
39,703.621256775,1140.51397076,966.678611847,640.22061084,412.008872772,12.6182392301,99.99
40,722.181770654,1150.67188315,993.510181534,653.106579091,434.925841931,13.0566935037,99.9921
41,739.494725477,1173.18869835,1015.1916955,676.554438825,445.786606869,13.5351076686,99.9937
42,759.942974204,1203.86579528,1048.62247042,689.111588204,451.555870702,13.7777127477,99.995
43,775.343744803,1220.63044597,1092.0569177,707.221084208,467.066182383,14.5299500123,99.996
44,786.10375797,1251.23576195,1146.87155596,727.051489433,480.064332574,15.2397942458,99.9968
45,798.033750311,1316.11326983,1183.01646301,745.190457104,492.938197478,15.5885040283,99.9975
46,810.186341897,1326.96234073,1241.93452736,762.633244676,516.936679133,16.1777799912,99.998
47,815.702954702,1359.16115638,1264.20303909,766.465797697,537.929615859,17.1701224907,99.9984
48,850.239073198,1366.30669503,1277.47157642,779.58361,545.808288399,18.0492411247,99.9987
