,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.0409495033164,0.100989522604,0.0870182885433,0.00400765333073,20.5672
1,0.0,1.41514306286,13.4178255252,9.76244183338,6.1183417109,0.220489492498,36.9043
2,0.0,37.0622612088,40.4267508528,26.7196621621,16.9914725707,0.610686089079,49.8813
3,0.0,74.0125787566,64.8266349694,41.8434679107,26.5263397618,1.04024956785,60.1893
4,0.0,108.325608328,88.3085797965,56.4333898177,35.6254438452,1.46879481193,68.3772
5,0.886854781929,140.751602038,111.09551415,70.8537625121,44.5723501277,1.89102827291,74.8811
6,10.8613276733,173.011662673,133.421924602,85.02238839,53.3632866362,2.29767944322,80.0474
7,46.166554166,204.775167844,155.658774663,98.8847270781,62.1097613431,2.6873019229,84.1511
8,77.8014007447,235.845805186,177.637859834,112.942947773,70.9891621029,3.04791615259,87.4107
9,107.272483826,266.930230713,199.488682556,126.620520782,79.7362968445,3.3906760931,90.0
10,134.855560172,296.610387847,221.161873944,140.14217636,88.121536405,3.71950675464,92.0567
11,161.025732507,326.006709323,242.262278685,153.460162893,96.5478623722,4.03676939011,93.6904
12,186.082825067,353.866972419,263.12125103,166.503194685,104.788917044,4.3371716025,94.9881
13,210.80037843,381.031871774,284.102849335,178.968491948,112.725903737,4.6355058145,96.0189
14,233.755054547,408.172404191,304.426636206,191.606515337,120.606646693,4.91384713626,96.8377
15,255.278900845,433.523038381,323.969046287,204.149978923,128.371779816,5.1850718449,97.4881
16,276.201759233,458.822333219,344.112061633,216.477785924,135.918199825,5.43646291821,98.0047
17,296.428977922,483.478649303,364.328764088,228.994775564,143.341378869,5.68395769225,98.4151
18,315.488835862,507.785350694,384.341155127,240.839196449,150.945253477,5.92018313278,98.7411
19,333.84237793,532.831397095,403.571291809,252.88217453,158.40581543,6.15872331142,99.0
20,352.615863167,557.245189456,422.328583209,264.452668914,165.654633127,6.40616454458,99.2057
21,368.15036916,581.513126608,440.924189906,276.984564561,172.650622925,6.636457935,99.369
22,385.092078467,607.110086618,461.202273248,289.571788535,179.80594849,6.87277935125,99.4988
23,400.335117642,631.132360494,480.656048116,302.180363668,187.612242488,7.11702344166,99.6019
24,416.452976368,656.037217857,502.167690366,315.419713515,195.027527558,7.36196600703,99.6838
25,431.151067272,678.711712694,522.129647306,327.428500535,203.58979567,7.62748777563,99.7488
26,446.783682007,703.132022083,541.773214046,340.726367914,211.185121212,7.85721927775,99.8005
27,459.926509939,726.349195341,562.219810368,354.431734012,219.738474798,8.1347345246,99.8415
28,475.004797097,750.306050964,584.263382685,366.591665144,227.78314586,8.38519731249,99.8741
29,488.085406128,774.51591394,603.696667358,383.001062012,236.270462418,8.60341218758,99.9
30,500.13309397,798.588944233,624.229273028,394.680747888,243.619667151,8.91327015304,99.9206
31,512.426576404,821.165181897,641.516031254,405.533595828,251.514256789,9.14945978122,99.9369
32,525.853461712,842.831747901,658.166636709,418.086763886,260.34645262,9.5100573683,99.9499
33,537.76152574,865.818010522,679.836981776,435.069003914,268.410779344,9.77191759718,99.9602
34,550.033146724,882.091442036,704.276047237,453.682961383,275.927425389,10.0557272996,99.9684
35,567.835669331,895.384868233,737.600270634,470.899195204,286.459949891,10.2337375077,99.9749
36,583.608146193,912.414314806,760.038497155,484.505143883,295.908840581,10.598643091,99.98
37,594.51341759,936.097826846,774.331801636,496.440316153,309.769094905,10.8866437183,99.9842
38,604.6400171,958.743103729,807.820514451,511.940248134,320.494266044,11.4104605425,99.9874
39,619.496861487,973.310790222,836.017209821,531.211234937,334.651263495,11.91558232,99.99
40,629.5263091,997.016327664,859.43692095,543.349479194,345.527934009,12.2511162534,99.9921
41,647.594389698,1023.49452745,892.376951371,564.953292751,362.274303828,12.569018422,99.9937
42,657.560391017,1031.38482193,913.894232702,587.754992288,378.002124629,12.8820478085,99.995
43,664.935392875,1044.76810384,933.514514885,603.339070951,389.793357998,13.5306156695,99.996
44,673.583681272,1068.21996303,988.34599521,648.269705621,404.383075992,14.2681594985,99.9968
45,706.130656896,1082.06226571,1019.38826756,656.73388498,412.863087755,14.7372995427,99.9975
46,733.431433875,1119.84769024,1032.75672078,677.747329529,437.353545031,15.1363662602,99.998
47,740.788290974,1141.37609318,1074.78989615,686.262306124,462.14862107,15.1555323853,99.9984
48,746.494885278,1149.19324776,1093.40150006,700.929605725,479.024730163,15.3251926847,99.9987
