,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.00156587151995,0.0194731752822,0.0224953882075,0.000539073863669,20.5672
1,0.0,0.180885997251,5.98990211238,5.66099316791,3.84027059341,0.121150765561,36.9043
2,0.0,20.847792811,29.9667298645,21.0094007195,13.8233515518,0.412482573397,49.8813
3,0.0,54.8567254348,53.0729355502,35.5639365711,23.0602770584,0.777983743231,60.1893
4,0.613500405021,91.5969876119,78.4375697057,51.3475133363,32.8613525416,1.23366369248,68.3772
5,19.9809793778,131.679910744,105.693296032,68.145086258,43.2782199059,1.85979463404,74.8811
6,66.5966508465,176.786040126,135.153244821,86.2138241747,54.4375096253,2.78955920267,80.0474
7,132.610507771,226.485665198,167.160522461,105.486528401,66.4221192422,4.17004910912,84.1511
8,215.194674519,278.717676669,201.107750708,125.735108191,78.7723002856,6.03403712442,87.4107
9,301.00675354,330.556265259,234.910813904,145.880741882,91.0652053833,8.39581785202,90.0
10,382.89516754,379.899835168,267.678599534,165.469737242,103.020012656,11.2044446189,92.0567
11,459.096007013,425.828859824,298.391996886,183.914919116,114.422957642,14.4127106722,93.6904
12,526.939966006,468.337045823,326.813795141,201.367594991,125.145351178,17.9054997304,94.9881
13,587.974576646,507.088490846,353.619084957,217.808538732,135.220515712,21.5973899598,96.0189
14,641.980219825,542.663456739,378.005596387,233.094923316,144.843648657,25.505020578,96.8377
15,692.252868652,576.168779968,400.311314494,247.377249223,153.769703058,29.4321759601,97.4881
16,738.43869096,606.745105094,421.291758155,260.629846702,162.229347196,33.306732917,98.0047
17,782.146212695,635.53243802,440.492878545,273.119401513,170.330490315,37.2185034911,98.4151
18,822.706404519,662.917901264,459.197510247,285.427271647,178.13341663,41.0603698463,98.7411
19,862.02651001,689.265337524,477.075859985,296.957806396,185.680584106,44.9040799332,99.0
20,900.279499937,714.203365911,494.297279483,308.32979018,192.992742269,48.6188165378,99.2057
21,934.992945988,738.656207475,510.39700726,318.99367018,200.359162409,52.2595700175,99.369
22,971.327524106,762.284166912,526.287415653,329.81202023,207.271430436,55.8930908211,99.4988
23,1004.27227176,784.824691638,541.456566387,339.909320947,213.662192987,59.4288555983,99.6019
24,1036.14151584,807.410872217,556.428409269,350.346003677,220.4915782,63.1567085249,99.6838
25,1069.47080456,829.852238801,571.895996094,360.189578395,227.059904334,66.6926369883,99.7488
26,1100.12573052,852.253361847,586.912337461,369.873482764,233.556852407,70.3033064038,99.8005
27,1129.86143286,873.052231384,601.652539526,380.017355039,239.60079094,73.7598232077,99.8415
28,1158.61332289,894.292359873,616.916930875,390.235508854,246.236727888,77.0799214054,99.8741
29,1188.01182178,914.58489325,631.289229248,399.710189514,253.0990448,80.5916687393,99.9
30,1215.81489376,936.424049741,646.25203986,408.246621418,259.917738857,84.2821778257,99.9206
31,1243.80436712,959.116224864,660.549442805,418.467925224,266.39259826,87.9281389198,99.9369
32,1272.42570826,983.259487775,675.19539063,429.195644999,273.488305142,91.1727658247,99.9499
33,1303.72961435,1003.10665682,689.097581259,441.478885176,280.629809007,94.2690870301,99.9602
34,1332.09227096,1027.60991176,703.99717763,451.581388078,287.952566817,97.6504365687,99.9684
35,1362.46637919,1048.37704805,720.769859274,463.627908609,295.895191589,101.59892044,99.9749
36,1394.92493439,1071.44880953,740.142397738,476.245745175,304.732068609,105.238520329,99.98
37,1425.18644294,1092.08377358,759.564417175,486.197478029,311.094417516,108.901019263,99.9842
38,1452.33836838,1119.01166308,773.764151235,498.171941871,321.120728955,112.383570982,99.9874
39,1486.32315419,1149.22582842,796.034754486,514.108762927,329.793769501,115.939472754,99.99
40,1515.15612789,1169.42286865,818.967616695,529.167867337,339.500370981,120.127745412,99.9921
41,1539.87642522,1193.69072308,835.161286748,539.800592904,350.945578723,123.382710347,99.9937
42,1564.02642996,1214.17370676,856.854548298,559.088144215,363.791452031,126.025770991,99.995
43,1595.44030571,1240.4844645,882.536904929,574.911503537,377.24396235,129.755825066,99.996
44,1618.16968572,1258.62790608,903.885008408,592.277881049,388.894163745,132.736008857,99.9968
45,1652.32818391,1272.94060865,925.691759241,608.779863081,398.968450124,136.068915909,99.9975
46,1691.29800113,1295.28528983,951.737650043,625.400383985,413.620356791,138.638317069,99.998
47,1720.68233866,1311.97146975,986.048469802,651.232691287,421.091449721,142.250500386,99.9984
48,1751.01586338,1341.88620557,1014.00626938,671.061003341,439.048676881,144.447504849,99.9987
