,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,-1.59427486324e-07,1.18940617355e-08,-2.01887596631e-05,277.644500732,2.84486168312e-06,0.0278998259455,226.955688477,-21.9966926575,0.21116553247
1,0.0,-1.24739372609e-07,4.7657393587e-09,-5.21239744558e-05,512.624511719,2.85588453153e-06,0.138967975974,220.024093628,-14.9439268112,0.106454439461
2,0.0,-1.42848108453e-07,1.86805126923e-09,-7.60548500693e-05,839.734436035,2.88431488116e-06,0.462263673544,215.587844849,-10.1847515106,0.0570511259139
3,0.0,-2.23503647589e-07,-9.0581497858e-09,-9.51910551521e-05,1211.37585449,2.94518235933e-06,1.56348454952,210.770370483,-7.65230941772,0.0372666940093
4,2.16201062956e-27,-3.68339044599e-07,-1.30067636661e-08,-0.000130427622935,1519.83032227,2.95294216812e-06,4.42185974121,206.545669556,-5.29117393494,0.0279063191265
5,8.51950024562e-23,-8.4502471509e-07,-1.08872724169e-08,-0.000216284257476,1745.59436035,2.88269916382e-06,12.1699123383,202.191940308,-3.14145278931,0.0791462212801
6,5.35146355216e-21,-2.14128999687e-06,-7.64940040199e-08,-0.000413622648921,1737.78894043,2.75680895356e-06,39.4719390869,196.660324097,-0.264850586653,0.298019766808
7,2.77805577936e-16,-3.2715006455e-06,2.99612636923e-08,-0.000664445222355,1423.9588623,2.73475097856e-06,64.5331802368,194.891418457,3.00266337395,0.672970116138
8,1.17898827636e-13,-2.41536076828e-06,1.82667406534e-07,-0.000801892834716,1675.2109375,3.37372534887e-06,65.6890945435,197.068588257,5.76159715652,1.20444011688
9,5.585538e-13,-5.07251513682e-07,4.91836829042e-08,-0.000943654449657,1970.79541016,5.61379147257e-06,62.3774795532,201.534942627,8.0333366394,1.82503867149
10,7.24985349532e-12,8.94149025044e-07,-6.82380061789e-07,-0.00132826610934,2318.5234375,1.26844688566e-05,60.4823570251,207.897857666,9.73455905914,2.20472073555
11,3.7900609734e-11,1.06084064555e-06,-1.33485593778e-06,-0.00198534666561,2727.56445312,3.17779195029e-05,60.2089920044,215.300796509,10.6721878052,2.0653128624
12,1.86595378038e-10,-2.74521596566e-07,-1.17076763217e-06,-0.0027220423799,3043.88598633,7.54891298129e-05,58.7754173279,223.126327515,10.6779518127,1.67431902885
13,8.45916448e-10,-1.55375414579e-06,3.29553735412e-08,-0.00346695724875,3580.65356445,0.000164908895385,55.0209007263,231.224349976,9.91739845276,1.20188379288
14,2.55963339413e-09,-1.5288077293e-06,1.33424953219e-06,-0.00421674596146,4211.79589844,0.000319513666909,48.1817550659,239.601333618,8.53515148163,0.70040589571
15,3.87477117059e-09,-3.30531946702e-07,1.02665364921e-06,-0.00478335795924,4953.78710938,0.000554975878913,40.9764785767,248.008270264,6.65496063232,0.257902562618
16,2.29970709142e-09,8.68821871336e-07,5.79300433401e-07,-0.00506999250501,5825.61669922,0.000936891825404,36.0198860168,256.161773682,4.47631835938,-0.0326218530536
17,1.14065701329e-09,3.58893817065e-06,5.44343549791e-07,-0.00505999708548,6848.34082031,0.00168724637479,37.2603607178,263.87512207,2.34732961655,-0.160793289542
18,1.46411960333e-09,2.02079036171e-06,2.24976830054e-07,-0.00474306475371,8049.28955078,0.00260363868438,40.3918380737,270.718170166,0.50491642952,-0.246427565813
19,1.58322388533e-09,-4.44016308165e-07,3.92381252823e-07,-0.00524039147422,8042.828125,0.00379775720648,44.8533706665,276.865753174,-0.424859642982,-0.329165518284
20,2.18387974371e-09,-3.18064644489e-06,3.75780899731e-07,-0.00828899256885,7369.24316406,0.00548551883548,48.7550125122,282.787780762,-0.809098720551,-0.432489663363
21,2.11441153475e-09,-3.09096753881e-06,1.59138824074e-06,-0.0122931255028,6205.69482422,0.00755447614938,54.1962928772,287.588470459,-1.06601846218,-0.509098291397
22,2.03925343278e-09,3.09318147629e-06,3.37540450346e-06,-0.0163836982101,4603.25683594,0.00944872107357,58.3876266479,291.233306885,-1.29319167137,-0.569685637951
23,2.39111486167e-09,1.32617051349e-05,5.9037211031e-06,-0.0193548481911,2661.75830078,0.0106212953106,59.3436508179,293.737518311,-1.46383774281,-0.617212057114
24,2.09956474428e-09,2.39937853621e-05,7.84898475104e-06,-0.0212005954236,2495.28808594,0.0113658122718,58.9488716125,295.562164307,-1.60885500908,-0.646312713623
25,1.80901238434e-09,3.51601702278e-05,8.84692872205e-06,-0.0224299971014,2309.31420898,0.0119253899902,57.3118400574,297.36819458,-1.71993720531,-0.660728991032
26,1.63991431545e-09,4.45117802883e-05,9.07637240743e-06,-0.0226257964969,2104.79101562,0.0123685225844,55.1844749451,299.086669922,-1.73598110676,-0.645362257957
27,1.53536305891e-09,5.16724940098e-05,8.46832972456e-06,-0.0212698578835,1882.97021484,0.0126738389954,52.6760597229,300.677337646,-1.62504684925,-0.596317827702
28,1.37116384913e-09,5.70864358451e-05,6.77354546497e-06,-0.0176200009882,1645.33959961,0.0129307880998,50.5724563599,302.033874512,-1.36701345444,-0.487576842308
29,1.48002987643e-09,6.07743095316e-05,1.57104307164e-06,-0.00982980336994,1407.15356445,0.0134081272408,51.3608703613,302.586303711,-0.875134825706,-0.212635695934
