,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,5.03600396939e-08,7.69705277293e-09,-1.78471545951e-05,277.644500732,2.8167075925e-06,0.00436633685604,243.172363281,-23.8007926941,0.116550453007
1,0.0,-1.91409803563e-08,3.13211523384e-09,-4.52369895356e-05,512.624511719,2.82858241007e-06,0.0254008453339,233.995178223,-16.6014690399,0.0203260704875
2,0.0,-5.39258735444e-08,-5.69731928302e-10,-6.31257353234e-05,839.734436035,2.86265981231e-06,0.113462425768,226.611877441,-11.5234909058,0.0162253100425
3,0.0,-9.84580950103e-08,-1.02128003832e-08,-7.62807685533e-05,1211.37585449,2.95276549878e-06,0.529259979725,218.864929199,-9.13707351685,0.0144536551088
4,0.0,-1.67873992041e-07,-1.97993887951e-08,-8.10363271739e-05,1519.8302002,3.03780029753e-06,2.30575656891,211.289352417,-6.94098567963,0.00720587093383
5,1.42515980916e-26,-3.79377070203e-07,-3.32404681558e-08,-0.00012791834888,1745.59423828,2.96901544061e-06,8.80736732483,204.418701172,-5.04427146912,-0.00211846805178
6,3.49340109901e-24,-1.20189406516e-06,-1.15730408368e-07,-0.000244819180807,1737.78881836,2.62194680545e-06,31.7438182831,197.259506226,-2.71761465073,0.0708900913596
7,4.16711746837e-22,-2.60076831182e-06,-3.18651160569e-07,-0.000391400011722,1423.95983887,2.20314063881e-06,58.7065620422,193.735473633,-0.475836962461,0.228579282761
8,2.02509568766e-15,-3.24870507029e-06,-3.93263945853e-07,-0.000646711327136,1675.21179199,2.09720610655e-06,69.2396621704,193.564254761,1.84312498569,0.495221912861
9,5.15647095335e-14,-2.33099058278e-06,2.38725181845e-08,-0.00102240906563,1970.80200195,2.63117476607e-06,70.7792434692,195.908172607,4.18774175644,0.896099865437
10,8.15676790434e-13,-5.91149159845e-07,-7.11632708317e-08,-0.00148918456398,2318.54394531,4.68221605843e-06,64.9696578979,200.943008423,6.39610147476,1.30032885075
11,6.54856984611e-12,9.3696348813e-07,-2.18326334789e-07,-0.0022373907268,2727.62329102,1.08750273284e-05,62.3463096619,207.575042725,8.09472560883,1.45473098755
12,3.35803572449e-11,1.35695347581e-06,-4.50393997653e-07,-0.0032606436871,3039.06469727,2.70032924163e-05,61.2944717407,215.04776001,8.84745121002,1.36276674271
13,1.57487509145e-10,4.90551599341e-07,-9.13855046747e-07,-0.00452020112425,3575.16381836,6.4745247073e-05,59.7843399048,222.948287964,8.70769405365,1.16050362587
14,7.39746652823e-10,-6.27697033906e-07,-2.38656014062e-07,-0.00605715159327,4205.65429688,0.000145368889207,55.5446357727,231.36315918,7.88314199448,0.885790765285
15,2.2732402627e-09,-1.00131489944e-06,7.32586670438e-07,-0.00759863993153,4947.02734375,0.000287322123768,48.1900939941,240.074478149,6.51634788513,0.550558686256
16,3.54248208545e-09,9.90842536908e-08,6.65543723244e-07,-0.00875016767532,5818.61083984,0.000509624020196,40.7181968689,248.817276001,4.75506067276,0.232430875301
17,2.02216399181e-09,2.28295607485e-06,5.10670133735e-07,-0.00928164180368,6842.44628906,0.000921300787013,37.385799408,257.243988037,2.73152947426,0.045391485095
18,1.0393352845e-09,2.74107628684e-06,3.46876475987e-07,-0.00892868544906,8043.42822266,0.00170221389271,41.0815811157,264.916137695,0.886880099773,-0.0500900298357
19,1.45146694663e-09,-5.82171423957e-07,-2.55755054468e-07,-0.00873328186572,8038.53857422,0.00270632375032,46.5178718567,271.440063477,-0.264990061522,-0.156804472208
20,1.62554758543e-09,-3.70912744074e-06,3.4895398926e-07,-0.0102856401354,7367.83056641,0.00405326578766,52.7913780212,277.130981445,-0.720751225948,-0.286922752857
21,2.76321832082e-09,-5.20626645084e-06,1.93046867025e-06,-0.0139984171838,6207.23925781,0.00568652246147,57.7146224976,282.178344727,-1.04724502563,-0.378896445036
22,2.65271249411e-09,2.61523314293e-06,3.51212997884e-06,-0.0177066978067,4606.51660156,0.00713071599603,60.6468544006,286.055999756,-1.31505036354,-0.440663039684
23,2.80602541203e-09,1.5024035747e-05,4.86702720082e-06,-0.0202887188643,2664.42089844,0.00802076701075,60.6548576355,288.691101074,-1.50782740116,-0.461666762829
24,2.23712315339e-09,2.63622860075e-05,4.80652215629e-06,-0.0218724310398,2498.22412109,0.00859569758177,59.7263450623,290.581176758,-1.65824782848,-0.47428971529
25,1.88858062522e-09,3.71369314962e-05,4.07945617553e-06,-0.0229010451585,2312.31518555,0.00903725530952,57.7447509766,292.421356201,-1.76556134224,-0.480553656816
26,1.6460992569e-09,4.54607506981e-05,2.67417749455e-06,-0.0229468718171,2107.7331543,0.00938695855439,55.3651046753,294.161590576,-1.77846539021,-0.467585027218
27,1.53051116225e-09,5.17896478414e-05,4.23285143825e-07,-0.0214250143617,1885.75244141,0.00961597915739,52.5947952271,295.766876221,-1.67878854275,-0.433518141508
28,1.38390188198e-09,5.70389274799e-05,-2.82648579741e-06,-0.0176497567445,1647.8527832,0.00982545316219,50.4419021606,297.112030029,-1.4224717617,-0.350991338491
29,1.47127043881e-09,6.05827044637e-05,-9.35310254135e-06,-0.00974685233086,1409.81860352,0.0102529767901,51.5906639099,297.61541748,-0.909911632538,-0.111238226295
