,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,SPMC,SPMCUP,T,U,V
0,2.02599109844e-21,0.0,0.0,-1.95750453713e-05,277.644500732,3.68978044207e-06,0.0413698740304,0.0,0.0,225.88999939,-25.8495750427,0.0543920472264
1,3.11243249085e-20,0.0,0.0,-5.50665754417e-05,512.624328613,4.11419978263e-06,0.261608451605,0.0,0.0,218.170379639,-18.3568630219,-0.00411926349625
2,1.18893860227e-20,0.0,0.0,-8.12697835499e-05,839.734191895,4.62210164187e-06,1.03060340881,-2.28674839481e-11,0.0,213.211135864,-13.2565174103,0.0106469355524
3,6.9750660985e-20,0.0,0.0,-0.000103937716631,1211.375,4.98521649206e-06,3.95443725586,-1.11688741589e-10,0.0,208.016082764,-10.1828327179,0.0397524163127
4,8.14975368744e-20,0.0,0.0,-0.000136882576044,1519.828125,5.15179999638e-06,14.6854295731,1.46765666287e-09,1.01369398986e-11,202.558364868,-6.57127189636,0.0741798356175
5,8.96980051345e-20,0.0,0.0,-0.000162682379596,1745.59313965,5.21932224729e-06,48.2553100586,1.27761889956e-08,8.47056591535e-10,197.764724731,-1.6802675724,0.0377518348396
6,5.02527241079e-15,-1.5924132013e-09,-1.37086419993e-09,-0.000197575704078,1737.78234863,5.09881920152e-06,84.1435241699,1.32491777549e-08,4.08129956497e-08,195.909851074,3.48034238815,-0.0760867521167
7,2.55720705028e-12,-1.27154834217e-07,9.5105878728e-09,-0.000316276185913,1423.95349121,5.26923167854e-06,74.5149383545,3.54172755124e-07,6.65009736167e-07,197.635467529,7.26000785828,-0.272875189781
8,1.47522922697e-12,2.38197888081e-08,6.80892995319e-08,-0.000576807477046,1675.20385742,6.56562269796e-06,65.0573043823,3.04719515043e-06,4.74287662655e-06,200.828521729,9.47456741333,-0.413432300091
9,1.49447457447e-12,1.80584493137e-07,1.15365757836e-07,-0.000944465573411,1970.78356934,1.05615081338e-05,61.7126159668,1.45647109093e-05,2.20222536882e-05,205.415710449,11.0073947906,-0.539354920387
10,1.00276568733e-12,-4.4438092317e-08,-6.12199571037e-08,-0.00127896759659,2318.50585938,2.0838348064e-05,60.9273986816,4.53848806501e-05,6.56088814139e-05,211.225097656,11.8272447586,-0.496706098318
11,3.29768265646e-12,-2.50071764185e-07,-9.33222139565e-08,-0.00146384874824,2727.53149414,4.50691950391e-05,59.415435791,0.000105138133222,0.000140393298352,218.075439453,11.7493076324,-0.354670077562
12,4.36153543837e-11,-7.40024219681e-08,-1.8613452113e-08,-0.00147848145571,3260.74658203,9.57970551099e-05,54.6880531311,0.000193229905562,0.000234124396229,225.770294189,10.9912166595,-0.223517686129
13,3.90663029703e-10,-2.57967567308e-08,3.29377733976e-08,-0.00135504978243,3835.73388672,0.000190614548046,47.7384223938,0.000279156287434,0.000320071616443,234.042602539,9.76701450348,-0.144590869546
14,1.61983326752e-09,2.08228945198e-09,1.97700931182e-08,-0.00115078408271,4511.796875,0.00035462732194,41.4088439941,0.000343929190421,0.000379966571927,242.525772095,8.16024875641,-0.103938110173
15,1.28459742843e-09,6.49182325674e-08,-3.66002139707e-09,-0.000921841943637,5306.44628906,0.000628219509963,37.3464698792,0.00043097184971,0.000476787245134,250.870849609,6.25158929825,-0.0671651437879
16,5.92719429093e-10,2.87867933935e-08,-7.04345293201e-09,-0.000650731788483,6239.99902344,0.00107031362131,34.6794967651,0.000622043735348,0.00068406376522,258.78817749,4.32925415039,-0.0334121473134
