,PRECT,Q_IL
0,0.343606204777,20.5672
1,0.384308598065,36.9043
2,0.27087099635,49.8813
3,0.118507791366,60.1893
4,0.0597763472013,68.3772
5,0.0418635523813,74.8811
6,0.0330380214606,80.0474
7,0.0270084925131,84.1511
8,0.0218273310987,87.4107
9,0.0175157166067,90.0
10,0.013827327657,92.0567
11,0.0108403129307,93.6904
12,0.00846918183095,94.9881
13,0.00676941121418,96.0189
14,0.0053477601626,96.8377
15,0.00420841796101,97.4881
16,0.00331852830578,98.0047
17,0.00254908895322,98.4151
18,0.00188750839434,98.7411
19,0.00146000571657,99.0
20,0.00111518730167,99.2057
21,0.000849201970439,99.369
22,0.000599893483283,99.4988
23,0.000443150497239,99.6019
24,0.000320038987098,99.6838
25,0.000247701257748,99.7488
26,0.00018520595498,99.8005
27,0.000141286119049,99.8415
28,0.000103377083705,99.8741
29,7.64021183261e-05,99.9
30,5.53295225355e-05,99.9206
31,4.75667084432e-05,99.9369
32,3.22934876415e-05,99.9499
33,2.31533733951e-05,99.9602
34,1.63112293449e-05,99.9684
35,1.43636514029e-05,99.9749
36,1.04297537156e-05,99.98
37,8.66538969004e-06,99.9842
38,5.45898301466e-06,99.9874
39,3.86381199467e-06,99.99
40,3.39721091518e-06,99.9921
41,2.01696564008e-06,99.9937
42,1.71588060674e-06,99.995
43,1.54278833618e-06,99.996
44,2.44218884065e-06,99.9968
45,1.26987845127e-06,99.9975
46,4.78354729273e-07,99.998
47,1.14479665738e-06,99.9984
48,3.02236523093e-07,99.9987
