,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,0.326519106409,0.0184249497165,0.0240884644866,0.0367455745546,1.39854101292,20.5672
1,,0.0063423519007,0.00692492522088,0.0105646145037,0.0160710602507,0.676489090096,36.9043
2,,0.00331833879305,0.00629834653106,0.00965987167016,0.0147727065122,0.462553638697,49.8813
3,15.0560377075,0.00261375834878,0.00427378045501,0.00691516616803,0.0110365905152,0.315326897569,60.1893
4,0.0382469011377,0.00177034570541,0.00297379507913,0.0047423408003,0.00773783147087,0.193325893906,68.3772
5,0.00349511453384,0.00112889987696,0.00197730410773,0.0031650156847,0.00514891269394,0.105855827471,74.8811
6,0.00108652918786,0.00068841590467,0.00126136291409,0.00209201143643,0.00341634432595,0.0536251989119,80.0474
7,0.00055360937852,0.000471274246503,0.000884471166622,0.00149165197889,0.00246419949518,0.0272427824088,84.1511
8,0.000218762887974,0.000371207532029,0.000693302150133,0.00115321557392,0.00191318525342,0.0151243999972,87.4107
9,0.000149515901715,0.00031277641045,0.000578528713206,0.000959299658743,0.00156382131066,0.00911655074253,90.0
10,0.000135698508706,0.000274396035499,0.000504313535072,0.000818220697198,0.00134421986874,0.00581073319456,92.0567
11,0.000134212640691,0.000251328856338,0.000452508870481,0.000729456171977,0.00116501620283,0.0038594161606,93.6904
12,0.000131101080512,0.000219913108656,0.000399378929414,0.000633167913708,0.00101135018048,0.00275403014845,94.9881
13,0.000122742083534,0.000201219299351,0.000355176057853,0.000542302334663,0.000867655095632,0.00206211992354,96.0189
14,0.00010944319232,0.000174854235912,0.000308797779241,0.000472317634275,0.000731675757904,0.00157494243733,96.8377
15,9.66080485982e-05,0.000153744679277,0.000273836005166,0.000413959130977,0.000617511945915,0.00122964430708,97.4881
16,8.55763829702e-05,0.000127404218614,0.000229653291779,0.000340867091291,0.000526897398897,0.000993462161238,98.0047
17,7.14185979827e-05,0.000108111621094,0.000190493382876,0.000291180198007,0.000437052752922,0.000804025417406,98.4151
18,6.12552788901e-05,9.19201500441e-05,0.000165982510987,0.000246775099641,0.000358952458251,0.000628534651578,98.7411
19,5.29863519028e-05,7.33225499677e-05,0.000135570830241,0.000199448864061,0.000291148973341,0.000501091034089,99.0
20,4.19220458633e-05,6.25721658478e-05,0.000113574802864,0.000167550762518,0.000249955408963,0.000410642424453,99.2057
21,3.63771343843e-05,5.29986433957e-05,9.55347857874e-05,0.00013643682682,0.000203222743983,0.000344568776661,99.369
22,2.79540016496e-05,4.19142535914e-05,7.24925787716e-05,0.000111886053893,0.000161216576343,0.00027024037665,99.4988
23,2.42945355897e-05,3.31919148901e-05,6.36790896373e-05,9.18618207781e-05,0.000134543235392,0.000217626833953,99.6019
24,2.02799282767e-05,2.73219980295e-05,4.62442569684e-05,7.55403833533e-05,0.000102000892157,0.000174161702851,99.6838
25,1.62897410039e-05,2.20927751771e-05,4.26156135994e-05,5.56032086795e-05,8.46207492558e-05,0.000140294199928,99.7488
26,1.32736738733e-05,1.84839465526e-05,3.19470919526e-05,4.63002844828e-05,7.35079082269e-05,0.000116331186168,99.8005
27,1.03231696489e-05,1.41252728225e-05,2.68243967777e-05,3.83538203563e-05,5.55468096022e-05,9.248558063e-05,99.8415
28,8.31845740043e-06,1.14115345042e-05,2.17000812284e-05,3.00315087195e-05,4.2892606863e-05,7.54089489761e-05,99.8741
29,7.7039209854e-06,9.38976237022e-06,1.61209013486e-05,2.36007705615e-05,3.52324656061e-05,5.85764768029e-05,99.9
30,5.22085803567e-06,7.90954736265e-06,1.15898812609e-05,1.80276419677e-05,2.55439153765e-05,4.70652400606e-05,99.9206
31,4.97512703714e-06,5.58605100728e-06,1.05820791039e-05,1.46983066412e-05,2.04023250174e-05,4.3860412564e-05,99.9369
32,3.44281023089e-06,4.47010839693e-06,7.21285508806e-06,1.16836809492e-05,1.727877124e-05,3.16103832767e-05,99.9499
33,3.60170635428e-06,2.95696716078e-06,7.15622623581e-06,7.94829335718e-06,1.18282163943e-05,2.36741445802e-05,99.9602
34,2.13408373649e-06,2.844241703e-06,4.79544710772e-06,5.75131594264e-06,9.9319211945e-06,2.05444265079e-05,99.9684
35,2.06778334507e-06,1.97809051503e-06,3.73554247968e-06,5.3318927414e-06,7.64114395599e-06,1.58770863722e-05,99.9749
36,1.26236663079e-06,1.27596010191e-06,3.33776838558e-06,4.90569708619e-06,5.78762563399e-06,1.16036535548e-05,99.98
37,1.30963124275e-06,1.60082125454e-06,2.05924360056e-06,3.74999376602e-06,4.52431987801e-06,9.68919200191e-06,99.9842
38,1.05942422156e-06,9.48407097431e-07,2.06077373913e-06,2.05884724669e-06,3.00279151255e-06,6.65823916013e-06,99.9874
39,6.47197986151e-07,7.74373156611e-07,1.05808548915e-06,1.66299889686e-06,2.62891545364e-06,5.99721367794e-06,99.99
40,6.36718296147e-07,7.39009444848e-07,9.74230393701e-07,1.18916847336e-06,1.66437970092e-06,4.01209279119e-06,99.9921
41,5.36277111517e-07,4.6719175896e-07,4.91201618108e-07,1.29872922296e-06,1.57663300125e-06,3.40306939901e-06,99.9937
42,4.34567794176e-07,5.24181741968e-07,7.44162403157e-07,5.78652096544e-07,1.34240387067e-06,4.66241134594e-06,99.995
43,4.7468166951e-07,2.22829023606e-07,3.0956722638e-07,7.40434813412e-07,7.23675257226e-07,1.64158889178e-06,99.996
44,4.27956032526e-07,2.77560468835e-07,2.30705405462e-07,4.52179483065e-07,5.06767299519e-07,3.5629751516e-06,99.9968
45,1.36067525648e-07,1.60800933268e-07,2.61653874638e-07,3.26764833597e-07,5.53102815043e-07,1.11586083663e-06,99.9975
46,1.40290994697e-07,1.11778366823e-07,1.9483612428e-07,8.41965287659e-07,5.81365534127e-07,9.73125926236e-07,99.998
47,1.57791906057e-08,7.15112166367e-08,1.18331691584e-07,5.63357122802e-07,4.02756650857e-07,1.22278434226e-06,99.9984
48,9.50562306616e-08,8.85123493271e-08,4.83161455822e-08,2.29944734887e-07,1.0892800175e-07,2.1263248396e-06,99.9987
