,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,8.03221386743,0.0855529060728,0.0859846542577,0.125393662814,3.50087132931,20.5672
1,,0.0153519852317,0.00792655387438,0.0115037470935,0.0181307968766,0.806477318079,36.9043
2,,0.00293495962209,0.00602046777465,0.0091774457551,0.0139298995771,0.461688782763,49.8813
3,,0.00262556736483,0.00461209330333,0.00734476144005,0.0114994996098,0.305499820901,60.1893
4,0.688518396819,0.00177823583617,0.00318636367351,0.00516174763584,0.00833986321297,0.187498348849,68.3772
5,0.00306985484452,0.00122021025131,0.00225710747366,0.00360794395029,0.00588304608468,0.102986103706,74.8811
6,0.00091975824559,0.000789094143386,0.00151129412912,0.00247812777611,0.00403391234293,0.0535336416487,80.0474
7,0.000479699216277,0.000545123033719,0.00104730397516,0.00174430099679,0.0028531534565,0.0287144798296,84.1511
8,0.000258112049488,0.000408919988545,0.000784987394652,0.00130519240078,0.00215460822479,0.016582321438,87.4107
9,0.000189421125491,0.000325768216994,0.000621396766709,0.00102926127896,0.00168710799973,0.0102442782397,90.0
10,0.000157313230965,0.000277765148708,0.000517501343012,0.000849074323741,0.00137807979403,0.0066846531874,92.0567
11,0.000139497129504,0.000240021774527,0.000445658517028,0.000717122991102,0.0011677785487,0.00447906874502,93.6904
12,0.000129978883,0.000211683755075,0.00039343485385,0.000623806091043,0.000992295660959,0.00317180414556,94.9881
13,0.000118116533215,0.000185335839579,0.000339885545907,0.000538150307472,0.000857614066908,0.00234355871701,96.0189
14,0.000107732439659,0.000164687984811,0.000301054809153,0.000457172049947,0.000729374692174,0.00178135682988,96.8377
15,9.23039524308e-05,0.000142745100235,0.00025867016332,0.00039325413924,0.000608642751466,0.00136747836249,97.4881
16,8.16637727624e-05,0.000124534856713,0.000228137832458,0.000342863039931,0.000512172823717,0.00107854610274,98.0047
17,7.12000358513e-05,0.000104628647801,0.000191042391421,0.000283732236589,0.000433822890827,0.000854098473006,98.4151
18,5.83209458187e-05,8.76516617736e-05,0.000158610271897,0.000240452953079,0.000359165207009,0.000681696431894,98.7411
19,5.04750168969e-05,7.38823206558e-05,0.000136979125276,0.00020156493294,0.000294525565633,0.000544405772354,99.0
20,4.27557686443e-05,5.83904800002e-05,0.000110898208632,0.000163204945061,0.000239265161714,0.000430270489709,99.2057
21,3.41500753758e-05,4.96876012197e-05,9.23910886209e-05,0.000136494611377,0.000201856057678,0.000350691411842,99.369
22,2.87602655473e-05,4.24833172244e-05,7.77712292032e-05,0.000108810432736,0.000163419338831,0.000285985851951,99.4988
23,2.24413777307e-05,3.30353624684e-05,5.85631767694e-05,9.16052794981e-05,0.000130373128368,0.000216468132702,99.6019
24,1.92705721434e-05,2.65348239361e-05,5.17306600369e-05,7.32756230637e-05,0.00010692942123,0.000182327351634,99.6838
25,1.61190085001e-05,2.1598703358e-05,3.85394772752e-05,6.05920313898e-05,8.54426612696e-05,0.000140601589066,99.7488
26,1.30455862159e-05,1.75441014131e-05,3.4010931564e-05,4.55179599285e-05,6.75034587088e-05,0.000112868106135,99.8005
27,1.05862007546e-05,1.44737713971e-05,2.71064118424e-05,3.72262307892e-05,5.86933795185e-05,9.7309329435e-05,99.8415
28,8.19452722567e-06,1.14403315501e-05,2.18680125425e-05,3.11640450404e-05,4.42248240449e-05,7.8733562251e-05,99.8741
29,6.81125167757e-06,9.33083125052e-06,1.75358196055e-05,2.49932919752e-05,3.49947780415e-05,6.0483146628e-05,99.9
30,5.87385392685e-06,7.59827823459e-06,1.32517342875e-05,1.862407721e-05,2.80948331411e-05,4.90879922398e-05,99.9206
31,4.31465560309e-06,6.05630323561e-06,1.00165537492e-05,1.44883056519e-05,1.98016398785e-05,3.85915365254e-05,99.9369
32,3.98279394197e-06,4.6261730121e-06,8.44570621023e-06,1.195551124e-05,1.65567651282e-05,3.57925333588e-05,99.9499
33,2.67994238434e-06,3.50502342993e-06,5.58277457649e-06,9.10100195914e-06,1.3388345852e-05,2.64226892943e-05,99.9602
34,2.79503784135e-06,2.31609572455e-06,6.30877507088e-06,6.55410005501e-06,8.46926899742e-06,1.85665561939e-05,99.9684
35,1.81116556573e-06,2.16298120662e-06,4.20434457469e-06,5.10154706707e-06,7.82902435042e-06,1.62893450364e-05,99.9749
36,1.52984126061e-06,1.51463643147e-06,2.86198147561e-06,4.58838907942e-06,6.34528844754e-06,1.30277615736e-05,99.98
37,9.00383378576e-07,1.12550144532e-06,2.64012951812e-06,3.65379111865e-06,4.58404200591e-06,1.01738604958e-05,99.9842
38,9.8640279768e-07,1.3079238352e-06,1.75911985068e-06,2.66457108781e-06,3.86763528565e-06,6.96532615939e-06,99.9874
39,1.04419663399e-06,7.83003910363e-07,1.63846605991e-06,1.62016518622e-06,1.97296491754e-06,5.37070999929e-06,99.99
40,5.66303249759e-07,7.1266927959e-07,9.2910235025e-07,1.4075821934e-06,1.92451883815e-06,5.20230057294e-06,99.9921
41,5.73212297147e-07,4.94602598347e-07,9.96816062976e-07,1.01100927169e-06,1.47488526888e-06,3.06486632925e-06,99.9937
42,4.73430572842e-07,4.01451744891e-07,4.88057887676e-07,1.09003573716e-06,1.25195918256e-06,3.38757982517e-06,99.995
43,2.69565320733e-07,3.33891111383e-07,5.89166657681e-07,3.86492639495e-07,6.47625406676e-07,2.87073529751e-06,99.996
44,3.62493015363e-07,2.98158900616e-07,2.60373549529e-07,6.73587678548e-07,7.98987694299e-07,1.28588817789e-06,99.9968
45,2.96643874959e-07,1.93974521687e-07,1.12091067881e-07,3.34756560717e-07,5.57585676389e-07,2.62718739509e-06,99.9975
46,1.38465846236e-07,1.39227281982e-07,2.35311324029e-07,3.11064741302e-07,3.69185810813e-07,8.28054289268e-07,99.998
47,8.33102693726e-08,1.04089329705e-07,1.38183634162e-07,8.02466157433e-07,5.24604874221e-07,6.19892472309e-07,99.9984
48,3.03798794974e-08,7.24510575174e-08,1.55252705581e-07,3.24182395782e-07,1.97765316815e-07,1.4495739512e-06,99.9987
