,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,0.492906351809,0.0259704930751,0.0348918485075,0.0560207829929,1.37389101279,20.5672
1,,0.00537257782328,0.00598856564274,0.00957051473757,0.0150457088868,0.507730457467,36.9043
2,,0.00286858295906,0.00577391666667,0.0091915270351,0.0144259886483,0.3426005767,49.8813
3,,0.00257370905096,0.00477383926527,0.00769813945609,0.0123611254207,0.265287111669,60.1893
4,1.66460710602,0.00221365288763,0.0039437675995,0.00627723624411,0.0099415629593,0.210797422287,68.3772
5,0.00985550703582,0.0017968143472,0.00318525586095,0.0050080847213,0.00807444576869,0.174904824843,74.8811
6,0.00132433495486,0.00143033077738,0.00260728334785,0.00406880908345,0.00658490383947,0.143260183984,80.0474
7,0.00110426211055,0.00117106944532,0.00203790996873,0.0032669233551,0.00510238200489,0.120609598323,84.1511
8,0.0009516573757,0.000930442480877,0.00165153422604,0.00259025499477,0.00411667668229,0.103622527092,87.4107
9,0.000810848711745,0.000757998698903,0.0013066232554,0.00212227732427,0.00332903922698,0.084558582844,90.0
10,0.000680237450451,0.000621469482064,0.00107186447458,0.00168655160593,0.00267397850529,0.0709275248434,92.0567
11,0.000570398868197,0.000511264104389,0.000872865209828,0.00136405113265,0.00218511114902,0.0588023716183,93.6904
12,0.000468521764234,0.000426528426765,0.000692372121402,0.00113186861124,0.00176822027925,0.047816586019,94.9881
13,0.000385461990068,0.000335431677958,0.000554419474257,0.000902920410297,0.0014368606424,0.0398590947216,96.0189
14,0.000325234890594,0.000280668767144,0.000451186561416,0.000712790178802,0.00114531258378,0.0326526630597,96.8377
15,0.000271938734784,0.000226210142646,0.000360552235695,0.000592666662948,0.000946005171982,0.0281511097819,97.4881
16,0.000227620647575,0.000183013522834,0.000283787287602,0.000459619694956,0.000765973381014,0.0229707090795,98.0047
17,0.000181662043617,0.000149139235096,0.000233048552015,0.000376132298736,0.000591623406476,0.0189116283259,98.4151
18,0.00015996444946,0.000120725349996,0.000187978874014,0.000292474724225,0.000495888271743,0.0147337785847,98.7411
19,0.000120826894778,9.3610306381e-05,0.000148744743756,0.000243194166673,0.000377638064748,0.0121174597242,99.0
20,0.00011023226744,7.45074245097e-05,0.000121230537381,0.000188852010798,0.000321793309811,0.0097476087605,99.2057
21,9.11560225659e-05,6.04380102285e-05,9.05257352365e-05,0.000145124410916,0.000251574188623,0.00766592783042,99.369
22,6.94419166864e-05,4.6117300251e-05,7.2527517285e-05,0.000115536132222,0.000198217437924,0.00583065378179,99.4988
23,6.3102013474e-05,3.49954770233e-05,5.38111980265e-05,8.44659246129e-05,0.000146232639051,0.00461752504401,99.6019
24,4.51775575467e-05,3.16145657835e-05,4.6267717495e-05,7.4418736016e-05,0.000111616298802,0.00359454436285,99.6838
25,3.85140683348e-05,2.53706538639e-05,3.62117863805e-05,5.35935360111e-05,7.88959576258e-05,0.00290243073129,99.7488
26,3.28102129433e-05,1.89231982266e-05,2.94804520232e-05,4.43461670402e-05,7.60764193714e-05,0.00218085444696,99.8005
27,2.34371776166e-05,1.53777422566e-05,2.07833305465e-05,3.40194628966e-05,5.65074961425e-05,0.00171883502302,99.8415
28,2.1784119445e-05,1.19600592897e-05,1.9049916693e-05,2.68627981779e-05,4.11515576101e-05,0.0016112394174,99.8741
29,1.88922963032e-05,9.83226007916e-06,1.26262986794e-05,1.95494174329e-05,3.75367653312e-05,0.00104115105349,99.9
30,1.35865137007e-05,8.46142529549e-06,1.24651091989e-05,2.05532873303e-05,3.33635126118e-05,0.000788519324782,99.9206
31,9.33239551033e-06,5.42533439047e-06,1.11518960311e-05,1.78076387563e-05,1.73745799747e-05,0.000654880385689,99.9369
32,1.15797836503e-05,5.37551621383e-06,6.06434262377e-06,8.28804372079e-06,1.87636805199e-05,0.000468244014107,99.9499
33,6.39742428895e-06,4.89116402053e-06,5.61599866054e-06,6.50515608935e-06,1.35653041196e-05,0.000449160113925,99.9602
34,5.49827200303e-06,4.5101550793e-06,3.56337673239e-06,4.98549083821e-06,1.13443226509e-05,0.000358588896796,99.9684
35,2.70078929095e-06,4.04589055053e-06,2.50051467224e-06,4.29299016146e-06,6.9417213335e-06,0.000231819844094,99.9749
36,4.39877052965e-06,2.35828603415e-06,3.97681702137e-06,5.18063895845e-06,3.96712437791e-06,0.000202912442337,99.98
37,2.02894313637e-06,1.61188378297e-06,6.9479627568e-07,2.89379602906e-06,4.56715044553e-06,9.79157027662e-05,99.9842
38,2.77554864873e-06,1.14670675063e-06,1.61458448468e-06,2.0930027728e-06,2.91997129198e-06,7.08162143636e-05,99.9874
39,2.57204669887e-06,1.81177784051e-06,9.00455453573e-07,1.89573876196e-06,1.84691826904e-06,7.87972960142e-05,99.99
40,1.32888598159e-06,7.44032107598e-07,8.2467153766e-07,1.76467295299e-06,2.15201431918e-06,6.08243683214e-05,99.9921
41,9.5135249675e-07,3.10403155776e-07,4.87703363885e-07,2.97979500765e-07,6.10178700908e-07,7.34928812083e-05,99.9937
42,1.23039220068e-06,1.75514972565e-06,8.0701832646e-07,1.03412773506e-06,1.44009741925e-06,3.44434206052e-05,99.995
43,1.33157639428e-06,1.44808581694e-07,3.56727809183e-07,3.2798468077e-07,1.00148318747e-06,9.55787291539e-06,99.996
44,2.58964659758e-07,5.72105045176e-07,1.54639882981e-07,3.71719600409e-07,8.58920310447e-07,1.64686207466e-05,99.9968
45,1.78254271325e-07,2.06634877295e-07,4.48523646979e-07,4.48880570037e-07,2.00331387686e-07,1.52593598257e-05,99.9975
46,1.5390718112e-07,8.99291913255e-08,2.3969524726e-07,4.48108368482e-07,2.68030773769e-07,4.75152045666e-05,99.998
47,1.22495776977e-06,5.453000376e-07,1.09485987263e-07,2.85388986637e-07,1.58503286963e-07,,99.9984
48,,1.69944092606e-07,1.46907136245e-07,3.18823866065e-07,2.38160928906e-07,4.23694758236e-05,99.9987
