,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,0.277853443104,0.0163816918136,0.0217325062014,0.0330288164697,1.19020737634,20.5672
1,,0.00545443587849,0.00742659150409,0.01148356501,0.0173636135696,0.631883375908,36.9043
2,,0.00352359468568,0.00626534404996,0.00975123607452,0.0152936389721,0.433258857919,49.8813
3,1.41116350362,0.00257912239288,0.0044091784582,0.0069292312392,0.0111270848753,0.290576586612,60.1893
4,0.00638726591704,0.00181842902927,0.00316845520582,0.00502732119432,0.00810635141714,0.177596498045,68.3772
5,0.0013732915962,0.00122638419093,0.00225335996217,0.0036192169039,0.00583510434905,0.0966732607802,74.8811
6,0.000956928778771,0.000839950000182,0.00161003905544,0.00265580252398,0.00429103494374,0.04928985661,80.0474
7,0.000432188066659,0.000637004768978,0.00121120601195,0.0020374138619,0.0033431555084,0.0260376200562,84.1511
8,0.000270845916362,0.000515900656099,0.000989007908264,0.0016400151749,0.00268321803047,0.0155280822163,87.4107
9,0.000231583487109,0.000446102242752,0.000831721515574,0.00138490747511,0.0022763955893,0.00976590663894,90.0
10,0.000211771788203,0.000391621947955,0.000724816701449,0.00118287290545,0.00191388668699,0.00654891483571,92.0567
11,0.000198736036631,0.000341190310046,0.000630837827492,0.00100446158079,0.00163804330056,0.00475263585601,93.6904
12,0.000181291215597,0.000299489615101,0.000540960049708,0.000867784342627,0.00141653570747,0.00351801876117,94.9881
13,0.000165946492433,0.000261257986983,0.000474254305853,0.000747208633729,0.00117763442322,0.00266131577378,96.0189
14,0.000144648512345,0.000223316967875,0.000406994995454,0.00062698340886,0.000991596146578,0.00213217813242,96.8377
15,0.000123099444593,0.000192384143601,0.000352650176852,0.000547264658759,0.000848214434453,0.00171564637973,97.4881
16,0.00010564065799,0.00015841054089,0.000294494042452,0.000446436870203,0.000692456099052,0.00138483304838,98.0047
17,8.98127692055e-05,0.000137516786659,0.000245168646051,0.000372672293688,0.000579935367962,0.00108590198249,98.4151
18,7.25721196868e-05,0.000112504846258,0.000199489511719,0.000309891969628,0.000476458208603,0.000922757590264,98.7411
19,6.14401376452e-05,9.26416294049e-05,0.000169213316585,0.000253594510647,0.000381339422812,0.000756812194957,99.0
20,5.22657804546e-05,7.59521275351e-05,0.000142440995594,0.000208247834864,0.000311997005388,0.000595757023299,99.2057
21,4.13342968295e-05,6.24391087934e-05,0.000111454708522,0.000170054027449,0.000271516487752,0.000487393406741,99.369
22,3.5903402624e-05,5.06873010538e-05,9.46570541067e-05,0.000135748323646,0.000206783066631,0.000396799170491,99.4988
23,2.83405154911e-05,4.1141921912e-05,7.31164989615e-05,0.00011307209204,0.000176060579862,0.000308196004208,99.6019
24,2.21037337218e-05,3.27739755058e-05,6.08786785055e-05,9.07199230021e-05,0.000138314415049,0.000253430945326,99.6838
25,1.95686507775e-05,2.59898312e-05,4.69532479522e-05,7.07591787064e-05,0.000110983313948,0.00020150797491,99.7488
26,1.48960470446e-05,2.23935057847e-05,3.84456412292e-05,5.21367516148e-05,9.50586316677e-05,0.000169975669708,99.8005
27,1.24594777245e-05,1.78663628815e-05,3.02297801343e-05,4.73931489486e-05,6.45296627437e-05,0.000132984719693,99.8415
28,1.07827640713e-05,1.38387483995e-05,2.41731736707e-05,4.09762483437e-05,5.43712665932e-05,0.000106012722428,99.8741
29,7.94659062509e-06,1.03094978421e-05,1.94708428372e-05,2.82998560081e-05,4.16933935689e-05,8.09691499588e-05,99.9
30,6.70284748969e-06,7.32117461139e-06,1.47794541252e-05,2.26187826443e-05,3.19168141696e-05,6.30555429203e-05,99.9206
31,4.85838117761e-06,7.08989121071e-06,1.33840272212e-05,1.60691588447e-05,2.63733879781e-05,5.74279567734e-05,99.9369
32,3.82270420263e-06,4.8316452111e-06,9.63146279927e-06,1.23412155875e-05,1.90370101732e-05,4.77108831973e-05,99.9499
33,3.18685517431e-06,4.05487210862e-06,7.49187284224e-06,1.05012805054e-05,1.62027114023e-05,3.6537757882e-05,99.9602
34,2.225170413e-06,3.06262629936e-06,4.61437852915e-06,7.22668150168e-06,1.07934358186e-05,2.3319752667e-05,99.9684
35,1.84740392829e-06,2.64739960135e-06,4.13290119303e-06,5.89541239373e-06,8.85879265213e-06,1.94107507343e-05,99.9749
36,1.44087257425e-06,2.10974310064e-06,3.33197134256e-06,5.95590285758e-06,6.72838671462e-06,1.60688575912e-05,99.98
37,1.47587061335e-06,1.13690149731e-06,2.39133232257e-06,2.68893908476e-06,4.93888020431e-06,1.32867510316e-05,99.9842
38,7.49241086614e-07,1.10615362206e-06,1.8875229987e-06,2.4112224344e-06,4.04357697932e-06,8.83960398467e-06,99.9874
39,1.14921096118e-06,1.06152084551e-06,1.31577654487e-06,2.31076256183e-06,2.33842585846e-06,8.07804655734e-06,99.99
40,6.04076820763e-07,9.28034721169e-07,1.15978730759e-06,1.56763342099e-06,2.39915594575e-06,6.74037034832e-06,99.9921
41,5.59030767239e-07,4.89786571453e-07,6.80067152571e-07,1.10308362901e-06,9.25395352584e-07,5.49606769195e-06,99.9937
42,3.55044428897e-07,5.52750819886e-07,6.5482861265e-07,7.11058521148e-07,1.78222459219e-06,3.73389831531e-06,99.995
43,4.02419039649e-07,7.0808374016e-07,6.12337411535e-07,7.82104929194e-07,9.93624698687e-07,3.19471857536e-06,99.996
44,1.49408919834e-07,2.85704701946e-07,4.61150589668e-07,4.9411535691e-07,8.13730245797e-07,2.04936459321e-06,99.9968
45,1.16019519152e-07,3.7781895117e-07,2.43155046233e-07,5.55975754028e-07,5.27516160032e-07,2.35176586318e-06,99.9975
46,2.01400307011e-07,1.28532083634e-07,1.82255168645e-07,2.34445602076e-07,9.9928149618e-07,1.03637722937e-06,99.998
47,1.33787052376e-07,2.44800925821e-07,1.66199854246e-07,2.5362539399e-07,2.10182673214e-07,1.16863823693e-06,99.9984
48,8.28250454335e-08,1.7170915754e-07,1.44095378602e-07,2.07111663492e-07,8.48474135833e-08,3.40879136081e-07,99.9987
