,PRECT,Q_IL
0,0.512142071783,20.5672
1,1.00530721672,36.9043
2,1.4396970872,49.8813
3,2.05001042287,60.1893
4,3.18104525136,68.3772
5,4.71514223262,74.8811
6,6.33015181597,80.0474
7,7.92518259796,84.1511
8,9.47297664596,87.4107
9,11.0026470184,90.0
10,12.5293723088,92.0567
11,14.0677009284,93.6904
12,15.6492288475,94.9881
13,17.2001889017,96.0189
14,18.7898087688,96.8377
15,20.3693142892,97.4881
16,21.9463677086,98.0047
17,23.5795683122,98.4151
18,25.3216826851,98.7411
19,27.0855992126,99.0
20,28.9463925531,99.2057
21,30.87396029,99.369
22,32.9086313231,99.4988
23,35.3136313071,99.6019
24,37.8037904813,99.6838
25,40.4338179563,99.7488
26,43.3440384006,99.8005
27,46.3396483069,99.8415
28,49.2150684822,99.8741
29,52.7116278381,99.9
30,56.426434336,99.9206
31,59.9871121074,99.9369
32,63.4787944847,99.9499
33,68.1714215238,99.9602
34,72.9621737188,99.9684
35,77.7689115455,99.9749
36,82.4455631373,99.98
37,88.1002230079,99.9842
38,93.0034755292,99.9874
39,100.01790722,99.99
40,106.158075948,99.9921
41,113.78236042,99.9937
42,122.285875648,99.995
43,129.185523901,99.996
44,134.146015247,99.9968
45,138.342816284,99.9975
46,143.752018624,99.998
47,151.093245982,99.9984
48,156.18351265,99.9987
