,PRECT,Q_IL
0,0.139145879971,20.5672
1,0.782458418281,36.9043
2,1.29341138135,49.8813
3,1.94830706522,60.1893
4,3.17379048167,68.3772
5,4.82708323527,74.8811
6,6.54226402306,80.0474
7,8.19852945706,84.1511
8,9.78284108482,87.4107
9,11.3236833572,90.0
10,12.8350554224,92.0567
11,14.3290536582,93.6904
12,15.8555134839,94.9881
13,17.3586980778,96.0189
14,18.9036589356,96.8377
15,20.5025920622,97.4881
16,22.1226380433,98.0047
17,23.8031119921,98.4151
18,25.576648309,98.7411
19,27.4757951736,99.0
20,29.4696746902,99.2057
21,31.5511902344,99.369
22,33.8614704314,99.4988
23,36.4003668764,99.6019
24,39.2082749683,99.6838
25,42.2858841824,99.7488
26,45.5235491961,99.8005
27,48.8372848905,99.8415
28,52.8369539117,99.8741
29,56.8796800804,99.9
30,61.2762957566,99.9206
31,66.3928235272,99.9369
32,71.932819188,99.9499
33,77.9386603754,99.9602
34,84.7474026357,99.9684
35,91.287718582,99.9749
36,97.8186065541,99.98
37,106.379285538,99.9842
38,115.662518595,99.9874
39,123.562574888,99.99
40,132.956498372,99.9921
41,138.930225354,99.9937
42,147.390210413,99.995
43,155.942102678,99.996
44,163.850616281,99.9968
45,171.77479348,99.9975
46,179.936055556,99.998
47,190.475152826,99.9984
48,197.505980932,99.9987
