,PRECT,Q_IL
0,7.58894078717e-07,20.5672
1,0.0683952898725,36.9043
2,0.659184422878,49.8813
3,1.66061207409,60.1893
4,3.19037709774,68.3772
5,4.96977167758,74.8811
6,6.72859934146,80.0474
7,8.36151788588,84.1511
8,9.85445699651,87.4107
9,11.2419351578,90.0
10,12.5681597787,92.0567
11,13.8306462359,93.6904
12,15.0413427604,94.9881
13,16.2425593466,96.0189
14,17.4871030566,96.8377
15,18.7207492222,97.4881
16,20.0375425591,98.0047
17,21.3934081176,98.4151
18,22.8549096838,98.7411
19,24.4750387192,99.0
20,26.2417965047,99.2057
21,28.0979608869,99.369
22,30.0015387015,99.4988
23,32.249411924,99.6019
24,34.5624463283,99.6838
25,36.9656379009,99.7488
26,39.8068742415,99.8005
27,42.3679125943,99.8415
28,45.1605080175,99.8741
29,48.1599781342,99.9
30,51.125887691,99.9206
31,54.4449532079,99.9369
32,58.9987612325,99.9499
33,63.1600026571,99.9602
34,67.290138345,99.9684
35,72.8284815851,99.9749
36,78.2953085823,99.98
37,82.7293484413,99.9842
38,86.1865790755,99.9874
39,90.0210565567,99.99
40,96.1117819727,99.9921
41,100.578304157,99.9937
42,103.87356605,99.995
43,109.308240798,99.996
44,114.986923933,99.9968
45,117.347445648,99.9975
46,125.847700215,99.998
47,129.233653469,99.9984
48,131.163597134,99.9987
