,PRECT,Q_IL
0,0.442759484053,20.5672
1,0.959873798701,36.9043
2,1.39260482788,49.8813
3,1.9464224566,60.1893
4,2.89933579841,68.3772
5,4.26604540293,74.8811
6,5.84800157944,80.0474
7,7.50643427227,84.1511
8,9.18859633787,87.4107
9,10.8260120392,90.0
10,12.4179371615,92.0567
11,13.9416227451,93.6904
12,15.4033031052,94.9881
13,16.807918319,96.0189
14,18.1902304204,96.8377
15,19.5208260519,97.4881
16,20.8738843997,98.0047
17,22.2373873953,98.4151
18,23.5964632202,98.7411
19,25.0344604492,99.0
20,26.4805208985,99.2057
21,27.9761665862,99.369
22,29.5729669818,99.4988
23,31.2658936003,99.6019
24,32.9311334549,99.6838
25,34.6917760817,99.7488
26,36.6726548062,99.8005
27,38.6406651909,99.8415
28,40.7944555924,99.8741
29,42.6803730164,99.9
30,44.7816038331,99.9206
31,47.1525800096,99.9369
32,49.5703207155,99.9499
33,52.2959056205,99.9602
34,54.935433333,99.9684
35,57.1030792622,99.9749
36,59.7764217803,99.98
37,62.9691241979,99.9842
38,65.6251747874,99.9874
39,68.4367140808,99.99
40,72.5402390088,99.9921
41,74.3599498935,99.9937
42,77.2326614735,99.995
43,79.9500007478,99.996
44,83.4633652472,99.9968
45,86.3081058357,99.9975
46,88.7959571196,99.998
47,90.4031498489,99.9984
48,91.1558517308,99.9987
