,PRECT,Q_IL
0,0.141798555786,20.5672
1,0.751272647048,36.9043
2,1.26889137669,49.8813
3,1.88972838464,60.1893
4,2.97554604924,68.3772
5,4.47457811189,74.8811
6,6.13785206053,80.0474
7,7.80600310642,84.1511
8,9.43089698219,87.4107
9,10.9840270042,90.0
10,12.4723047255,92.0567
11,13.9021475887,93.6904
12,15.273470817,94.9881
13,16.6152599226,96.0189
14,17.9574302765,96.8377
15,19.2624205318,97.4881
16,20.6178097846,98.0047
17,21.9837269224,98.4151
18,23.3727571439,98.7411
19,24.8814772797,99.0
20,26.4201876631,99.2057
21,28.018284459,99.369
22,29.7206702762,99.4988
23,31.5144182889,99.6019
24,33.4124817002,99.6838
25,35.3374054866,99.7488
26,37.5375797057,99.8005
27,39.833105574,99.8415
28,42.0343432074,99.8741
29,44.377216507,99.9
30,46.9226858137,99.9206
31,49.4962106357,99.9369
32,52.4320326009,99.9499
33,55.4860584808,99.9602
34,58.5343925546,99.9684
35,62.0851529794,99.9749
36,65.4647874863,99.98
37,69.2237962911,99.9842
38,73.6504014565,99.9874
39,77.7842795555,99.99
40,81.9781092163,99.9921
41,84.9177903407,99.9937
42,88.2837997185,99.995
43,90.7950393067,99.996
44,96.3300634697,99.9968
45,98.8052838437,99.9975
46,103.722142105,99.998
47,109.067461535,99.9984
48,114.988302287,99.9987
