,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.757712432259,0.8718620233,0.661266104063,0.0318663373341,20.5672
1,0.0,2.08165122908,18.5344608849,13.9623252272,9.16906626905,0.22931635132,36.9043
2,0.0,33.9163120139,41.4298521842,29.0239372408,19.1568839345,0.510415148336,49.8813
3,0.0,66.3868391988,65.3439643312,43.9782391301,28.7350310222,0.832356856959,60.1893
4,0.0901425249286,104.654919824,93.2230637031,61.1180357337,39.3441254283,1.22209771629,68.3772
5,2.58064485276,149.238398241,125.22618626,81.1693958709,51.6138796635,1.75065861153,74.8811
6,31.9479192046,207.403384508,164.697980226,105.300517717,66.4097541141,2.5425112244,80.0474
7,77.17123481,280.223216996,212.420794085,133.586798374,83.5917139294,3.80634588968,84.1511
8,167.935612177,358.867969254,263.509686848,163.768051859,101.811988965,5.71767878004,87.4107
9,319.307580566,436.105072021,313.946130371,193.793566895,120.114373779,8.35717124939,90.0
10,466.43729129,506.607189931,360.116554583,222.110643222,137.252080691,11.7476582338,92.0567
11,587.925287846,568.670393339,402.06095877,247.787992994,153.14026098,15.9372357685,93.6904
12,685.046568567,623.843694805,439.423950195,270.768161567,167.554232686,20.7434297458,94.9881
13,766.400315349,673.117599492,472.712487907,292.211386307,180.79952428,26.0033616848,96.0189
14,835.946118338,716.790928306,503.050537109,311.646304093,193.341339165,31.5010300153,96.8377
15,899.752351041,756.262313394,529.975019217,329.580445015,205.009542621,37.2118677922,97.4881
16,955.862296291,793.960239664,554.970362344,345.874158093,215.913903935,42.8591912261,98.0047
17,1008.79155217,827.957603303,578.836508823,361.708301418,226.205411806,48.431189726,98.4151
18,1058.53016409,860.790743275,601.090732812,376.389975864,236.079469846,53.8885120686,98.7411
19,1103.66943848,892.637329102,622.367607422,390.704993896,245.760395508,59.460333252,99.0
20,1147.54498581,923.198978147,642.531002401,404.371401441,255.069132857,65.0102155693,99.2057
21,1188.7109861,951.214738773,661.789657793,417.290905226,263.887290414,70.162042693,99.369
22,1230.326726,979.189302141,680.772201968,429.963896932,272.50628539,75.2886026824,99.4988
23,1269.70959304,1006.15805269,699.107201041,442.268837176,280.942286157,80.7565673469,99.6019
24,1306.15974642,1033.42346487,717.473828559,454.070685118,289.044588853,85.5317989037,99.6838
25,1341.57068116,1059.75472635,735.576543384,466.238785214,297.761238167,90.5638690672,99.7488
26,1375.98230748,1086.49734659,752.126750855,478.379508817,305.403796704,95.7507620614,99.8005
27,1411.63069232,1111.39760197,768.804976659,490.52046317,313.44525523,100.364528249,99.8415
28,1447.33438646,1136.77671479,786.115810915,502.040118297,321.419515843,104.973439059,99.8741
29,1480.31321484,1160.3854502,802.634219727,513.731972168,329.582400146,109.72940033,99.9
30,1511.9117468,1185.07930228,820.766406756,525.633043493,337.931492545,114.233281292,99.9206
31,1545.9728402,1209.50404503,838.643558342,537.781022173,346.788182291,118.903900505,99.9369
32,1573.04079047,1235.43172564,857.373655579,550.068816566,354.374034783,123.108213224,99.9499
33,1603.67220495,1263.38159073,874.250408675,561.427711497,364.482799756,127.719019669,99.9602
34,1631.61124808,1290.12659853,889.673409502,577.876584716,373.221874455,131.913397183,99.9684
35,1663.80578733,1320.24417833,909.508395087,589.511328963,381.798629017,136.312532374,99.9749
36,1693.67292416,1351.44745636,927.487161894,603.78486785,390.727341763,141.291476168,99.98
37,1732.04220947,1375.35389626,946.698835105,616.370811631,400.14123824,145.111528716,99.9842
38,1756.76204915,1405.25690345,965.942224173,628.154254133,412.783816262,150.731379504,99.9874
39,1783.481796,1430.96118887,985.125344238,647.338145117,423.474760474,156.29290614,99.99
40,1821.95186551,1462.01071192,1010.44237084,662.658972366,434.589950727,159.953068654,99.9921
41,1846.98361703,1490.4308291,1037.84943358,677.719855311,446.43686215,166.366148561,99.9937
42,1877.67882304,1522.21537089,1058.37071404,698.659656201,456.13665797,169.328842149,99.995
43,1899.57220232,1540.73623537,1083.8657423,714.447167897,471.743143254,173.665697915,99.996
44,1914.71304389,1577.43984313,1134.42036569,727.36216457,485.475827514,178.399113689,99.9968
45,1940.64994032,1604.07180473,1148.80387402,752.046992259,501.071045352,180.232690791,99.9975
46,1979.31135893,1643.03442632,1183.49799772,766.385341321,512.346820289,186.02405683,99.998
47,2028.36495061,1682.70710253,1214.71235289,772.240068377,519.331528491,193.347707876,99.9984
48,2090.72053204,1741.36557577,1273.93131281,781.475120481,538.705206949,194.721804194,99.9987
