,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.00049046407937,0.0157231547797,0.0179898299972,0.000481024067462,20.5672
1,0.0,0.0898578995653,4.19564969257,4.23827032212,2.89310557057,0.093573576575,36.9043
2,0.0,14.8027143882,29.0033336614,20.5584444185,13.4746602756,0.358170381178,49.8813
3,0.0,51.4395039038,52.4697289157,35.674007091,23.2952573248,0.694995604046,60.1893
4,0.0,89.055417115,79.3204467807,52.0951540835,33.5879831855,1.10855881408,68.3772
5,2.12547744788,132.333749855,109.537508061,70.6879271584,44.9767701588,1.67034000778,74.8811
6,34.3640548894,184.45885451,144.341405154,92.0042135752,58.0247312843,2.50198200538,80.0474
7,89.6802362251,247.44406876,185.477521605,116.581432167,73.1476791788,3.77956023343,84.1511
8,183.378879784,317.103081425,230.940817429,143.587144295,89.4965977714,5.61975652934,87.4107
9,303.179595947,388.402438354,277.836749268,171.59334259,106.386129761,8.0683637619,90.0
10,423.319466318,457.432642358,323.846578209,199.01434477,123.256949234,11.150560355,92.0567
11,534.802733731,521.004064169,366.327510958,225.297408194,139.216994317,14.8415017485,93.6904
12,631.426118808,578.450315643,405.648942145,249.395866714,154.280096279,19.1304863325,94.9881
13,714.445736715,630.134909165,441.164111068,271.53481389,168.033437482,23.8538891135,96.0189
14,787.451426663,677.283641212,473.459996143,292.159068555,180.892359525,28.8290008455,96.8377
15,852.109516834,719.784662134,502.838033417,311.115504114,193.146501234,33.9776782824,97.4881
16,911.744543948,758.438817225,529.338619683,328.698028205,204.554694482,39.3182432522,98.0047
17,965.556734143,795.122887592,553.904929557,344.774784097,215.406963509,44.6318634947,98.4151
18,1016.54510343,828.175943493,577.577190033,360.419052742,225.6010716,49.9812990501,98.7411
19,1064.56790649,860.649284058,599.672456665,375.066011963,235.437631073,55.256724205,99.0
20,1108.49519405,892.104959559,620.65398757,389.365461338,245.006339107,60.5404712316,99.2057
21,1151.09166491,922.518559901,640.96625986,403.142374928,254.419112888,65.8485474724,99.369
22,1192.20433403,950.666871511,660.416374562,416.143918137,263.283316835,70.9325122269,99.4988
23,1233.2468652,978.275665664,679.247943019,428.906795576,271.851727827,75.9117595883,99.6019
24,1272.95861127,1005.70424723,697.906580176,441.453101942,280.327807579,81.3702561109,99.6838
25,1309.45519293,1033.08311049,716.402629631,453.343194638,288.661636494,86.2345440047,99.7488
26,1344.88634463,1059.43852878,734.554273307,465.538522031,297.533781322,91.0310768151,99.8005
27,1379.36882231,1086.0188779,750.854927135,477.901115299,305.219414072,96.1060930655,99.8415
28,1414.75467134,1110.45838141,768.077992976,490.005719794,313.336084625,100.823562774,99.8741
29,1450.03883057,1135.80705334,785.164479858,501.386839752,321.557035583,105.483920013,99.9
30,1482.84223001,1159.01338037,801.317853397,513.669771971,329.769212247,109.973092974,99.9206
31,1514.41632369,1184.1655282,819.338066573,525.760244341,338.509581508,114.798103306,99.9369
32,1547.60893601,1206.72541866,837.427039015,538.163011398,347.566573148,119.213402988,99.9499
33,1576.81689007,1233.77501644,856.146557992,550.248036121,355.787248781,123.39679676,99.9602
34,1605.29195448,1263.38258559,873.300671934,561.558163327,365.84926038,128.117331744,99.9684
35,1636.37904843,1290.76463925,888.128834849,577.996863165,375.112979156,132.242924215,99.9749
36,1667.6647969,1321.10784081,907.427316121,590.251818998,384.118604439,136.56507869,99.98
37,1700.11692132,1351.21677309,926.250924231,603.454579291,393.936138294,141.556267702,99.9842
38,1735.02025438,1374.99104678,945.356214013,616.960522402,403.097122055,146.018502934,99.9874
39,1759.1875874,1404.85802017,961.935005072,629.535512823,415.286310266,151.328143628,99.99
40,1785.12749314,1428.14473713,983.6680085,648.902465675,426.265796937,156.763207394,99.9921
41,1813.78277686,1458.25187157,1005.36810819,664.200637086,440.570592977,160.429709308,99.9937
42,1841.13914086,1483.44163282,1025.65006002,681.077582172,452.259848397,166.901605173,99.995
43,1871.55267733,1520.45543341,1051.30277565,700.825466715,464.126438095,169.60228548,99.996
44,1898.4859708,1536.86308752,1078.92240167,715.508917626,479.582084024,174.63303253,99.9968
45,1914.19823448,1572.30258269,1120.18466266,735.947401645,489.963719152,178.807806063,99.9975
46,1938.57215315,1598.16649558,1145.59074315,755.261559643,506.027308361,184.207606078,99.998
47,1974.31359544,1632.08906534,1183.69988549,764.467633297,517.922092706,189.529268027,99.9984
48,2024.21336321,1666.71126931,1210.48634937,771.844760814,528.51353222,193.755447533,99.9987
