,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.0,0.0,0.0,0.0,20.5672
1,0.0,0.0,0.0,0.0,0.0,1.29143198852e-06,36.9043
2,0.0,0.0418162649214,1.45671911757,1.59295205486,1.20233832403,0.0479991300356,49.8813
3,0.0,15.9936963741,21.6477691459,14.7630371937,9.39676671163,0.342738113103,60.1893
4,0.109123002511,55.0404392574,46.4960226162,29.9612106558,18.8748666742,0.890041605689,68.3772
5,21.313409204,94.2299963254,71.4351891238,45.0765413266,28.3047871519,1.70536290057,74.8811
6,85.1647869113,133.290617555,96.3772879572,60.0960946484,37.6763513443,2.78305159045,80.0474
7,148.284770878,172.278743337,121.17955228,74.912527043,46.8652904586,4.20455881889,84.1511
8,208.495494716,211.011488283,145.709699028,89.891385011,56.2263706092,5.91440984319,87.4107
9,267.401342773,250.448254395,171.284234619,105.270361328,65.7109741211,7.9319065094,90.0
10,325.637767417,290.253329059,197.60302438,120.764805839,75.3025914109,10.2241244719,92.0567
11,383.099504845,329.925214428,223.018075368,136.05478819,84.6684584025,12.7883227817,93.6904
12,439.500337746,368.458888212,248.555366709,151.244558903,93.9875899347,15.5595945568,94.9881
13,493.254222856,406.136606018,273.287121403,166.419733802,103.175728862,18.5227324137,96.0189
14,544.809181414,442.767583285,297.430927292,180.916216021,112.538983993,21.5825273875,96.8377
15,593.889154956,477.285025042,321.410456529,195.316425286,121.406864747,24.7864425841,97.4881
16,639.661753914,510.738981627,344.692384557,209.266623734,130.188863697,28.0034102697,98.0047
17,684.961360719,541.682706398,366.345312888,223.089630776,138.606199548,31.3965371151,98.4151
18,727.004680569,571.576853866,387.478136353,236.008708854,146.981912478,34.7056385591,98.7411
19,767.123634033,600.294072266,406.064174805,247.871056213,154.640848389,38.0103929138,99.0
20,805.079688512,628.189655063,425.087672173,259.612119637,161.969010745,41.2744658579,99.2057
21,842.203599391,654.158531809,443.339998774,270.752418855,169.229597682,44.898254487,99.369
22,876.566368439,680.081927342,460.191761863,281.570293172,176.597489967,48.4096964273,99.4988
23,911.592900498,703.594805811,475.219774173,292.709376584,183.373334891,51.7427987929,99.6019
24,945.584387606,725.60753636,491.184387948,303.778422285,190.845020237,55.2618083094,99.6838
25,979.552976825,748.611265957,507.202598344,314.197619377,197.922320117,58.9731456876,99.7488
26,1010.08787444,771.17731797,520.203136862,325.411241757,205.138460126,62.636524786,99.8005
27,1045.31275689,791.499010581,534.704149637,335.086915017,211.910348571,66.3950990337,99.8415
28,1074.78987581,813.794429294,548.29740551,345.283105896,218.275396703,70.0606519738,99.8741
29,1102.95097607,835.381571045,564.668322632,355.726023682,226.545639221,73.8018490753,99.9
30,1134.86465302,857.00724552,578.637761295,366.646229797,233.521983133,77.6486203065,99.9206
31,1159.39379676,880.236918426,592.926747641,376.886128654,240.597241125,82.3995498292,99.9369
32,1187.07560437,904.206976401,609.908963859,385.896270894,248.987679445,86.5025164247,99.9499
33,1216.72216867,920.7910864,623.895849281,396.305002763,256.703012584,90.1156573987,99.9602
34,1246.5698465,945.832456001,638.206016707,405.304183125,265.355878718,93.8552454663,99.9684
35,1270.66457847,968.138006339,654.109793985,416.316224546,272.520234403,98.4648547159,99.9749
36,1304.72416971,989.29429536,670.945276535,428.475333634,281.914784669,103.30146359,99.98
37,1332.56927554,1010.95934831,685.02574384,442.2641237,289.525025155,105.829920314,99.9842
38,1368.21505424,1030.99048802,697.942139406,454.256801733,298.81100024,110.114692711,99.9874
39,1394.22875347,1045.01832712,713.723700586,468.209749872,306.798319763,114.382761984,99.99
40,1427.25287795,1063.3866949,738.744652334,476.567754436,317.183262478,117.854955289,99.9921
41,1452.2989612,1090.6257607,753.67216065,491.508274218,323.781231991,122.497696681,99.9937
42,1501.07585449,1122.57921596,775.93708995,502.68518706,332.419797098,124.788606234,99.995
43,1541.08091156,1135.77251084,815.53274412,519.83176008,343.604681373,128.681869382,99.996
44,1559.0122175,1154.11182132,830.161065187,533.617253968,351.414864404,130.749427369,99.9968
45,1583.83249378,1165.39072765,850.709964189,543.961408115,371.354665069,134.137180864,99.9975
46,1615.49081387,1199.37284694,860.790273256,563.02889561,392.70185372,135.994892006,99.998
47,1631.09591393,1225.72068544,890.161628418,583.529358278,398.018280649,136.62449605,99.9984
48,1669.52631118,1249.25201531,924.213031006,635.422266497,436.078855884,139.95528196,99.9987
