,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.729247598825,0.966294245946,0.773525098298,0.0318261270081,20.5672
1,0.0,2.44945109104,19.286031726,14.4301164438,9.59699311243,0.255521128432,36.9043
2,0.0,36.0117879448,41.3008202563,28.603556438,18.853335411,0.556135432694,49.8813
3,0.0,68.7491638043,65.4491637903,43.8232550103,28.4126925295,0.904261027234,60.1893
4,0.954728455002,106.377372742,92.1121768611,60.5930817892,38.8323357063,1.33026204584,68.3772
5,19.4469732284,149.480514526,121.958333052,79.1241084212,50.2959924989,1.91216307883,74.8811
6,59.7969514493,200.526978174,155.321556089,99.3332341437,62.770509242,2.79249061079,80.0474
7,121.591822234,257.234309374,191.449301192,120.997117219,76.0073638939,4.15244967298,84.1511
8,220.912607611,314.293043284,228.324671291,142.786042857,89.2953276084,6.10461538087,87.4107
9,326.525335693,368.626342773,263.740386963,163.753796387,102.129161072,8.67602062225,90.0
10,419.409251891,418.133833833,296.328697327,183.330468598,114.08186519,11.8031886464,92.0567
11,499.288594137,463.112837169,326.120574951,201.500250991,125.232249276,15.3588862037,93.6904
12,568.051313962,503.55528291,353.635118381,218.478067424,135.579329014,19.2277147497,94.9881
13,626.5398394,540.294876438,378.598023592,234.059771658,145.413498038,23.3274539718,96.0189
14,679.61098081,574.738945903,401.338007699,248.672886804,154.463358705,27.5375467958,96.8377
15,728.055766014,605.758199848,422.636041036,262.035020533,163.081395665,31.7100657553,97.4881
16,773.57800495,634.965404762,441.762374623,274.787976452,171.314910819,35.7786612177,98.0047
17,815.76949847,662.887611671,460.870470067,287.107547037,179.22226484,39.8015043093,98.4151
18,855.688666485,689.180203291,479.072944607,298.722125883,186.787408874,43.8200122393,98.7411
19,894.931708984,714.733037109,496.589992676,309.973897705,194.007322388,47.5891601562,99.0
20,930.910528448,739.409031639,512.554617609,320.698720558,201.321845604,51.2979434641,99.2057
21,966.674635575,763.269014349,528.722110728,331.461543794,208.2232377,55.0291715309,99.369
22,1000.2343864,785.554339669,543.96896139,341.822588865,214.616434595,58.5249538244,99.4988
23,1031.99158504,808.702642591,559.070947814,352.083481957,221.346533062,62.1793609595,99.6019
24,1065.30327904,831.060513729,574.337306382,361.817657536,227.763789123,65.7089478081,99.6838
25,1097.28707577,853.651658222,589.086652518,371.234000257,234.102366186,69.3104396362,99.7488
26,1126.75030842,874.28229794,604.192676182,381.56859094,240.066279931,72.6053865551,99.8005
27,1156.53025481,895.257955879,619.256323541,391.440710326,246.445967752,75.9367444245,99.8415
28,1185.86832543,915.80461609,633.773396844,401.137509406,253.290539341,79.3197792516,99.8741
29,1212.61361328,937.051035645,648.385440918,409.58916748,259.982904785,82.864755249,99.9
30,1241.6158225,959.627494788,663.281431376,419.78864963,265.980351672,86.433636155,99.9206
31,1270.31271023,985.074614534,677.322220364,430.090550827,273.217675419,89.4527142155,99.9369
32,1302.04275645,1004.5066109,691.846143581,442.528920129,280.217319642,92.5485861252,99.9499
33,1329.1760567,1029.09923548,705.578936663,452.254374703,287.22586578,95.6910646772,99.9602
34,1357.75680514,1052.19589639,723.559753883,464.506210992,294.832562829,98.8192613637,99.9684
35,1392.378284,1073.87117274,743.494297951,477.684716442,303.631353378,102.94503169,99.9749
36,1424.36717581,1094.02960256,761.711220282,486.254731581,310.48599529,106.09997631,99.98
37,1448.50090304,1120.53321505,774.610270349,498.135968897,320.119170543,109.741097867,99.9842
38,1481.5411821,1154.33373307,796.034364115,514.069774879,328.196303873,113.352115676,99.9874
39,1511.85108291,1176.15666094,818.094796533,529.154657178,336.474780395,117.00819342,99.99
40,1535.08063856,1202.35955014,833.790635004,539.963549793,350.091982028,120.774169585,99.9921
41,1558.41328208,1217.83052274,857.204483582,559.144267785,359.594663487,123.997133972,99.9937
42,1588.53939893,1245.43002537,881.431853198,574.83393345,375.45121625,127.397390992,99.995
43,1612.87804982,1259.17516593,903.383405076,592.202528444,379.944327974,130.305292856,99.996
44,1649.69766845,1277.70485972,920.23306496,602.156886557,392.627862541,134.770191843,99.9968
45,1683.47409909,1302.24626397,945.537827074,618.151225654,406.161769324,137.619230213,99.9975
46,1710.30631743,1314.92787413,973.531120015,632.905589032,416.893194992,141.143668255,99.998
47,1735.84581403,1343.27753763,1004.79399311,654.610713255,423.241180942,145.883691581,99.9984
48,1776.00574598,1358.01459923,1025.51548586,675.033500533,447.343742605,150.30507863,99.9987
