,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,0.0,0.0,-1.62443466252e-05,277.644500732,2.81154734694e-06,0.00444808695465,243.029022217,-23.7327575684,0.0180705171078
1,0.0,0.0,0.0,-4.50469669886e-05,512.624755859,2.82720907308e-06,0.0260103419423,233.764953613,-16.3663787842,0.00801314786077
2,0.0,0.0,0.0,-6.74362381687e-05,839.734436035,2.86057934318e-06,0.1153883636,226.464309692,-11.6172246933,0.00881803035736
3,0.0,0.0,0.0,-8.94280092325e-05,1211.37561035,2.94100709652e-06,0.536111295223,218.721847534,-9.28632926941,-0.00638504046947
4,0.0,0.0,0.0,-0.000113695561595,1519.82910156,3.02124522022e-06,2.30277395248,211.258285522,-7.07919311523,0.00503617757931
5,1.14435616375e-30,0.0,0.0,-0.000125892998767,1745.59399414,2.96769621855e-06,8.45642280579,204.70765686,-4.83663368225,0.009247103706
6,1.52696817613e-24,2.03132059784e-11,-4.53642852449e-12,-0.000122188721434,1737.78979492,2.64284744844e-06,29.4604701996,197.851455688,-2.16319823265,0.008669661358
7,1.91692796072e-22,-1.22450627416e-08,1.67461156053e-09,-0.000123134392197,1423.95800781,2.22628773372e-06,56.7232322693,194.10949707,0.598019778728,-0.0241566970944
8,2.47351069477e-15,3.60758853901e-08,-5.80226675595e-08,-9.77117670118e-05,1675.21508789,2.10525718103e-06,68.3306884766,193.699401855,3.47969794273,-0.161639302969
9,3.76576381027e-14,4.50789457318e-07,-9.67510960237e-09,-2.63449874183e-05,1970.79846191,2.60710248767e-06,71.2062225342,195.823486328,6.02994680405,-0.391357153654
10,7.43144640877e-13,4.86928911414e-07,2.78759955563e-07,0.000185795419384,2318.54199219,4.48651326224e-06,65.0105133057,200.729309082,7.96064281464,-0.626251161098
11,2.74783776462e-12,1.8857586781e-07,1.64577755868e-07,0.00077449332457,2727.62524414,1.01670548247e-05,62.5095481873,207.233642578,8.92251777649,-0.738738596439
12,2.2334151889e-11,-1.46885142271e-07,1.06032317149e-07,0.00174981635064,3258.56176758,2.59091611952e-05,61.0579452515,214.946853638,8.97388839722,-0.782326340675
13,1.43190154178e-10,-8.92243065209e-07,1.80716313025e-07,0.00286149373278,3833.38476562,6.34479292785e-05,57.7825737,223.362808228,8.34894561768,-0.719663619995
14,6.45329956139e-10,-1.41941734455e-06,1.27372814518e-07,0.00389693374746,4509.42773438,0.00014088624448,51.4991264343,232.251327515,7.21654701233,-0.534043908119
15,2.03722949621e-09,-1.02730245999e-06,-7.54944409209e-08,0.0046921921894,5304.38623047,0.000277303799521,43.6669082642,241.400588989,5.69837093353,-0.307833641768
16,2.43228237551e-09,-1.16810419115e-07,-1.0283491747e-07,0.00514876516536,6238.9453125,0.000499448389746,36.8870315552,250.537124634,3.86957025528,-0.146845430136
17,1.0678459228e-09,1.56397121032e-07,8.69624585675e-08,0.00513011263683,7336.75585938,0.000914711330552,33.2889976501,259.355224609,1.98388910294,-0.0699056684971
18,7.35095706528e-10,-3.17405380201e-07,2.4388083375e-07,0.00478674797341,8623.91601562,0.00177533982787,37.6112785339,267.421600342,0.300822764635,-0.0198757424951
19,1.43598744007e-09,-7.82058634741e-07,1.0030719011e-07,0.00493680592626,8620.1953125,0.0026067274157,40.0749778748,273.910095215,-0.93996322155,0.00542795006186
20,1.16742704392e-09,-8.72147438713e-07,2.09207328794e-07,0.0058274930343,7903.73144531,0.00360361952335,42.2993965149,279.457641602,-1.8176599741,0.0255375709385
21,1.16787968185e-09,-2.92983509098e-06,4.71444053574e-07,0.00659681018442,6657.08642578,0.00549579551443,54.2008552551,283.452392578,-2.69343733788,0.100575827062
22,9.07574848608e-10,-2.62838489107e-06,7.17880368484e-07,0.00664597377181,4935.59326172,0.007921830751,70.8069076538,286.016815186,-3.6213517189,0.205449208617
23,1.08599518267e-09,6.67823496769e-06,1.51651806846e-06,0.00610131584108,2852.04833984,0.00976173114032,82.0891571045,287.607757568,-4.28881502151,0.326346367598
24,1.36457811717e-09,2.00955073524e-05,8.42756776365e-07,0.00517546245828,2672.43017578,0.0109705533832,87.2662124634,288.884643555,-4.65908670425,0.418183237314
25,1.41324418834e-09,3.35206641466e-05,-1.80488484602e-06,0.00378307071514,2471.95336914,0.0120264897123,89.078704834,290.393493652,-4.76945781708,0.491901665926
26,1.34141842079e-09,4.41116571892e-05,-4.8966412578e-06,0.00215460802428,2251.79760742,0.013023128733,89.2608184814,291.936767578,-4.66715669632,0.526098430157
27,1.23099197502e-09,4.69781625725e-05,-8.16126066638e-06,0.00061476364499,2014.38916016,0.0134096760303,84.3611679077,293.630828857,-4.57492303848,0.536047339439
28,8.12710287956e-10,4.78678593936e-05,-1.12512325359e-05,-0.000738145958167,1760.20959473,0.0136563656852,79.43334198,295.198791504,-4.50049066544,0.543587505817
29,9.13014441828e-10,4.68517937406e-05,-1.43418255902e-05,-0.00175412010867,1486.77905273,0.0137939983979,75.1106338501,296.553710938,-4.39574718475,0.540086090565
