,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,1.62948783355e-08,2.49051823609e-09,-1.6762958694e-05,277.645355225,2.81321626971e-06,0.00442163692787,243.075378418,-23.7547721863,0.049935400486
1,0.0,-6.19340356778e-09,1.01345087877e-09,-4.51084597444e-05,512.624816895,2.82765290649e-06,0.0258131213486,233.839523315,-16.442440033,0.0119972042739
2,0.0,-1.74486647353e-08,-1.84345996801e-10,-6.60414807498e-05,839.732666016,2.86125168714e-06,0.11476521939,226.512039185,-11.586892128,0.0112147787586
3,0.0,-3.18578443625e-08,-3.30453220343e-09,-8.51739314385e-05,1211.38195801,2.94481219498e-06,0.533894360065,218.768112183,-9.23803710938,0.000357685057679
4,0.0,-5.43186011726e-08,-6.40644204353e-09,-0.000103128077171,1519.83300781,3.02660123452e-06,2.30373907089,211.268356323,-7.03447532654,0.00573820713907
5,4.61213190472e-27,-1.22754229892e-07,-1.07555413464e-08,-0.000126548402477,1745.59558105,2.96812345368e-06,8.56997680664,204.614181519,-4.903819561,0.00556956836954
6,2.16324218164e-24,-3.88880323499e-07,-3.74496700317e-08,-0.000161867996212,1737.7824707,2.63608512796e-06,30.1992740631,197.659973145,-2.34258842468,0.028802189976
7,2.64501678885e-22,-8.49807520353e-07,-1.01972432276e-07,-0.000209936522879,1423.96313477,2.21879804485e-06,57.3649291992,193.988677979,0.25055411458,0.0576204955578
8,2.32841818607e-15,-1.02677324776e-06,-1.66495922826e-07,-0.000275350292213,1675.21801758,2.10265147871e-06,68.624786377,193.65562439,2.95015692711,0.0508998557925
9,4.21575040231e-14,-4.49304877748e-07,1.17985587966e-09,-0.000348639208823,1970.7947998,2.61489299191e-06,71.0680770874,195.850830078,5.43386793137,0.0252223648131
10,7.66613714783e-13,1.38097774993e-07,1.65536064856e-07,-0.000356174161425,2318.54858398,4.54983728559e-06,64.9972915649,200.798416138,7.45440626144,-0.00287220743485
11,3.97763115847e-12,4.30729755863e-07,4.06824405275e-08,-0.00020005517581,2727.61865234,1.03961356217e-05,62.4567489624,207.344192505,8.65466976166,-0.0290027167648
12,2.59730639773e-11,3.39708350339e-07,-7.40100389862e-08,0.00012859297567,3187.53808594,2.62631838268e-05,61.1344795227,214.979476929,8.93297863007,-0.0882432162762
13,1.47816245355e-10,-4.44815526635e-07,-1.73451354613e-07,0.000473015592434,3749.83349609,6.38676865492e-05,58.4302520752,223.228637695,8.46502304077,-0.111302249134
14,6.75880351686e-10,-1.16324235933e-06,8.93782203804e-09,0.000676113006193,4411.13574219,0.000142336604767,52.8081054688,231.963912964,7.43223810196,-0.0746312513947
15,2.11359552083e-09,-1.01889372672e-06,1.85974556643e-07,0.000715275702532,5188.75390625,0.000280545296846,45.1304664612,240.971435547,5.96303939819,-0.0300856027752
16,2.79150724758e-09,-4.69538505854e-08,1.45787680594e-07,0.000651517533697,6102.93701172,0.000502740847878,38.126663208,249.98059082,4.15608549118,-0.0241238549352
17,1.37663236366e-09,8.44482826778e-07,2.24060599407e-07,0.000466934172437,7176.81542969,0.000916843302548,34.6145744324,258.672119141,2.22580289841,-0.032599221915
18,8.33537794342e-10,6.72220267006e-07,2.77206680721e-07,0.00034887707443,8436.09277344,0.00175167946145,38.7341575623,266.610870361,0.490452170372,-0.0296521279961
19,1.44099687738e-09,-7.173818517e-07,-1.49030867647e-08,0.000513606413733,8431.98828125,0.00263895327225,42.1596794128,273.110961914,-0.721564054489,-0.0470652319491
20,1.31565958128e-09,-1.79010169177e-06,2.54424747936e-07,0.000613803684246,7730.33496094,0.00374910864048,45.6942634583,278.704742432,-1.46273601055,-0.0755645036697
21,1.68407954249e-09,-3.66641415894e-06,9.43537429521e-07,-6.71408779453e-05,6511.52929688,0.00555750913918,55.3378143311,283.040100098,-2.16078400612,-0.0545659586787
22,1.47224488156e-09,-9.3171985327e-07,1.62200922205e-06,-0.00123376550619,4829.11376953,0.00766585208476,67.5194396973,286.029602051,-2.87510609627,-0.00361178372987
23,1.64254110313e-09,9.37866843742e-06,2.6006346161e-06,-0.00243764696643,2791.33862305,0.00919841229916,75.1537017822,287.958282471,-3.3889772892,0.0713705793023
24,1.64690550086e-09,2.21232367039e-05,2.12530426325e-06,-0.0035763613414,2616.06420898,0.0102021265775,78.3552017212,289.433654785,-3.68811178207,0.129407778382
25,1.56704793586e-09,3.46907836501e-05,9.90991253502e-08,-0.00485104694963,2420.29931641,0.011059269309,78.9400405884,291.049743652,-3.79749369621,0.177246570587
26,1.44000378288e-09,4.45481637144e-05,-2.44696570917e-06,-0.00596742331982,2205.18286133,0.01184657868,78.29322052,292.656646729,-3.73246955872,0.204574733973
27,1.32790667351e-09,4.85350137751e-05,-5.38357789992e-06,-0.00651659909636,1972.76708984,0.0121821593493,74.0826263428,294.321868896,-3.63782739639,0.222327291965
28,9.97529281399e-10,5.08353077748e-05,-8.52526682138e-06,-0.0062101976946,1723.85461426,0.0124168004841,70.0526885986,295.817993164,-3.50454425812,0.254130929708
29,1.09364761691e-09,5.12946789968e-05,-1.27276452986e-05,-0.00434031058103,1461.87683105,0.0126482425258,67.500328064,296.897064209,-3.26784229279,0.329338759184
