,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,SPMC,SPMCUP,T,U,V
0,2.94092252812e-21,-4.30753573255e-07,-7.57462892409e-09,-2.10018988582e-05,277.644470215,3.70488100998e-06,0.0406980328262,0.0,0.0,226.081390381,-24.6489925385,0.235128924251
1,3.06920422591e-20,-4.15056092606e-07,-1.81000121557e-08,-4.89708327223e-05,512.623474121,4.13460929849e-06,0.25630146265,0.0,0.0,218.412918091,-17.0799274445,0.107168324292
2,1.9688627257e-20,-5.37420078217e-07,-2.74810680878e-08,-7.13658882887e-05,839.733520508,4.63909736936e-06,1.0100133419,3.53368133366e-11,0.0,213.429855347,-11.8315973282,0.0571650415659
3,7.84396246332e-20,-6.42382644855e-07,-2.68283493199e-08,-0.000106866660644,1211.375,4.99521183883e-06,3.97717022896,2.47208670201e-10,0.0,208.029281616,-9.19587230682,-0.0139866760001
4,5.63740648055e-20,-9.46743625718e-07,-1.76164700605e-08,-0.000142788980156,1519.828125,5.17046100867e-06,15.5553188324,2.48017677507e-08,5.69038600962e-11,202.07913208,-6.45986032486,-0.0611383467913
5,5.70327913788e-20,-1.83187478342e-06,2.23514007303e-08,-0.000253636069829,1745.59216309,5.23144444742e-06,50.5059394836,8.4827384228e-08,4.57978455159e-09,197.171615601,-2.52285695076,0.0246066022664
6,1.90146174224e-14,-2.79141568171e-06,1.11309773843e-07,-0.000437459530076,1737.78344727,5.12878978043e-06,80.8986434937,2.88511330382e-07,6.61790693357e-08,195.915725708,2.30266857147,0.280901104212
7,1.38096478697e-12,-2.98795885101e-06,2.88877203047e-07,-0.000489825906698,1423.95422363,5.36353718417e-06,71.1440124512,6.33746083167e-07,5.84211818477e-07,197.952484131,6.26831531525,0.503945410252
8,6.2621153922e-13,-2.2461347271e-06,4.28765389415e-07,-0.000221064357902,1675.20471191,6.59914076095e-06,60.8348350525,2.21175969273e-06,3.45756961906e-06,201.287063599,8.74325942993,0.75481402874
9,4.24427908183e-13,-1.50453968217e-06,3.58122775879e-07,0.000347784807673,1970.78637695,1.01900204754e-05,55.8317222595,1.02307021734e-05,1.58087677846e-05,205.870834351,10.4442844391,1.02116441727
10,3.30191765856e-13,-9.70747123574e-07,1.73121918579e-07,0.00103322684299,2318.50732422,1.96521432372e-05,55.3806495667,3.45434709743e-05,4.93459010613e-05,211.569381714,11.4302797318,1.19241273403
11,3.40983946807e-12,-7.3200095585e-07,1.01506124395e-07,0.00168234971352,2727.53833008,4.23017772846e-05,55.1868629456,8.91422605491e-05,0.00011669901869,218.275085449,11.6493330002,1.23026156425
12,4.49440033801e-11,-3.93280572553e-07,1.9512751237e-07,0.00220807781443,3044.72558594,8.86393754627e-05,52.1879196167,0.000177563924808,0.000215867883526,225.57434082,11.206278801,1.04179489613
13,3.28946231365e-10,-1.82018766282e-07,1.08739669713e-07,0.00243332306854,3581.66186523,0.000171153340489,46.335975647,0.000275365338894,0.000318106263876,233.254440308,10.1761512756,0.740991055965
14,1.14625042791e-09,-1.23989352119e-07,8.15504535012e-08,0.00224827951752,4213.04882812,0.000309508817736,39.9834899902,0.00035967110307,0.000398895412218,241.272766113,8.63884830475,0.498482108116
15,1.23843613142e-09,-4.55092887819e-08,2.89673351972e-08,0.00181421125308,4955.29638672,0.000537042331416,35.5371589661,0.000447946309578,0.000496301800013,249.322433472,6.74516487122,0.348407238722
16,6.26348695132e-10,-1.95008933446e-08,4.6227544459e-08,0.00115257909056,5827.40136719,0.000919652346056,33.3861045837,0.000597607286181,0.000665087834932,257.037322998,4.78863286972,0.159566298127
17,3.57808449536e-10,2.47884663906e-08,5.91129705185e-08,0.000242684458499,6851.14892578,0.00157189380843,35.2549057007,0.000944665051065,0.00103846332058,264.203399658,2.93843340874,0.0129200536758
18,5.37213384888e-10,5.75145300274e-08,7.94631986878e-08,-0.000890468189027,8051.27636719,0.00265351589769,40.780632019,0.00151116156485,0.00160580442753,271.01473999,1.26913070679,-0.0855373367667
19,9.59643364773e-10,-4.35362004225e-08,1.83918686503e-07,-0.00234719156288,8041.85693359,0.00421917578205,47.1263961792,0.00221900944598,0.00197022757493,277.460662842,-0.0351096652448,-0.231537878513
20,8.98997487564e-10,-2.00284773655e-07,1.13799060841e-07,-0.00508167780936,7366.82275391,0.00610722461715,51.8533935547,0.00410486059263,0.00200334121473,283.275421143,-0.636881053448,-0.388887137175
21,4.91296558991e-10,9.21812898014e-07,6.1401755147e-07,-0.00989009998739,6204.98779297,0.00795790553093,54.5897712708,0.00845019519329,0.0016776236007,288.173828125,-0.876985430717,-0.524806976318
22,5.33333044395e-10,4.45403793492e-06,3.05005664814e-06,-0.015579639934,4604.93066406,0.00938131101429,55.1700325012,0.0142870126292,0.00105133967008,291.993865967,-1.14782476425,-0.611797869205
23,5.98624538828e-10,1.08462172648e-05,5.84459348829e-06,-0.0197620745748,2663.60302734,0.0102329188958,54.2767601013,0.0175176318735,0.000574573990889,294.609161377,-1.3969707489,-0.644375026226
24,5.55452739359e-10,2.08554229175e-05,8.37810694065e-06,-0.0220164917409,2497.42553711,0.0108154239133,53.4005088806,0.0167608112097,0.000269496114925,296.468200684,-1.60545241833,-0.654128968716
25,5.48074474693e-10,3.42709936376e-05,1.07559062599e-05,-0.022780854255,2311.37158203,0.0113387545571,52.3080482483,0.0125710517168,8.44427631819e-05,298.212005615,-1.76147592068,-0.642323791981
26,5.88022408543e-10,4.69932165288e-05,1.15087295853e-05,-0.0221587922424,2106.65014648,0.0117840291932,50.8887443542,0.00491028279066,1.19187479868e-05,299.84979248,-1.80325806141,-0.624272048473
27,6.38259112229e-10,5.73481920583e-05,1.10638384285e-05,-0.0202614814043,1884.50646973,0.0121481204405,49.2899665833,-1.93612431758e-05,2.28510444344e-07,301.341308594,-1.76580858231,-0.595822513103
28,7.22380821827e-10,6.58894350636e-05,1.22048186313e-05,-0.0165573637933,1646.57141113,0.0124709177762,47.8905906677,-6.95445396559e-06,0.0,302.607696533,-1.50196003914,-0.486579984426
29,5.36802768902e-10,6.69389555696e-05,1.04921100501e-05,-0.010204420425,1407.80871582,0.013030257076,47.7529830933,0.0,0.0,303.687103271,-0.846007168293,-0.1938868016
