,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,,,,,,20.5672
1,,,,267.521840304,164.546406078,19877.3248542,36.9043
2,,,1.35123735696,0.203606101458,0.279045400129,4.48018362194,49.8813
3,,0.697455031236,0.00968383322132,0.0140633521037,0.0222960239229,0.707080714692,60.1893
4,,0.00397761438798,0.00268897895512,0.00475783878212,0.00765013692028,0.284917784499,68.3772
5,3.97046222992,0.00124253917901,0.00213009902256,0.00365757905587,0.00599696504333,0.123251904382,74.8811
6,0.0230003711545,0.00104075384232,0.00161299438651,0.00235388138558,0.003654561569,0.0848566261014,80.0474
7,0.00114838379416,0.000735223829084,0.00109056486585,0.00203558131957,0.0030129068979,0.0523641049665,84.1511
8,0.000308942008917,0.000465406400245,0.000941907478959,0.00152006725215,0.00228193268319,0.0218156724859,87.4107
9,0.000220733446089,0.000597750990491,0.000768051696937,0.00129568727572,0.00261797906077,0.0161402706146,90.0
10,0.000165513582278,0.000326444578372,0.000677212209146,0.00104707310311,0.00119139708962,0.00790214296736,92.0567
11,0.000171121068679,0.000283747465864,0.000333133774712,0.000615875502013,0.00115567052126,0.00394936783227,93.6904
12,0.00013566375982,0.000179167053716,0.000282652680892,0.000719087618275,0.00110922854746,0.00295717418223,94.9881
13,0.0001270137609,0.00018380687316,0.000336035221024,0.000470546601206,0.000730948021599,0.00188711369668,96.0189
14,8.40778321501e-05,0.000134091085329,0.00017660961795,0.000258159833132,0.000527345305371,0.00282083682303,96.8377
15,7.68499360297e-05,9.31322699613e-05,0.000122465646309,0.000190003184711,0.000261639813902,0.00231490153222,97.4881
16,4.74528385497e-05,9.15639348336e-05,9.93845917893e-05,0.000218765354578,0.000332492432903,0.00175544725449,98.0047
17,9.36676341747e-05,6.41695020282e-05,0.000157437969399,0.000156829352691,0.00062618932349,0.00183688643867,98.4151
18,3.06648128941e-05,4.30607731459e-05,7.63281153125e-05,0.000176960644001,0.000299007085922,0.000465803704269,98.7411
