,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,,5.24708057549,0.0308783705432,0.0338030778554,0.0485837196016,2.38290496745,20.5672
1,,0.013690608606,0.00639051818383,0.0100780152192,0.0162298054637,0.845719163352,36.9043
2,,0.00257551277634,0.0067813968612,0.0100191200872,0.0147762490589,0.515831555043,49.8813
3,,0.0030002512231,0.00422364677436,0.00670236518774,0.0102751987642,0.345151587281,60.1893
4,1.71945250831,0.00172615473461,0.00322434350046,0.0052655601858,0.00838450099908,0.209893225394,68.3772
5,0.00507123914499,0.00121188315267,0.00201255908216,0.00340087322673,0.00583539253705,0.111820263718,74.8811
6,0.000700027751518,0.00072770852397,0.00134550484988,0.00233033285456,0.00385135086176,0.0587340586085,80.0474
7,0.000495074728285,0.000479119869209,0.00104044186747,0.00148201288209,0.00245327676258,0.0254517512995,84.1511
8,0.000206861737885,0.000340378837395,0.000762324836957,0.00131585016316,0.00171905055314,0.0107086664939,87.4107
9,0.00014224837336,0.000267685497458,0.000555790722525,0.00103104257875,0.00182329695046,0.00744145648035,90.0
10,0.000112732311497,0.000299305198781,0.000559095649823,0.000898820489416,0.00148132334829,0.00522003788282,92.0567
11,0.000149089621045,0.0003237397828,0.000517400793859,0.000702561236738,0.00126044169317,0.00282165316097,93.6904
12,0.00016756651088,0.000251085460539,0.000334695563132,0.000853399864705,0.00131053074679,0.0025795979313,94.9881
13,0.000148619046052,0.000222386799454,0.000426928448091,0.000662211572913,0.000864724003729,0.00257600784804,96.0189
14,0.000147478714997,0.000191030005302,0.000303313596409,0.000509831800286,0.000845493231808,0.00137691106105,96.8377
15,9.35646142473e-05,0.000157538067301,0.000334198585273,0.000302455346081,0.000575567303782,0.00118055628563,97.4881
16,8.27567982068e-05,0.000152794009716,0.000347093737721,0.000318115381782,0.000370357175704,0.000541681838822,98.0047
17,7.02862132315e-05,0.000122627624796,0.000113282339619,0.00018175546362,0.00035799351159,0.00125200428684,98.4151
18,5.49072523822e-05,6.63232662986e-05,0.000147474146069,0.000245806837261,0.000328631060622,0.000651322955438,98.7411
19,4.22607729605e-05,7.41741509862e-05,9.78475460296e-05,0.000186524849833,0.000302610693076,0.000555810459841,99.0
20,6.488979233e-05,7.57716359598e-05,8.49204751142e-05,0.000167897935663,0.000282558626222,0.000438713256861,99.2057
21,4.11967493432e-05,3.90471987467e-05,5.99073831632e-05,0.000143376245445,0.000193603659598,0.000356758142811,99.369
22,5.5321877348e-05,1.77239228942e-05,2.30025496691e-05,0.000103273052454,0.00026084500859,0.00021547778741,99.4988
23,,4.85733155218e-05,0.000158328723642,0.000133399100208,0.000227241017463,0.00014288129356,99.6019
24,5.88093640424e-05,2.80081091917e-05,7.20860645902e-05,2.38759838971e-05,,0.000117868345482,99.6838
25,3.33237262452e-05,3.7242921161e-05,2.43188973463e-05,7.30039549466e-05,8.9918315709e-05,6.1137707614e-05,99.7488
26,2.30574099058e-05,1.58060472024e-05,0.000224526558643,2.33836498247e-05,4.86946414816e-05,6.02368471974e-05,99.8005
27,1.81498093499e-05,1.14006833259e-05,,6.55122782122e-05,7.86517950612e-05,2.60970252771e-05,99.8415
28,5.77170690028e-06,1.16095934662e-05,2.9719850351e-05,,0.000775252819182,5.46305555726e-05,99.8741
