,PRECT,Q_IL
0,0.528215457241,20.5672
1,1.02966005152,36.9043
2,1.49156038918,49.8813
3,2.16919508065,60.1893
4,3.3056796193,68.3772
5,4.77911132764,74.8811
6,6.55087076623,80.0474
7,7.99473943754,84.1511
8,9.27462891207,87.4107
9,11.0249126434,90.0
10,12.4785928254,92.0567
11,14.3026882564,93.6904
12,16.3794797352,94.9881
13,18.0253616339,96.0189
14,19.6673208961,96.8377
15,21.6843733103,97.4881
16,23.495831573,98.0047
17,24.4929550757,98.4151
18,25.4275541429,98.7411
19,27.0529624939,99.0
20,27.900369418,99.2057
21,29.4935644078,99.369
22,33.6153215516,99.4988
23,35.8234951964,99.6019
24,37.0356021647,99.6838
25,37.591798437,99.7488
26,39.3044237275,99.8005
27,40.5215729697,99.8415
28,41.071073574,99.8741
