,PRECT,Q_IL
0,0.173152415354,20.5672
1,0.82900590192,36.9043
2,1.31554901131,49.8813
3,2.05836958392,60.1893
4,3.22022578728,68.3772
5,4.77630388795,74.8811
6,6.71746727946,80.0474
7,8.27957332415,84.1511
8,9.70202587312,87.4107
9,11.3112625122,90.0
10,12.9486021911,92.0567
11,14.5972333432,93.6904
12,16.1926191967,94.9881
13,17.6001767307,96.0189
14,19.2428508856,96.8377
15,20.8532296912,97.4881
16,22.7540162414,98.0047
17,23.8310232368,98.4151
18,24.78453807,98.7411
19,26.1931516647,99.0
20,27.1651691802,99.2057
21,27.9410831416,99.369
22,29.8721237765,99.4988
23,34.5111902079,99.6019
24,36.0145811539,99.6838
25,36.5921707381,99.7488
26,37.3643747153,99.8005
27,39.2231000918,99.8415
28,40.593516416,99.8741
