,PRECT,Q_IL
0,0.462413070855,20.5672
1,1.09033301103,36.9043
2,1.49613438573,49.8813
3,1.96210164875,60.1893
4,2.67397705551,68.3772
5,3.73031662815,74.8811
6,5.015328394,80.0474
7,6.52943607328,84.1511
8,7.82800096889,87.4107
9,9.29277305603,90.0
10,10.8235387289,92.0567
11,12.0962852234,93.6904
12,13.7814181571,94.9881
13,14.8638663573,96.0189
14,16.958482659,96.8377
15,18.240401818,97.4881
16,18.9345498832,98.0047
17,20.467255644,98.4151
18,21.5140570058,98.7411
19,22.5289651489,99.0
20,23.1820017876,99.2057
21,24.3915397241,99.369
22,25.7311045879,99.4988
23,26.1926497634,99.6019
24,27.1569957544,99.6838
25,27.8778833443,99.7488
26,30.9520110266,99.8005
27,31.5642115509,99.8415
28,31.8784489297,99.8741
