,PRECT,Q_IL
0,0.19149387288,20.5672
1,0.882301747768,36.9043
2,1.39143168275,49.8813
3,1.93462591235,60.1893
4,2.80277415339,68.3772
5,4.08618093349,74.8811
6,5.47658679102,80.0474
7,7.17579231999,84.1511
8,8.55870461033,87.4107
9,10.1203251839,90.0
10,11.4228420056,92.0567
11,12.7654180166,93.6904
12,14.0676387737,94.9881
13,15.1696919375,96.0189
14,16.7523077479,96.8377
15,17.6737282282,97.4881
16,18.7394993264,98.0047
17,20.224766402,98.4151
18,21.3160326784,98.7411
19,22.0554092026,99.0
20,23.1178509318,99.2057
21,24.2955084927,99.369
22,25.9124173798,99.4988
23,26.6085110285,99.6019
24,27.2302824385,99.6838
25,27.9071351946,99.7488
26,30.6099608674,99.8005
27,31.3803738081,99.8415
28,31.9890548984,99.8741
