,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.0,0.0,0.0,0.0,20.5672
1,0.0,0.0,0.0,0.0,0.0,0.0,36.9043
2,0.0,0.0,0.0,0.00374562562346,0.00604432886318,5.03768419266e-05,49.8813
3,0.0,0.0,0.877222675035,0.800235302661,0.622397176657,0.0393713267782,60.1893
4,0.0,1.91949927434,15.5633443403,11.2997346115,6.88279904455,0.201540062344,68.3772
5,0.0,33.4526592334,46.3218299805,29.3378405904,17.8266191892,0.529883938573,74.8811
6,0.404616086759,80.5968366054,69.7442651267,43.5960352815,27.4721372334,1.07123304343,80.0474
7,3.24459397504,131.298076419,104.404086908,63.9472289865,41.2170261868,1.69714933762,84.1511
8,64.2073394807,178.474488964,136.975255137,81.6161696835,52.6915417321,2.5482098757,87.4107
9,148.178329468,227.572036743,163.50617981,100.569755554,63.2174682617,3.99840903282,90.0
10,267.058879183,280.690624623,197.080962536,121.437031197,75.4959611531,5.49052879607,92.0567
11,361.321892646,323.235395432,227.664420717,139.471717065,89.4115882941,8.97790777804,93.6904
12,433.571947302,376.39355876,262.29311957,161.120243881,98.9776036829,12.3617657167,94.9881
13,531.348772217,452.06569544,299.719632483,179.123683758,111.429898147,16.7780860332,96.0189
14,593.812707063,516.745719384,343.104484981,195.746525275,124.965675177,20.2708668804,96.8377
15,692.729253661,563.448981912,353.53557339,226.458542627,142.305730494,23.5122328965,97.4881
16,770.371358016,604.219583326,431.800264919,260.061022347,161.26735488,25.5461102366,98.0047
17,835.69774033,667.249815508,462.830040664,276.110764917,170.871688038,27.3769235036,98.4151
18,886.257885103,710.01542161,483.545339772,294.691612312,178.602075256,32.1941363045,98.7411
