,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.179292015327,0.385784925347,0.314993010516,0.0101424871376,20.5672
1,0.0,0.137748114854,11.8300667747,10.5869060019,7.21815732477,0.13835169237,36.9043
2,0.0,17.4101306342,35.8898846769,26.1052591769,17.388747765,0.376814799336,49.8813
3,0.0,52.7721414547,57.4008078524,40.4436802001,27.1369372571,0.668169588693,60.1893
4,0.0,86.790764573,88.2327216439,58.5859914192,38.0339028881,1.06199715491,68.3772
5,0.859012851464,127.583442665,117.364610886,76.8796728628,48.9832289354,1.51507818018,74.8811
6,22.6772200797,188.047400397,157.528164435,98.1907259401,62.3138418399,2.27352860848,80.0474
7,80.7053264851,258.247195741,198.63539763,125.9415319,79.2671617857,3.48832224808,84.1511
8,177.105586922,332.868035908,244.349742743,153.143606606,98.0502227545,5.6271801051,87.4107
9,347.802416992,426.235223389,290.106359863,178.906982422,115.240234375,9.63093299866,90.0
10,497.77823256,496.073593987,339.871907208,208.587709681,130.249264637,13.0987094279,92.0567
11,627.055864264,559.319976754,377.977491906,234.666128318,144.304002001,18.4818335207,93.6904
12,713.241612593,593.3149226,414.914811627,253.172313291,157.574820627,23.9222682261,94.9881
13,772.751735516,636.082733807,453.737614403,269.535179474,169.987864265,29.4103090342,96.0189
14,821.314415277,677.094828508,474.307848037,285.100635726,182.016179099,34.5619825001,96.8377
15,881.660175893,710.072553344,498.149344103,306.398412683,194.059317144,40.784832465,97.4881
16,931.179381426,750.501894636,519.357313162,326.526141551,203.776382914,48.491680459,98.0047
17,998.109897393,777.349229937,539.242204431,348.246282417,219.422255939,52.3500768602,98.4151
18,1040.86810313,808.132773657,575.316116951,365.302242508,230.015256177,57.8736613899,98.7411
19,1103.41845703,845.157553711,592.973183594,380.104035645,243.241637573,65.5753729248,99.0
20,1147.28521763,877.425600338,623.905564051,394.690270425,248.122521321,67.7360117597,99.2057
21,1182.62562358,904.510495718,667.621190532,403.424315111,257.093256181,72.7152105664,99.369
22,1209.66558344,959.693611128,690.040402955,427.460776608,264.295332653,78.711029038,99.4988
23,1240.69189902,977.00765985,702.069242524,433.75499045,272.097930206,87.2519359657,99.6019
24,1263.54552529,1012.60060886,710.059335938,445.071510603,278.074163142,95.1530419172,99.6838
25,1284.39018306,1022.88487842,735.046199919,466.553025483,297.563060642,100.539394156,99.7488
26,1302.10466294,1047.10204181,742.642763371,477.251357169,304.190495242,107.96159145,99.8005
27,1312.25398373,1063.53179446,745.633718364,500.041610976,313.638317409,126.53960475,99.8415
28,1337.50266967,1103.45542478,770.533360195,501.157879051,314.142955505,137.968281791,99.8741
