,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.0,0.000344905628073,0.00201133769587,2.90863918097e-05,20.5672
1,0.0,0.0,0.82092338341,1.03333740783,0.853615063288,0.0324878205507,36.9043
2,0.0,1.07315171746,18.7893796818,14.9417439959,9.84882292922,0.201649776742,49.8813
3,0.0,30.2706121497,42.873098891,29.7572290036,19.6905002856,0.468206289784,60.1893
4,0.0,63.9545298602,67.7249712757,45.8238798746,29.6347513065,0.802443485116,68.3772
5,0.223295506967,103.932547926,97.5493489845,63.9007365607,41.0306480874,1.24594473597,74.8811
6,3.26051020341,151.482633866,130.213753716,82.5322014169,53.227063682,1.85664572562,80.0474
7,57.8002683403,212.505938247,167.619598,104.882205631,64.8649907246,2.76488845883,84.1511
8,136.119034543,281.187362162,205.677756202,128.644680773,82.9897749479,4.37426279609,87.4107
9,268.828372192,349.909008789,250.166891479,156.180479431,99.8287384033,7.28613147736,90.0
10,411.850716894,440.59012882,294.857524663,180.62376033,115.399039349,11.1244318985,92.0567
11,544.707826867,502.851471356,342.160609963,208.738714621,130.680611419,15.0449765806,93.6904
12,643.461794409,561.452177745,379.974892299,235.076982713,147.11242026,20.557167096,94.9881
13,726.874511137,597.327543768,418.27927931,254.736995441,158.164342558,24.3774362194,96.0189
14,790.616928245,642.871761589,457.539981907,273.776727673,171.223386846,29.0689302837,96.8377
15,838.76778846,681.621658769,477.164244602,290.392373984,181.975841396,34.5145055066,97.4881
16,898.867454515,720.962372263,506.683153149,307.434955516,193.543827823,40.5116248144,98.0047
17,963.910000335,758.660119739,523.867028711,325.666105553,203.811065139,46.761819958,98.4151
18,1021.08327657,791.314489177,557.114507906,347.635188042,219.691205753,52.1901998612,98.7411
19,1096.09935425,837.093995972,578.969238281,366.673820801,233.062301178,56.6337723541,99.0
20,1134.53135982,873.961513444,615.624561415,385.033279103,244.043777252,63.3896151745,99.2057
21,1165.80991111,906.660932651,644.918106724,397.035192873,248.998950145,66.8027073486,99.369
22,1194.52440176,956.29271874,676.127181122,412.352592621,257.599828576,72.3308553288,99.4988
23,1218.52563244,970.895863211,701.528472927,431.573598228,266.511942439,78.0160950588,99.6019
24,1249.48705266,988.055478282,711.277831806,440.886164785,274.547766639,83.4343467308,99.6838
25,1263.96308567,1013.34648794,727.388021987,457.365313397,294.970944067,91.6616433783,99.7488
26,1280.76397651,1026.53097143,740.910669747,464.570703303,297.82118752,97.4534642832,99.8005
27,1301.13260521,1047.72634965,743.838441504,476.298817735,305.415192237,105.13331206,99.8415
28,1314.76774905,1069.2122118,752.393656467,500.081226286,313.705733678,111.575928285,99.8741
