,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.861963928533,1.3032911162,1.17165909921,0.0457866468037,20.5672
1,0.0,2.39898683258,30.9688679156,21.4641429486,14.1274117509,0.327043579621,36.9043
2,0.0,49.4015360345,59.0421980487,39.2928633481,25.438275941,0.654711883594,49.8813
3,0.0,97.1160583491,91.3430771202,60.726149022,38.2148516788,1.04432479549,60.1893
4,0.0,141.855614595,122.151298925,80.3032624573,50.1305589514,1.50498328069,68.3772
5,1.55015294092,196.163777604,156.025136919,102.131492487,63.6587165718,2.2037964948,74.8811
6,36.0777976027,257.680301799,195.811511148,123.665061394,77.0955267626,2.97320649098,80.0474
7,113.940672784,312.621921805,227.768139535,144.039578106,90.0326517865,4.23217329172,84.1511
8,255.875764908,365.976891622,263.05838169,163.126834388,102.458930233,5.64462850194,87.4107
9,378.12376709,418.00604248,287.788415527,182.081689453,114.921841431,7.96106271744,90.0
10,472.720523624,456.005614514,320.860469694,199.408126942,123.192896822,10.1822337427,92.0567
11,554.89666662,491.538781095,347.408411098,216.550720481,134.121770679,12.9758885498,93.6904
12,607.113709233,535.149370443,370.312306045,230.452146275,144.635855343,14.8035677496,94.9881
13,655.704479152,564.026553519,389.502561738,247.819287166,152.591240628,18.4812029628,96.0189
14,711.032623458,592.575657314,413.478302516,260.292719508,159.635092829,21.62340758,96.8377
15,764.613734341,615.333964154,430.769815939,271.634696183,165.49289993,24.2797026697,97.4881
16,812.555791779,645.07618763,447.470889702,284.579752674,174.94811697,27.8528616861,98.0047
17,840.326209989,665.502110006,471.193611127,294.955251662,181.588992625,30.2990085178,98.4151
18,881.364312362,688.599523145,486.954708837,304.604986815,187.957987527,35.485555816,98.7411
19,937.889492188,721.853688965,501.583706055,310.119057617,193.196461792,38.5431259155,99.0
20,988.661824972,742.465480164,518.73469302,319.416747126,196.641317823,43.5308837067,99.2057
21,1019.32182611,779.537324116,530.132237243,326.147915166,207.147721487,45.8233049385,99.369
22,1063.27876596,819.498105522,541.349521402,342.623627208,213.377251124,53.0497744166,99.4988
23,1084.82202568,833.468145921,559.744665744,351.141848822,218.150643139,54.3939083571,99.6019
24,1121.92304661,838.212537447,582.477377434,359.973877582,221.690742686,58.5226154023,99.6838
25,1132.77447097,847.706907066,585.901314452,366.03791303,224.276195607,62.5708263431,99.7488
26,1142.12011259,858.086394999,596.709390174,374.493508923,226.901247115,65.6835749475,99.8005
27,1146.74581461,862.872842553,621.27637309,378.020074468,229.874813749,69.8989460807,99.8415
28,1149.36369982,870.260080134,638.715321256,381.967617679,237.508248727,71.761463487,99.8741
