,CRM_PREC_I10,CRM_PREC_I25,CRM_PREC_I50,CRM_PREC_I75,CRM_PREC_I90,PRECT,Q_IL
0,0.0,0.0,0.0,0.00558853427282,0.00876586808659,0.000106268189762,20.5672
1,0.0,0.0337313172299,5.72417490047,6.7005176386,4.78258195433,0.126776390983,36.9043
2,0.0,22.5525650355,36.9728116117,25.7554299998,16.6742279045,0.433685035066,49.8813
3,0.0,66.9018520184,67.5488943028,42.6774678918,27.6862188728,0.809207519407,60.1893
4,0.0,111.304678389,96.7300888377,63.8138496605,39.5680357401,1.31843784123,68.3772
5,1.99986087559,158.042558551,125.637679584,81.6851392103,51.4542849371,2.0536246452,74.8811
6,42.2804771416,204.889620021,158.506216601,101.883085281,63.5894912518,2.95636357209,80.0474
7,127.743345585,262.301900763,196.35073692,122.209079118,76.663988066,4.32295014629,84.1511
8,222.378870788,321.020364786,226.536277802,142.489664087,88.7873469751,6.10826915944,87.4107
9,325.558908081,364.092950439,259.926873779,158.823516846,100.560787201,8.34902915955,90.0
10,414.188617404,412.962244664,284.53802135,177.862201649,112.841626987,10.8504391729,92.0567
11,487.637388344,452.55252831,315.095204724,194.580676022,122.170949629,13.4467789824,93.6904
12,554.884816388,485.943305457,343.307050742,211.750830212,131.607533049,15.8115328009,94.9881
13,601.139942193,526.570735931,363.598626309,226.778858222,141.804437337,19.0721902924,96.0189
14,651.945210103,560.603674645,383.90957594,241.345333555,151.17898332,21.7412550012,96.8377
15,709.036692503,588.695693863,410.307154619,258.406056897,158.847988897,24.4021348332,97.4881
16,759.416387669,615.122727151,426.688287845,266.677387807,163.622315451,27.1572855516,98.0047
17,805.904581558,645.375888999,445.839969386,280.264997168,173.729128006,30.0996339053,98.4151
18,839.26507706,669.305900374,469.459493731,289.989758507,181.113513216,34.1332437495,98.7411
19,880.479898071,689.920245972,484.459040527,301.656851196,187.796487427,37.533441124,99.0
20,933.06396889,723.347940936,500.389669112,308.168920959,192.832771199,43.2834951867,99.2057
21,985.344376101,752.884065993,516.695297819,318.242569397,196.307275727,45.0847768635,99.369
22,1005.20050283,777.479898989,527.495688511,325.004560496,205.840397329,50.7785135956,99.4988
23,1052.05188145,820.334770926,542.055301612,341.141727991,211.989540913,53.4040303728,99.6019
24,1075.45641675,832.527024641,557.128793359,349.870812085,216.7816796,55.7522702964,99.6838
25,1111.51951621,837.539690748,576.755983665,361.504219541,220.209444272,59.1172651661,99.7488
26,1131.16108711,845.091712367,584.461157958,369.022733919,223.857394483,62.4260025515,99.8005
27,1141.39251109,857.790564552,596.092832584,374.076330612,226.829248799,65.3645435206,99.8415
28,1146.85146672,863.77839217,623.030998715,378.55257075,230.820535118,70.1205899726,99.8741
