,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,FU,FU,FU,FU,FU,FU,FU,FU,FU,FV,FV,FV,FV,FV,FV,FV,FV,FV,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,Q,Q,Q,Q,Q,Q,Q,Q,Q,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,T,T,T,T,T,T,T,T,T,U,U,U,U,U,U,U,U,U,V,V,V,V,V,V,V,V,V
,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT
,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83129536377e-10,7.85686571358e-10,2.9162020021e-10,0.0,0.0,0.0,0.0,0.0,0.0,-5.87952964093e-10,-9.90079129792e-10,-3.99178717858e-10,0.0,0.0,0.0,0.0,0.0,0.0,-3.48195062543e-05,-2.39947785303e-05,-3.12927186314e-05,-2.86663707811e-05,3.07973205054e-05,-3.26724002662e-05,-3.16888872476e-05,-2.39455384872e-05,-1.29295194711e-05,277.644439697,277.644500732,277.644470215,277.644500732,277.644470215,277.644470215,277.644500732,277.644500732,277.644470215,2.82499172499e-06,2.8165409276e-06,2.82328869616e-06,2.79927189695e-06,2.83302529169e-06,2.80426547761e-06,2.80502035821e-06,2.8417307476e-06,2.81790653389e-06,0.0254468657076,0.0253075882792,0.0245536342263,0.025071406737,0.0246648751199,0.0268587991595,0.0258686579764,0.0241886004806,0.0240521896631,227.373001099,227.366958618,227.640274048,227.390029907,227.667907715,226.828903198,227.148529053,227.8409729,227.785461426,-16.4259243011,-15.6017398834,-16.0971508026,-18.9770832062,-14.0916061401,-14.7780361176,-15.700009346,-13.991891861,-17.4858798981,-0.504804551601,-0.729752361774,-0.48790538311,-0.497084587812,-1.02533614635,-0.873357474804,-0.741033494473,-0.725672841072,-0.40119343996
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79713952053e-10,2.75727829457e-10,8.67913518832e-11,0.0,0.0,0.0,0.0,0.0,0.0,-2.18108711647e-10,-3.45281053749e-10,-1.19317639102e-10,0.0,0.0,0.0,0.0,0.0,0.0,-6.94731788826e-05,-6.15650569671e-05,-6.82348763803e-05,-5.18120614288e-05,-2.0187402697e-05,-4.84674746986e-05,-1.5263516616e-05,4.06958788517e-05,6.09462222201e-06,512.624206543,512.624206543,512.624145508,512.624084473,512.624145508,512.624145508,512.624084473,512.624084473,512.624145508,2.73780960924e-06,2.73182104138e-06,2.73493174063e-06,2.7045882689e-06,2.74568469649e-06,2.71355338555e-06,2.71872045232e-06,2.75552156381e-06,2.72202532869e-06,0.116841450334,0.116804607213,0.11769849062,0.120467491448,0.115237884223,0.120280325413,0.117692053318,0.113519579172,0.116483092308,220.697891235,220.690490723,220.65562439,220.397399902,220.806030273,220.407653809,220.586074829,220.933685303,220.665588379,-10.1581907272,-9.3972492218,-8.71065425873,-9.46753787994,-7.3516497612,-8.11535453796,-8.12800693512,-8.29933071136,-9.68649864197,0.0514418072999,0.135538160801,0.283309310675,0.218360811472,-0.0138397337869,-0.163593173027,-0.2532748878,-0.235252469778,0.345054864883
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09014186567e-10,1.67816607832e-10,3.86588261403e-11,0.0,0.0,0.0,0.0,0.0,0.0,-1.32123798013e-10,-2.05253578023e-10,-6.73323480305e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.000170552986674,-0.000128861327539,-9.6318537544e-05,-0.000148434162838,-0.000155696907314,-0.000106853905891,-8.7282518507e-05,-9.64161736192e-05,-0.000141631418956,839.734680176,839.734741211,839.734741211,839.734619141,839.734741211,839.734741211,839.734680176,839.734680176,839.734741211,2.7105825211e-06,2.70060627372e-06,2.70148530035e-06,2.67961900136e-06,2.70847522188e-06,2.68263966063e-06,2.68979260909e-06,2.71566500487e-06,2.69171255241e-06,0.352028757334,0.350974470377,0.35041692853,0.346223771572,0.344652324915,0.349654018879,0.343908071518,0.342966705561,0.346102058887,216.918930054,216.93170166,216.946868896,216.956344604,217.084594727,216.914367676,217.03944397,217.121734619,216.999786377,-2.72019600868,-2.70923638344,-2.574883461,-1.33119285107,-1.637611866,-1.88590228558,-1.05152237415,-1.51960861683,-2.83946967125,0.460109710693,0.108536630869,0.41662928462,0.534753978252,0.0792986005545,0.248138189316,0.228047445416,0.299563020468,0.264499932528
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62485580546e-09,2.11752615442e-09,-1.30664548625e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.35139699431e-09,-1.66312541516e-09,-2.67352473493e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.91612616618e-05,1.0959734027e-05,8.76464764588e-05,3.45600419678e-05,2.17642482312e-05,-4.94988344144e-05,4.42166929133e-05,9.27551373024e-05,0.000187029669178,1211.37719727,1211.37731934,1211.37719727,1211.3770752,1211.37719727,1211.37719727,1211.3770752,1211.3770752,1211.37719727,2.82639643956e-06,2.82876249003e-06,2.82658947981e-06,2.8266474601e-06,2.81281336356e-06,2.81012171399e-06,2.80759513771e-06,2.79977007267e-06,2.8181102607e-06,1.24561738968,1.28291893005,1.26823580265,1.29823410511,1.25993108749,1.26616811752,1.2825729847,1.23485016823,1.27309179306,211.848373413,211.630523682,211.723937988,211.540084839,211.720626831,211.677856445,211.586593628,211.851745605,211.678710938,0.34171640873,-0.515398561954,-1.03327834606,0.758372724056,0.199065566063,-0.27022600174,0.829323112965,1.09367465973,-0.641724765301,-0.127320587635,-0.23897229135,-0.293835163116,-0.449615865946,0.00873939041048,-0.129993975163,-0.379381507635,-0.326600492001,-0.544539570808
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67692931447e-09,3.46945450147e-09,-2.9321127748e-09,0.0,-8.53063106265e-11,0.0,-2.81609624508e-10,-4.20829315839e-10,-1.91030774532e-10,-6.79142697635e-09,-4.63761429259e-09,-2.67493116546e-09,0.0,-5.80910819448e-10,0.0,7.31406463172e-11,-3.81804476923e-10,-7.4842837483e-10,0.000139118244988,1.3123158169e-05,-5.8889754655e-06,0.000159187518875,0.000333781179506,-3.99407472287e-05,1.46840511661e-05,0.000302774860756,0.000258409039816,1519.83056641,1519.83081055,1519.83081055,1519.83056641,1519.83081055,1519.83081055,1519.83068848,1519.83068848,1519.83081055,3.02002331409e-06,3.02794819618e-06,3.03460160467e-06,3.06539209305e-06,3.01847512674e-06,3.02535272567e-06,3.01935824609e-06,2.99646353596e-06,3.04175455312e-06,4.09963274002,4.24338579178,4.21502447128,4.26939678192,4.05266666412,4.19742488861,4.19451665878,4.12241029739,4.37480545044,206.992767334,206.787109375,206.864883423,206.821228027,207.09161377,206.867858887,206.862869263,206.943450928,206.659957886,0.623724281788,0.620909333229,0.564823865891,1.54965817928,1.11617183685,0.634528696537,1.40037369728,1.28932976723,0.669710874557,0.0840468332171,0.449582338333,0.661345124245,0.193869844079,0.0721961706877,-0.0247938111424,-0.0049036485143,-0.597658753395,0.530028700829
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.52139983839e-09,-9.77899894394e-09,-8.34219946455e-08,0.0,-1.56320467681e-09,4.64621527016e-12,-1.74794454466e-08,-2.34023627144e-08,-7.4293282637e-09,-1.28407320332e-08,-5.83477488547e-09,-8.74611956192e-08,0.0,-1.49640886349e-08,7.4708403526e-13,-1.81490289464e-09,-1.02585380191e-08,-1.34483864045e-08,1.0692705473e-05,4.02196055802e-05,0.000156487163622,0.000342903280398,0.000357615354005,-0.000120471166156,-1.93998530449e-05,0.000319195445627,0.000335949414875,1745.59533691,1745.59521484,1745.59521484,1745.5949707,1745.59521484,1745.59521484,1745.59545898,1745.59545898,1745.59521484,3.05682738144e-06,3.05987964566e-06,3.07288155454e-06,3.08380549541e-06,3.05270236822e-06,3.05212438434e-06,3.05742537421e-06,3.04403988594e-06,3.06969923258e-06,13.2764196396,13.3267993927,13.0446805954,13.4144735336,13.243229866,13.3680076599,12.7673273087,12.325088501,12.9420375824,201.558059692,201.577896118,201.724914551,201.551696777,201.618515015,201.576538086,201.868972778,202.017684937,201.726501465,-0.770955502987,-0.696970760822,0.0776670873165,0.379153937101,0.329718977213,0.0139087438583,0.685664713383,0.562436044216,1.11786794662,0.648052453995,0.626856386662,0.504104733467,0.326782673597,0.266187220812,0.903742313385,0.531535565853,0.352591305971,-0.396955013275
6,7.20252143876e-25,2.53606376191e-24,2.64707700166e-26,3.82386099658e-25,7.9479919768e-23,2.67156447675e-25,4.9891019843e-25,5.74696632589e-26,3.26490924188e-27,-1.18938643823e-07,-1.18671472649e-07,-6.15941189608e-07,1.79690029523e-09,-4.82567692472e-08,6.84675970433e-12,-3.02020083609e-07,-4.16088511201e-07,-1.46132194345e-07,-7.76117303758e-08,-6.80384957263e-08,-5.34412379238e-07,-1.9772648796e-10,-1.44866703522e-07,1.09703988515e-12,6.569065647e-08,-4.04774240792e-08,-1.75617131504e-07,-0.000633542018477,-0.000720084120985,-0.000119232034194,-0.000384482933441,-0.00113356974907,-0.000470570870675,-0.000178097441676,-0.000249948527198,-0.000460263807327,1737.78845215,1737.78833008,1737.78845215,1737.78869629,1737.78833008,1737.78833008,1737.78869629,1737.78881836,1737.78833008,2.93842754218e-06,2.96359644381e-06,2.93803236673e-06,2.90176672024e-06,2.93652465189e-06,2.96145708489e-06,2.94787014354e-06,2.91359901894e-06,2.93943503493e-06,48.3947105408,49.2351799011,47.623588562,50.0389862061,47.3328552246,51.408782959,46.88489151,43.3237724304,47.2452163696,195.017837524,194.952987671,195.066116333,194.600204468,195.316543579,194.855316162,195.398422241,195.823791504,195.097229004,0.156779006124,-0.596400797367,-0.176789835095,-0.317103356123,1.75990962982,-0.0114749968052,0.519084632397,1.56564462185,-1.15171122551,0.198423534632,-0.18521246314,-0.295851528645,0.189778149128,0.548436939716,0.553176760674,0.145101755857,0.57759052515,-0.502487838268
