,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,EVAPPREC,FU,FU,FU,FU,FU,FU,FU,FU,FU,FV,FV,FV,FV,FV,FV,FV,FV,FV,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,OMEGA,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,PDELDRY,Q,Q,Q,Q,Q,Q,Q,Q,Q,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,RELHUM,T,T,T,T,T,T,T,T,T,U,U,U,U,U,U,U,U,U,V,V,V,V,V,V,V,V,V
,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT
,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.11781582493e-07,5.3079047575e-06,-1.42620474435e-05,-4.06227336498e-05,-1.46959291669e-05,2.46680247074e-06,-1.84004602488e-05,6.07024549026e-06,2.27333748626e-05,277.644439697,277.644439697,277.644470215,277.644470215,277.644439697,277.644439697,277.644470215,277.644439697,277.644439697,2.83394001599e-06,2.838980663e-06,2.8492668207e-06,2.8397312235e-06,2.83371764453e-06,2.83693452729e-06,2.83801091427e-06,2.84752945845e-06,2.85136343336e-06,0.00382836838253,0.00392344361171,0.00383572676219,0.00407557375729,0.00397730339319,0.00390761019662,0.00405221479014,0.00399323552847,0.00378275080584,244.107925415,243.933685303,244.207626343,243.556167603,243.755050659,243.924926758,243.58291626,243.778411865,244.262619019,-16.2603130341,-15.0006370544,-10.809091568,-14.7876491547,-14.6609487534,-14.9209060669,-12.8322553635,-11.5838909149,-11.2841768265,-0.258684396744,-0.529058873653,0.112604759634,-1.0064227581,-0.708212375641,-0.404455631971,-0.153191462159,-0.0322167761624,0.106653802097
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0468696928e-05,2.2028645617e-05,7.52754567657e-05,-8.6899190137e-06,-2.85094247374e-05,1.7280512111e-05,-2.53842117672e-05,-4.30888121628e-06,-5.19110362802e-05,512.624145508,512.624145508,512.624084473,512.624084473,512.624145508,512.624145508,512.624084473,512.624145508,512.624084473,2.72303009297e-06,2.73916566584e-06,2.76144851341e-06,2.74169997283e-06,2.73661316896e-06,2.73255227512e-06,2.7208393476e-06,2.73538898909e-06,2.75895581581e-06,0.0221251826733,0.0218209922314,0.0210754107684,0.0217489525676,0.0217681471258,0.0220985710621,0.0230178888887,0.0222110450268,0.0225877314806,234.596939087,234.788375854,235.184265137,234.811538696,234.805007935,234.644302368,234.235595703,234.596832275,234.527359009,-11.1197862625,-11.4783973694,-9.04518890381,-12.4219017029,-12.2389135361,-11.953453064,-9.6743555069,-9.25087070465,-8.63855552673,0.177337825298,-0.357896059752,0.334673672915,-0.377328306437,-0.434371620417,-0.359099388123,0.300922602415,0.605948507786,0.162478730083
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02477826572e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73922029293e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000152674576384,-0.000126320199342,-6.24860404059e-05,-2.70325053862e-05,-7.13142217137e-05,-0.000116927956697,-0.000116946299386,-5.51466364413e-05,-0.000152901906404,839.734741211,839.734741211,839.734619141,839.734619141,839.734741211,839.734741211,839.734680176,839.734741211,839.734680176,2.67371524387e-06,2.67696032097e-06,2.68467397291e-06,2.67498967332e-06,2.67278801402e-06,2.67078917204e-06,2.66702977569e-06,2.67415521193e-06,2.68594681074e-06,0.092683210969,0.0922316834331,0.0941888466477,0.0912378132343,0.0887868925929,0.0908549875021,0.0886608734727,0.0937764942646,0.0960860922933,227.549316406,227.587478638,227.430969238,227.6796875,227.899017334,227.701171875,227.913040161,227.438568115,227.351028442,-1.8409897089,-3.59187984467,-3.15065145493,-5.14790630341,-5.34484386444,-4.45512771606,-3.27372026443,-2.94201159477,-3.70325493813,0.0146686267108,-0.216444969177,0.278557389975,-0.333448678255,-0.552592813969,-0.544270932674,-0.265531122684,0.103540040553,-0.673218429089
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.07830461174e-10,-2.2831723491e-12,-1.40410070863e-17,1.51312806729e-09,9.7364574736e-11,1.58471781704e-12,0.0,0.0,0.0,2.53622989277e-09,9.33365103956e-12,6.42566340628e-17,1.60025603879e-09,1.01478353498e-10,2.31887837925e-12,0.0,0.0,0.000117301853606,0.00012733793119,9.35565331019e-05,5.75223784836e-05,0.000229418626986,0.000179938593647,0.000327197427396,0.000252434198046,0.00014191842638,1211.37744141,1211.37744141,1211.37756348,1211.37731934,1211.37744141,1211.37744141,1211.37719727,1211.37731934,1211.37744141,2.66561255557e-06,2.66093070422e-06,2.66652205028e-06,2.65458220383e-06,2.65103267338e-06,2.65174639935e-06,2.65599055638e-06,2.65869994109e-06,2.67073301075e-06,0.402658432722,0.385739088058,0.374001383781,0.390237689018,0.391033679247,0.379700958729,0.391277939081,0.384749263525,0.413030356169,219.99609375,220.310806274,220.541137695,220.20098877,220.167861938,220.399230957,220.178695679,220.305343628,219.842956543,0.100088432431,-1.454459548,-2.08506250381,-2.76154923439,-3.08685660362,-2.90675330162,-3.34136343002,-2.5610833168,-3.39527416229,0.235162854195,-0.286879837513,0.242463454604,-0.10807967931,-0.402355492115,-0.421450704336,-0.0198333431035,0.446887403727,-0.367973536253
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.27951809942e-10,-1.8510902533e-10,-2.83044258604e-13,2.43062542316e-10,2.73823012875e-11,5.00083655042e-12,0.0,0.0,0.0,2.53960497076e-09,5.44808254066e-10,9.76850436478e-13,2.56961341094e-10,3.01458059904e-11,7.31975070833e-12,0.0,0.0,0.000265276408754,0.000404665421229,0.00053011655109,0.000505440519191,0.000390487839468,0.000525303767063,0.00044794002315,0.000456371257314,0.000194495994947,1519.83056641,1519.83093262,1519.83117676,1519.83081055,1519.83081055,1519.83081055,1519.83068848,1519.83093262,1519.83068848,3.01736872643e-06,2.99281782645e-06,2.95876247947e-06,2.97801443594e-06,2.9784414437e-06,2.99124894809e-06,3.00289912047e-06,2.97666838378e-06,2.96876828543e-06,2.2312848568,2.12106728554,2.0439016819,2.11134672165,2.12942147255,2.14334845543,2.21116304398,2.05813360214,2.44380068779,211.341934204,211.629760742,211.828125,211.617614746,211.567993164,211.550857544,211.344497681,211.82194519,210.70715332,0.26321876049,-0.810749351978,-1.94390666485,-1.49741315842,-1.63218474388,-1.94772362709,-2.65434455872,-2.70648765564,-2.96605229378,-0.351839065552,-0.305839091539,-0.347038686275,-0.595143735409,-0.89897787571,-0.875239491463,-0.851817667484,-0.538508653641,-0.895482122898
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.03682842762e-11,-2.39953251713e-10,-3.26190435773e-10,-1.27480222559e-11,3.71855879422e-11,5.3023982774e-12,7.06990726813e-13,0.0,0.0,1.98355637471e-10,1.75873138275e-09,7.69717789506e-10,2.08039571681e-10,3.78890807617e-10,5.74534430448e-12,1.03467549199e-12,0.0,0.0,6.88185391482e-05,0.00021487401682,6.80161101627e-05,0.000490944017656,0.000225801457418,0.000123662292026,0.000140628166264,0.000306193047436,5.84541994613e-05,1745.59472656,1745.59448242,1745.59436035,1745.59423828,1745.59460449,1745.59460449,1745.59460449,1745.59472656,1745.59460449,3.46248066307e-06,3.4293493627e-06,3.39765006174e-06,3.45596845364e-06,3.44954128195e-06,3.4570682601e-06,3.44494355886e-06,3.40883161698e-06,3.44889417647e-06,12.0083618164,11.4526901245,11.1449565887,11.0625219345,10.8851766586,11.3135709763,10.8425798416,11.130865097,13.0239515305,203.093170166,203.348724365,203.464126587,203.6199646,203.684661865,203.445419312,203.695388794,203.446014404,202.586853027,1.13260817528,1.44081616402,0.713262975216,-0.263359993696,0.283931583166,0.681664407253,-0.324440658092,-0.75611191988,-0.761851072311,-0.204852297902,-0.537586152554,-0.976631581783,-1.05644106865,-1.06977248192,-1.1231842041,-0.448260754347,-0.221680909395,0.26151907444
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8869858443e-09,-4.10141787199e-09,-1.39269507038e-09,-4.74262629169e-10,2.13502993063e-10,6.50605047267e-12,5.6213220927e-13,0.0,-5.12846076717e-09,7.22255311114e-11,8.43211900303e-09,2.25767982087e-09,8.77462547066e-10,4.34187602538e-10,6.94368998064e-12,8.22774682586e-13,0.0,-5.49896350677e-09,1.92761326616e-05,-0.00023455999326,-0.000643863459118,-0.000224869101658,2.66467832262e-05,-0.000324805703713,0.000511231541168,0.00102650234476,0.000437508715549,1737.7878418,1737.78796387,1737.78808594,1737.78796387,1737.78771973,1737.78771973,1737.7878418,1737.7878418,1737.78759766,3.34013725478e-06,3.32398826686e-06,3.32017089022e-06,3.29865702042e-06,3.3168525988e-06,3.33460639013e-06,3.30062584908e-06,3.30215925715e-06,3.41096324519e-06,53.8952827454,52.0147781372,49.5828018188,56.6553611755,53.2776031494,51.7737884521,51.2897071838,49.9682540894,53.9356193542,195.014511108,195.294677734,195.653320312,194.571182251,195.0753479,195.285614014,195.148529053,195.284759521,195.025558472,-0.873100221157,-0.11665995419,0.568557620049,-0.949930131435,-0.536631286144,-0.275884747505,-1.62387049198,-1.91211128235,-0.551244080067,0.190833985806,-0.328382849693,-1.17101037502,-0.301152646542,-0.513493657112,-0.95316362381,0.0464160777628,-0.393947660923,0.817237079144
