,OMEGA
,PRECT
,90
,
0,-2.36745509028e-05
1,-2.58340314758e-05
2,-8.99893639144e-05
3,-3.68225264538e-05
4,-3.78317126888e-05
5,-0.000171115811099
6,-7.51721381675e-05
7,-0.000214774903725
8,-0.00174302922096
9,-0.00390177732334
10,-0.00329273357056
11,0.00214746245183
12,0.00852211099118
13,0.0133133502677
14,0.0149478297681
15,0.0104957548901
16,0.00615525245667
17,0.00706014921889
18,0.0066886455752
19,0.00179600343108
20,-0.00291960430332
21,-0.00782245118171
22,-0.0152214169502
23,-0.0200707223266
24,-0.0212198495865
25,-0.0201790444553
26,-0.0173282530159
27,-0.0132858483121
28,-0.00973429903388
29,-0.0055870693177
