,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,-1.10782112372e-08,5.36111333105e-09,-3.23636595567e-05,277.644439697,2.87962870971e-06,0.0260059852153,227.503326416,-8.65532016754,-0.533162117004
1,0.0,-5.73746872234e-09,2.95548718832e-09,-8.22376678116e-05,512.624084473,2.81575125882e-06,0.117567919195,220.928421021,-5.29480791092,-0.154345199466
2,0.0,-5.40776534663e-09,3.92528320958e-09,-0.000148711871589,839.734680176,2.75282377515e-06,0.371328383684,216.703933716,-3.00265073776,0.0869365781546
3,0.0,-1.02979846872e-08,8.6434814861e-09,-0.000228279735893,1211.3770752,2.81972711491e-06,1.22811281681,211.9400177,-2.44533848763,0.0924475714564
4,0.0,-1.22269518954e-08,1.02267625479e-08,-0.000226615098654,1519.83081055,2.97744145428e-06,3.82861852646,207.397598267,-1.42334473133,0.242092266679
5,0.0,-1.12880520931e-07,6.68159785278e-08,-0.000326267821947,1745.59545898,3.03511478705e-06,12.3664484024,202.201202393,0.00637049833313,0.445553392172
6,2.9825543011e-24,-8.61262321905e-07,3.24675369257e-07,-0.000705068989191,1737.78845215,2.96215353046e-06,39.4029502869,196.942108154,3.48360013962,0.0923060923815
7,9.18186130934e-22,-1.90767195818e-06,6.53907306969e-07,-0.000868702540174,1423.95812988,2.98441727864e-06,60.8186302185,195.749710083,7.29765987396,-0.221662119031
8,2.09899975567e-17,-1.82637916168e-06,7.89955095115e-07,-0.000645743741188,1675.2109375,3.53415362042e-06,67.6301040649,197.255279541,10.5234794617,0.0118197789416
9,2.95887548133e-14,-9.98294012788e-07,4.8053499313e-07,-0.000813436869066,1970.7947998,5.57167959414e-06,64.5031890869,201.309005737,12.9333343506,0.710352063179
10,5.02342395112e-12,-5.52287637845e-09,2.50370426613e-08,-0.00101578072645,2318.52539062,1.18230518638e-05,60.4465446472,207.442703247,14.3751401901,1.04847383499
11,3.79797894523e-11,1.65390133589e-07,-1.48820674895e-07,-0.00100464653224,2727.57373047,2.88376650133e-05,59.3691368103,214.736206055,14.3674125671,1.03629994392
12,1.60223168066e-10,-2.09318409361e-06,6.41291080683e-07,-0.00115442753304,3043.21362305,6.6296706791e-05,59.1724662781,222.284973145,13.383980751,0.582952618599
13,7.44792838514e-10,-2.11496399061e-06,5.98917722527e-07,-0.00129724328872,3579.88305664,0.000150834093802,57.7565498352,230.339859009,11.9001913071,0.489262938499
14,1.87076509839e-09,-2.93934090223e-06,-1.57455758654e-06,-0.00165042898152,4210.91552734,0.00029927509604,51.7767868042,238.712280273,9.87821292877,0.821709215641
15,3.51736217929e-09,-1.95906363842e-06,4.32640206327e-07,-0.00156682811212,4952.62646484,0.000559643027373,47.187084198,247.112258911,7.83467292786,0.500458240509
16,2.40989872502e-09,1.91348476619e-06,3.24147578112e-07,-0.000459521339508,5824.55517578,0.000891668954864,38.3461647034,255.512359619,5.48553991318,0.173701658845
17,1.08779873997e-09,5.07723598275e-06,1.06599384253e-06,0.000913625117391,6847.73291016,0.00154958898202,36.6299209595,263.554199219,2.8188354969,0.0975774675608
18,1.25758981007e-09,3.55616384695e-06,1.70130851984e-06,0.00158170307986,8048.56738281,0.00246769329533,39.5138130188,270.638763428,0.556081712246,0.0605214983225
19,6.98379243325e-10,-3.42369958162e-07,2.07380799111e-06,0.000360313628335,8041.47363281,0.00373978610151,45.8353652954,276.558990479,-0.613171875477,0.0213065855205
20,1.04649544586e-09,-2.4272706014e-06,2.70145051218e-06,-0.00425293762237,7367.71289062,0.00546629680321,49.4598731995,282.735321045,-1.12667143345,-0.323975235224
21,1.41601108616e-09,-8.36944479943e-07,2.05561104849e-06,-0.00940553750843,6204.07666016,0.00758265284821,54.6388015747,287.882781982,-1.48957967758,-0.360417723656
22,1.23413812503e-09,3.85902239941e-06,2.0559996301e-06,-0.0147224701941,4601.36572266,0.00961918383837,59.1193504333,291.754058838,-1.74523115158,-0.268320053816
23,1.46986089966e-09,1.30997350425e-05,2.34598542193e-06,-0.0185468755662,2660.88037109,0.0107142673805,58.9197006226,294.470184326,-1.91302323341,-0.167445674539
24,1.59362256724e-09,2.37936583289e-05,3.90099870629e-07,-0.0204814076424,2494.68017578,0.0113786123693,57.7598838806,296.400787354,-2.08372282982,-0.0902029424906
25,1.31440802686e-09,3.53399409505e-05,-1.4631856402e-06,-0.021869963035,2308.83374023,0.0119042089209,55.8033714294,298.259643555,-2.19838428497,-0.0586799755692
26,1.1353236129e-09,4.39769755758e-05,-2.92798722512e-06,-0.0224379822612,2104.22021484,0.0124067515135,53.9990882874,299.971069336,-2.20631337166,0.0106835877523
27,1.14421971897e-09,4.9286736612e-05,-8.74766465131e-06,-0.0219320487231,1882.33569336,0.012776825577,51.8814964294,301.534942627,-2.07086110115,0.0902937576175
28,8.84202377982e-10,5.45805305592e-05,-1.85880398931e-05,-0.0187394209206,1644.7434082,0.0130577748641,49.9915962219,302.881896973,-1.71396112442,0.227508619428
29,7.56149531878e-10,5.91537027503e-05,-4.72603423987e-05,-0.0111783342436,1406.66662598,0.0135634234175,51.1519432068,303.450042725,-1.03889799118,0.313433855772
