,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,0.0,0.0,-1.16939572763e-05,277.644439697,2.86272847916e-06,0.0263205450028,227.298019409,-5.14536190033,-0.839099824429
1,0.0,0.0,0.0,-3.72977228835e-05,512.624023438,2.8121548894e-06,0.116502210498,220.989456177,-4.053129673,-0.100636720657
2,0.0,0.0,0.0,-5.61002852919e-05,839.734680176,2.7447656521e-06,0.375498235226,216.62310791,-2.87029671669,-0.00223987479694
3,0.0,0.0,0.0,-8.94746990525e-05,1211.3770752,2.80892868432e-06,1.26875889301,211.708511353,-2.60369682312,-0.184934586287
4,0.0,0.0,0.0,-0.000179615279194,1519.83081055,2.97366796076e-06,3.93404841423,207.230545044,-1.47296893597,-0.0370374582708
5,0.0,0.0,0.0,-0.00022716379317,1745.59545898,3.01859063256e-06,11.095041275,202.947952271,0.449763804674,0.0746463909745
6,2.10507485227e-23,5.04178339703e-12,2.98139533894e-11,-0.000155318251927,1737.78845215,2.94472624773e-06,34.8954696655,197.785385132,3.28224515915,-0.106335051358
7,8.98101858505e-23,3.16602033479e-08,-4.8586263901e-09,-0.000189038488315,1423.95825195,2.93257176054e-06,63.1855964661,195.645690918,7.00807189941,0.213094100356
8,1.16963383084e-14,1.75299547323e-07,-6.60792238705e-07,-0.000385294435546,1675.21105957,3.47940294887e-06,70.8341140747,196.935531616,10.3570280075,0.608477056026
9,1.13255238521e-12,1.09274846949e-08,-5.46239164123e-07,-0.000268823117949,1970.79467773,5.66787866774e-06,68.0707702637,201.061584473,12.5501718521,0.0801987498999
10,1.88057338799e-12,-6.52887763408e-07,-2.66110475877e-07,0.000206141121453,2318.52294922,1.27488347061e-05,67.0624923706,207.117263794,13.0970230103,0.116247981787
11,1.79587508059e-11,-7.01325177488e-07,-8.76572627817e-08,0.000910148723051,2727.56396484,3.1879182643e-05,68.1739120483,214.292114258,12.6016530991,0.0958044007421
12,1.56282778385e-10,-1.62082187671e-06,-2.00344896228e-09,0.00182588992175,3257.49316406,7.5478812505e-05,63.7791862488,222.383178711,11.2221384048,-0.0760349556804
13,7.71648689391e-10,-1.71341287114e-06,2.40502799898e-06,0.0025172715541,3831.94213867,0.000161482355907,55.9722480774,231.042877197,9.57537078857,-0.561512887478
14,2.43759923357e-09,-3.28514829562e-06,-1.00517254964e-07,0.00285952584818,4507.44042969,0.000304199493257,46.7985458374,239.878341675,7.88667726517,-0.787830531597
15,3.12804271374e-09,-2.20591050493e-06,-3.96543740067e-08,0.00260347360745,5301.37060547,0.00056860136101,41.681098938,248.732803345,6.11375379562,-0.290820032358
16,1.55013435421e-09,-1.015767225e-06,7.42477652693e-08,0.00167356536258,6234.49072266,0.000935912248679,34.1067619324,257.5652771,4.19703292847,0.231048479676
17,7.95322641078e-10,-6.79962113281e-07,6.25317454706e-07,0.000735305540729,7327.72558594,0.00187165022362,38.0878486633,265.763641357,2.20677161217,0.0935168936849
18,1.43874034908e-09,1.04829894099e-06,5.72024021039e-07,0.000461723073386,8611.29199219,0.00296088866889,42.4887504578,272.75479126,0.51179754734,-0.158931434155
19,1.09970210715e-09,1.07325752197e-06,-9.64359330169e-08,0.00149341742508,8603.99023438,0.00420555751771,44.3272323608,279.296569824,-0.823866188526,-0.206335872412
20,1.28278754286e-09,9.60495981417e-07,-7.3664921274e-07,0.0033447695896,7885.82861328,0.00558709958568,45.2580413818,284.838500977,-1.81491982937,-0.13380484283
21,8.19784962136e-10,-1.91582103071e-06,-4.15341730786e-07,0.00508271949366,6638.95556641,0.00793211814016,55.804359436,288.583343506,-2.39737391472,-0.0287902858108
22,7.38663685773e-10,-2.65737253358e-06,-2.60947501829e-07,0.00590172223747,4919.58447266,0.010867559351,71.1704025269,290.970336914,-3.08847332001,0.0641293600202
23,8.32356017444e-10,1.89020806829e-06,-8.77229695107e-07,0.00564948702231,2842.16723633,0.0129252644256,80.2454071045,292.55947876,-3.71478676796,0.0939181223512
24,8.54611659218e-10,1.33686080517e-05,-4.37138965026e-07,0.00491148885339,2662.45556641,0.0143931256607,85.5870513916,293.65411377,-4.19964313507,0.0790406242013
25,1.13615161723e-09,2.96233174595e-05,3.9523379769e-07,0.00365337124094,2461.84765625,0.0157981868833,88.693862915,294.951446533,-4.47396469116,0.0257513914257
26,1.36961308961e-09,4.20840551669e-05,1.32225102334e-06,0.00217450037599,2241.50976562,0.0172507017851,90.6491317749,296.315917969,-4.46005630493,-0.0229189060628
27,1.2819235673e-09,4.74364642287e-05,1.69414181528e-06,0.000666447216645,2004.42138672,0.0180153474212,87.6436386108,297.885498047,-4.31161355972,-0.00319881387986
28,9.57467438667e-10,4.8030520702e-05,-5.77681760205e-07,-0.000703084398992,1751.31347656,0.0183717552572,82.9212341309,299.446075439,-4.19828462601,0.0144197270274
29,1.14424802966e-09,4.69168444397e-05,-2.77992239717e-06,-0.00175705051515,1479.32006836,0.0185161661357,78.3849487305,300.811950684,-4.07938432693,0.00916972476989
