,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,-3.58455221061e-09,1.73468306386e-09,-1.83820047823e-05,277.644439697,2.86819681605e-06,0.0262187644839,227.364456177,-6.28107118607,-0.740108251572
1,0.0,-1.85645965267e-09,9.56300150179e-10,-5.18388333148e-05,512.624084473,2.81331904262e-06,0.116847038269,220.969696045,-4.45489692688,-0.118015050888
2,0.0,-1.74977821121e-09,1.27009491813e-09,-8.60664003994e-05,839.734680176,2.74737294603e-06,0.374148964882,216.649276733,-2.91312193871,0.0266147460788
3,0.0,-3.33209482228e-09,2.79675149706e-09,-0.000134387519211,1211.3770752,2.81242273559e-06,1.25560712814,211.783416748,-2.55245685577,-0.0951826795936
4,0.0,-3.95624688565e-09,3.30904970092e-09,-0.000194822903723,1519.83093262,2.9748889574e-06,3.89993453026,207.284606934,-1.45691215992,0.0532799102366
5,0.0,-3.65244936518e-08,2.16194919744e-08,-0.000259230699157,1745.59545898,3.02393777929e-06,11.5064277649,202.706329346,0.306296020746,0.194659918547
6,1.52044624887e-23,-2.78673297771e-07,1.05074619228e-07,-0.000333199830493,1737.78833008,2.95036511488e-06,36.3539428711,197.512527466,3.34739732742,-0.0420611947775
7,3.57845911104e-22,-5.95845051521e-07,2.08296768278e-07,-0.000408955820603,1423.95812988,2.94934716294e-06,62.419719696,195.679351807,7.10177373886,0.0724210143089
8,7.9185722107e-15,-4.72378928862e-07,-1.91377239389e-07,-0.000469567457912,1675.2109375,3.49711831404e-06,69.7974014282,197.038986206,10.4108867645,0.415418028831
9,7.75668917118e-13,-3.15624021141e-07,-2.14008224475e-07,-0.000445042416686,1970.79467773,5.63675166632e-06,66.9164123535,201.141647339,12.6741514206,0.284095972776
10,2.89749864726e-12,-4.43421413365e-07,-1.71904574131e-07,-0.000189233571291,2318.52368164,1.24492817122e-05,64.9217834473,207.222549438,13.5105800629,0.417886167765
11,2.44369142977e-11,-4.20884163077e-07,-1.07447704067e-07,0.000290583499009,2727.56738281,3.08950475301e-05,65.3249740601,214.435806274,13.1729955673,0.400118410587
12,1.57557772384e-10,-1.77366325715e-06,2.06145770676e-07,0.000861555105075,3188.15917969,7.25077770767e-05,62.2886009216,222.351394653,11.9216413498,0.13719214499
13,7.62958973777e-10,-1.84334180631e-06,1.82062888143e-06,0.00128301745281,3750.38378906,0.000158036898938,56.5495872498,230.815368652,10.3276071548,-0.221515759826
14,2.25418994582e-09,-3.17325611832e-06,-5.77469165819e-07,0.00140025012661,4411.49462891,0.000302606116747,48.4093399048,239.501037598,8.53107357025,-0.267035424709
15,3.25401372514e-09,-2.12603890759e-06,1.13164816185e-07,0.00125409825705,5188.52880859,0.00056570279412,43.4626617432,248.208435059,6.67058753967,-0.0347879640758
16,1.82832637918e-09,-6.79558809225e-08,1.55107287014e-07,0.000983367557637,6101.84912109,0.000921596540138,35.4784965515,256.901031494,4.61395215988,0.212492883205
17,8.89958551298e-10,1.18288119211e-06,7.67906101373e-07,0.000793004175648,7172.41552734,0.00176744139753,37.6161079407,265.048706055,2.40481615067,0.0948307663202
18,1.38012579143e-09,1.85976307421e-06,9.37423976666e-07,0.000824112037662,8429.21289062,0.00280130677857,41.5261573792,272.070098877,0.526126265526,-0.0879235416651
19,9.69846980503e-10,6.15206147359e-07,6.0578497596e-07,0.00112678064033,8421.97851562,0.00405484857038,44.8152198792,278.410766602,-0.755692303181,-0.13267813623
20,1.20633103506e-09,-1.35675975343e-07,3.75808724584e-07,0.000886397203431,7718.18310547,0.00554801151156,46.6176185608,284.157989502,-1.59222483635,-0.195337831974
21,1.01270436481e-09,-1.56673149831e-06,3.84178747481e-07,0.000394787231926,6498.24267578,0.00781904160976,55.4272270203,288.356658936,-2.10364103317,-0.136094227433
22,8.98983221198e-10,-5.4887755141e-07,4.88741818572e-07,-0.000771599938162,4816.61914062,0.010463626124,67.2710647583,291.223907471,-2.65384340286,-0.043440528214
23,1.03863206924e-09,5.51724951947e-06,1.65698622823e-07,-0.00217967620119,2783.50878906,0.0122098559514,73.3450927734,293.177734375,-3.13179421425,0.00934921391308
24,1.09373177182e-09,1.67418165802e-05,-1.6947160475e-07,-0.00330483261496,2608.16894531,0.0134177254513,76.5830764771,294.54284668,-3.51499938965,0.0242789052427
25,1.19382959074e-09,3.1473035051e-05,-2.06090490451e-07,-0.00460515590385,2412.3371582,0.0145382219926,78.0515518188,296.021850586,-3.73766064644,-0.00156786711887
26,1.293804619e-09,4.26965416409e-05,-5.29895878287e-08,-0.00578930461779,2197.0871582,0.0156833566725,78.7903671265,297.498626709,-3.73081803322,-0.0120462309569
27,1.23736709767e-09,4.80351482111e-05,-1.68449093962e-06,-0.00664569623768,1964.91845703,0.0163203310221,76.0721588135,299.066345215,-3.58657836914,0.0270522963256
28,9.33761290511e-10,5.01498907397e-05,-6.40525013296e-06,-0.00653905980289,1716.83081055,0.0166523233056,72.2662658691,300.557800293,-3.39443778992,0.0833685100079
29,1.01867181357e-09,5.087630052e-05,-1.71723495441e-05,-0.00480547361076,1455.81176758,0.0169136188924,69.5732269287,301.665557861,-3.09558129311,0.107619710267
