,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,0.0,0.0,-1.79633098014e-05,277.644439697,2.88056298814e-06,0.00416886946186,243.651031494,-8.91387557983,-0.452231943607
1,0.0,0.0,0.0,-2.29035576922e-05,512.624023438,2.81494794763e-06,0.0208952445537,235.467681885,-6.71314811707,-0.0125768501312
2,0.0,0.0,0.0,-4.71835846838e-06,839.734680176,2.73829891739e-06,0.0885769128799,228.196182251,-3.96666455269,0.0351634174585
3,0.0,0.0,0.0,-6.08844820817e-05,1211.37719727,2.71178282674e-06,0.403469592333,220.110305786,-3.40879440308,0.101997457445
4,0.0,0.0,0.0,-0.000103920494439,1519.83081055,2.94593087347e-06,2.04098701477,211.845123291,-2.5407204628,0.110637821257
5,0.0,0.0,0.0,-8.60084765009e-05,1745.59484863,3.28963415086e-06,10.2520294189,204.059204102,-1.4947013855,0.187422007322
6,1.42491005456e-27,0.0,0.0,-0.000134714224259,1737.78771973,3.29022554979e-06,42.8315505981,196.874633789,0.514918029308,0.119514197111
7,2.55509325631e-24,0.0,0.0,-0.000243630711338,1423.95849609,2.82921337202e-06,77.3652572632,193.615280151,3.03138375282,-0.205229699612
8,7.80001997255e-23,5.35889466136e-09,4.50820669684e-09,-0.000281835877104,1675.21264648,2.44156035478e-06,85.087852478,193.187240601,6.40407562256,-0.491742938757
9,4.17097251377e-14,2.37089494703e-08,3.37302964226e-07,9.27602741285e-06,1970.80041504,2.74500234809e-06,78.7636566162,195.364807129,9.39186859131,-0.470956116915
10,3.48115796172e-13,-3.01537795622e-07,2.16548897924e-07,0.000714708527084,2318.54296875,4.53684015156e-06,68.4101104736,200.283782959,11.3527584076,-0.0161661505699
11,1.29282272821e-12,-4.12530027916e-07,2.56161143852e-07,0.0021143197082,2727.62695312,9.79619562713e-06,64.1429595947,206.715637207,11.9819059372,0.278666198254
12,1.65151625015e-11,-1.59852584147e-06,-7.14865223017e-07,0.00440849084407,3252.0859375,2.45864521276e-05,62.2602767944,214.336639404,11.3504056931,0.45609781146
13,1.57011154078e-10,-8.32709929455e-07,-7.72349835643e-07,0.00689559103921,3825.77416992,5.9939789935e-05,58.8952636719,222.684692383,10.3146877289,0.0505424067378
14,4.88375284657e-10,-1.4705593685e-06,1.60511365266e-06,0.008903183043,4500.51660156,0.000128143947222,51.1076393127,231.545913696,8.86295032501,-0.397361725569
15,1.32142796705e-09,-1.85142937426e-06,-1.19716034419e-07,0.0101834367961,5293.97412109,0.000250944896834,43.0814170837,240.750366211,7.07979822159,-0.653189957142
16,1.95757721144e-09,-5.60885212053e-07,-1.18473781896e-08,0.0104274563491,6226.81103516,0.000455241359305,35.878364563,250.072341919,5.10692358017,-0.542458057404
17,7.2508843374e-10,-5.79251207e-08,3.13243191385e-07,0.00951281748712,7322.9296875,0.000809320248663,30.65873909,259.102752686,2.77272129059,-0.188288927078
18,4.71532979329e-10,-8.23423135898e-07,1.66608998597e-07,0.00825102347881,8608.0859375,0.00162025017198,34.8151702881,267.306671143,0.912316024303,0.0605682916939
19,9.1694968285e-10,-6.96019753832e-07,2.14260438725e-07,0.00780912023038,8604.59960938,0.00242610345595,37.2751731873,274.034179688,-0.489631175995,0.134981200099
20,8.97877494577e-10,-1.85589698276e-07,-2.21328903649e-07,0.00838057696819,7889.70361328,0.00338955852203,40.1296005249,279.371582031,-1.46265625954,0.180619999766
21,9.99018645587e-10,-1.6120352484e-06,8.71484132858e-07,0.00905359908938,6644.58056641,0.00538556696847,53.6164779663,283.371551514,-2.26514053345,0.163268715143
22,8.09929012746e-10,-2.33710807152e-06,1.96530550056e-06,0.00910484045744,4925.66113281,0.00794555339962,71.0337982178,286.019775391,-3.11724734306,0.205601215363
23,8.20554624248e-10,4.52588528788e-06,5.51393156911e-07,0.00838000234216,2846.0480957,0.00987427122891,82.6739883423,287.640228271,-3.75179553032,0.241958335042
24,1.22072130182e-09,1.72864365595e-05,-8.89426530648e-07,0.0071026775986,2666.70605469,0.0111170979217,87.8908996582,288.957702637,-4.11216831207,0.27000772953
25,1.21640286732e-09,3.0977626011e-05,-3.84131271858e-06,0.00519269285724,2466.46337891,0.0122449751943,90.1049194336,290.499847412,-4.23632383347,0.31755900383
26,1.19254339737e-09,4.0779086703e-05,-6.6796928877e-06,0.00306468573399,2247.0324707,0.0131549853832,89.2166366577,292.132629395,-4.20076847076,0.361927837133
27,1.06776965048e-09,4.34420726378e-05,-9.14156134968e-06,0.00110139918979,2010.28942871,0.0134571893141,83.5420150757,293.880615234,-4.15969896317,0.402363479137
28,6.2982952187e-10,4.46913800261e-05,-1.2106684153e-05,-0.000586140551604,1756.7175293,0.0136509882286,78.2945709229,295.471557617,-4.12562656403,0.418565124273
29,7.42381600638e-10,4.49197505077e-05,-1.52582442752e-05,-0.00182593415957,1484.39282227,0.0137730520219,73.9453811646,296.832336426,-4.03705692291,0.407073676586
