,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,-1.23226970294e-10,2.60314297895e-10,-9.5559116744e-06,277.64440918,2.88041701424e-06,0.00413996959105,243.727920532,-8.47793197632,-0.445582866669
1,0.0,7.49737771866e-10,-1.87950377484e-10,-2.44117672992e-05,512.624084473,2.81897450805e-06,0.021267592907,235.321075439,-6.66736602783,-0.0825337395072
2,0.0,6.64765931191e-09,-8.96972385256e-10,-3.69835906895e-05,839.734680176,2.74105286735e-06,0.0908064395189,227.987121582,-4.08091163635,-0.0940272435546
3,0.0,3.71754693695e-09,-1.84905077361e-10,-5.37174637429e-05,1211.37731934,2.71332737611e-06,0.406968146563,220.051864624,-3.70604324341,-0.0506950765848
4,0.0,-1.58697821551e-09,4.95078289475e-09,-7.28734448785e-05,1519.83093262,2.94735696116e-06,2.07348585129,211.744781494,-2.98870372772,-0.0951142758131
5,0.0,-1.7924174367e-09,2.89383694785e-09,-9.13542171475e-05,1745.5949707,3.29146973854e-06,10.5310878754,203.884414673,-1.7917881012,-0.019411014393
6,9.63855137014e-28,-2.23934151222e-08,1.26977415249e-08,-0.000112352194265,1737.7878418,3.29114982378e-06,43.8192214966,196.660354614,0.0335469767451,-0.0371356606483
7,3.12633386462e-24,-1.25621852476e-07,4.3941568606e-08,-0.000131522043375,1423.95837402,2.8180127174e-06,76.5209274292,193.590377808,2.32508182526,-0.182189196348
8,3.08874984669e-16,-2.48024917937e-07,1.97084034426e-07,-0.000179466485861,1675.21276855,2.43133763433e-06,82.6343994141,193.330993652,5.63154602051,-0.166788652539
9,3.40437483163e-14,4.96398051553e-08,7.64209175941e-07,-0.000221541820792,1970.80053711,2.70853661277e-06,75.6666946411,195.592636108,8.87301826477,-0.107009314001
10,6.1278646003e-13,-5.71901864532e-07,3.41025810258e-07,-6.55916010146e-05,2318.54321289,4.45729347121e-06,65.9572753906,200.522033691,11.0667076111,0.276774525642
11,3.4606549397e-12,-5.93390041104e-07,1.54171729605e-07,0.000543959322385,2727.62719727,9.74805698206e-06,62.4732818604,206.928771973,11.9431562424,0.422369718552
12,2.25834229789e-11,-1.44871080465e-06,-2.09699081211e-07,0.00157017132733,3180.66040039,2.44391176238e-05,61.2360229492,214.437042236,11.5751428604,0.473928451538
13,1.47251044691e-10,-1.64115544976e-06,-5.12103106587e-08,0.00247417856008,3741.74560547,6.02090476605e-05,59.5882034302,222.549224854,10.6116571426,0.14762891829
14,5.39461697535e-10,-1.76601963631e-06,1.46745856e-06,0.00292574008927,4401.65039062,0.000132915040012,54.0379524231,231.195800781,9.11809444427,-0.141687378287
15,1.55126400614e-09,-2.19597063733e-06,-2.78727441128e-07,0.00307862553746,5177.62988281,0.000264862668701,46.8049201965,240.222305298,7.22453975677,-0.384060680866
16,2.52424214864e-09,-4.12442858533e-07,-2.47755508553e-07,0.00297533953562,6089.89599609,0.000480333139421,39.3733825684,249.368164062,5.19823884964,-0.359478324652
17,1.10703557432e-09,9.7453471426e-07,5.73952604555e-07,0.00257234787568,7161.75585938,0.000854555692058,33.8587722778,258.305511475,2.85241961479,-0.109727963805
18,6.59135801495e-10,5.06372373366e-07,6.81768369759e-07,0.00244343536906,8418.86328125,0.00163254095241,37.0806541443,266.471069336,0.850875914097,-0.00390877993777
19,1.10794418084e-09,1.22988396356e-07,4.38166665617e-07,0.00239836331457,8415.11230469,0.00247953413054,39.8650665283,273.222229004,-0.581888020039,-0.0503766685724
20,9.57340651198e-10,-6.14241912444e-07,1.5345787574e-07,0.00204829545692,7715.03320312,0.00356824370101,43.8467216492,278.757659912,-1.38436949253,0.0114418398589
21,1.55923074452e-09,-2.65704352387e-06,1.00635793387e-06,0.00112567283213,6497.9609375,0.00548183033243,54.8807220459,283.185516357,-1.99231040478,0.0137742161751
22,1.37643785258e-09,-2.07716652767e-06,3.24941333929e-06,-3.07013579004e-05,4818.22900391,0.00776025420055,68.1627960205,286.270294189,-2.60262799263,0.0583377033472
23,1.49530987592e-09,5.23460948898e-06,9.02857436813e-07,-0.00137233175337,2784.72460938,0.0094049256295,76.2045669556,288.250701904,-3.05058407784,0.117629118264
24,1.55473045549e-09,1.69396444107e-05,-2.15932686842e-06,-0.00280182529241,2609.73901367,0.0104533545673,79.4401092529,289.77645874,-3.32856798172,0.168592870235
25,1.42815936854e-09,2.9831284337e-05,-6.86969178787e-06,-0.00450122915208,2414.28857422,0.0113713024184,80.2787246704,291.429138184,-3.4509344101,0.230432003736
26,1.27559485197e-09,3.95482238673e-05,-1.12282214104e-05,-0.00585140474141,2199.85864258,0.01210344024,78.8231201172,293.110839844,-3.44647860527,0.278551101685
27,1.12879272596e-09,4.35039364675e-05,-1.57318845595e-05,-0.00661790836602,1968.11022949,0.0123839862645,74.0141830444,294.818695068,-3.39503955841,0.333730787039
28,7.57715445943e-10,4.69467413495e-05,-2.29508077609e-05,-0.00640553794801,1719.83984375,0.0125867081806,69.7539978027,296.333984375,-3.28584909439,0.383944869041
29,7.99054267198e-10,4.87607794639e-05,-3.57715325663e-05,-0.00456854794174,1459.05639648,0.0128202484921,67.2880783081,297.423828125,-3.03566455841,0.403662741184
